Date,IWF,IWM,MDLA,MTUM,SPY,VLUE,VXX
2020-03-18,-0.7354439896416339,-0.5521259710968174,1.0,-0.8807534875950214,-0.9428619162977195,-0.06561690752652242,0.0
2020-03-19,-0.7729488387334617,-0.3917994511121124,1.0,-0.861631098185393,-0.9590791791258755,-0.11071969852127964,0.0
2020-03-20,-0.7736158354165813,-0.4019097577968116,1.0,-0.8584894061718782,-0.9593869103725257,-0.1047907872628171,0.0
2020-03-23,-0.7910386294374433,-0.5444773906597479,1.0,-0.7388188781813689,-0.9645828185487192,-0.07935919611234658,0.0
2020-03-24,-0.8102222770039853,-0.568347097251325,1.0,-0.6904145609926455,-0.9464645219606393,-0.09314269279756769,0.0
2020-03-25,-0.807815330070523,-0.5553200508690124,1.0,-0.5179004971289838,-0.9250067439978419,-0.04770896759027323,0.0
2020-03-26,-0.8025970010820839,-0.5565002318750966,1.0,-0.527786365744319,-0.9268434070180862,-0.05081929200803834,0.0
2020-03-27,-0.8162153928177006,-0.5408431394950304,1.0,-0.4811683613237366,-0.9467611104764081,-0.023230130621882023,0.0
2020-03-30,-0.8096988065921575,-0.5329797310096609,1.0,-0.4905474521689714,-0.952187914377723,-0.0031445349498010985,0.0
2020-03-31,-0.7917522635623526,-0.570645971239443,1.0,-0.49052727687742526,-0.9430114890055543,-0.008407517309594463,0.0
2020-04-01,-0.7918534843073182,-0.5766395622767687,1.0,-0.48145755756516445,-0.9411429439927045,-0.008549281860323731,0.0
2020-04-02,-0.7968520540723727,-0.5514930150242875,1.0,-0.4712128628986708,-0.9459652822231428,-0.0,0.0
2020-04-03,-0.7952084512356159,-0.5727598566308244,1.0,-0.4792303338992642,-0.9233352197698548,-0.002376910016977929,0.0
2020-04-06,-0.7948476516892019,-0.5625776806899928,1.0,-0.4778727731535535,-0.9239953297427591,-0.007043049226017851,0.0
2020-04-07,-0.7615393049007785,-0.5230420641011585,1.0,-0.4538610532470855,-0.9161641632861895,-0.0,0.0
2020-04-08,-0.7585904050938632,-0.5251216745343432,1.0,-0.4450543418596992,-0.9180663812346762,-0.012515094961027554,0.0
2020-04-09,-0.7612722442592526,-0.5075512209323484,1.0,-0.4504894646821209,-0.914298191346119,-0.005458713926998799,0.0
2020-04-13,-0.7653517542265043,-0.4944191965097255,1.0,-0.4539174695509907,-0.9142701327031449,-0.007744046536993274,0.0
2020-04-14,-0.7642267553907132,-0.49645467437547736,1.0,-0.4525653612595906,-0.9137122286462311,-0.00930875240900331,0.0
2020-04-15,-0.7529782380417858,-0.5015026976137886,1.0,-0.44048955353586555,-0.9132418437918672,-0.012745772531411811,0.0
2020-04-16,-0.7529731689630167,-0.5074329224075417,1.0,-0.435859318346628,-0.9202320522117478,-0.009318346627991298,0.0
2020-04-17,-0.7657359204921912,-0.4971786377370854,1.0,-0.4532381957843387,-0.9238778259128473,-0.000473260766682442,0.0
2020-04-20,-0.7657490350302236,-0.4980336464933363,1.0,-0.45222489257883625,-0.9253878086082589,-0.0,0.0
2020-04-21,-0.7657585567235295,-0.4979085585421744,1.0,-0.45106026988688025,-0.9225621067180736,-0.0,0.0
2020-04-22,-0.751500904159132,-0.510741410488246,1.0,-0.4304882459312839,-0.9239421338155513,-0.0,0.0
2020-04-23,-0.7578153332849786,-0.506382824399797,1.0,-0.43410459128164214,-0.9283020236454631,-0.0,0.0
2020-04-24,-0.7600232212183882,-0.5015057508798665,1.0,-0.43692173723740063,-0.9298646638365806,-0.0,0.0
2020-04-27,-0.7582843883692263,-0.49735334638532375,1.0,-0.43731419041403813,-0.9326009716481763,-0.0,0.0
2020-04-28,-0.7666932213209733,-0.47686123986095014,1.0,-0.43949159907300117,-0.9380431633835458,-0.0,0.0
2020-04-29,-0.7803275117098144,-0.45964198830834035,1.0,-0.44936639918666715,-0.9415780109654697,-0.0,0.0
