Date,IWF,IWM,MTUM,SPY,TRTN,VLUE,VXX
2018-09-24,-0.6539782801418439,-1.4839317375886525,-0.12250664893617022,-1.0608931737588652,1.0,-1.2194703014184398,0.0
2018-09-25,-0.6562915374390784,-1.481225077536553,-0.12660611431103233,-1.0585400974745236,1.0,-1.2156623836951705,0.0
2018-09-26,-0.6566238369517058,-1.481723526805494,-0.12738147984049622,-1.0582631812140009,1.0,-1.214333185644661,0.0
2018-09-27,-0.6575729068673565,-1.4767306734547063,-0.12860384040728237,-1.05749543467434,1.0,-1.2133805544795528,0.0
2018-09-28,-0.6572598494909252,-1.4765382912793272,-0.1293160690571049,-1.0572155821159805,1.0,-1.213036741921204,0.0
2018-10-01,-0.7268730214562082,-1.560909837026615,-0.1371204127095791,-1.150486575213976,1.0,-1.2869621292062374,0.0
2018-10-02,-0.7285036047125021,-1.5467440361057383,-0.14260594337963778,-1.1533907742805227,1.0,-1.2900181700955395,0.0
2018-10-03,-0.7321376065862981,-1.561893560717436,-0.14519259041458393,-1.1540135254336958,1.0,-1.2873860629226699,0.0
2018-10-04,-0.7317274279992932,-1.5674067966311325,-0.14618057600565404,-1.1531303374757054,1.0,-1.2911243300547735,0.0
2018-10-05,-0.7099747548875711,-1.558738918569835,-0.12094170140315857,-1.1687312863265424,1.0,-1.3125697176069981,0.0
2018-10-08,-0.7065542083992269,-1.553739823112517,-0.1158554442687284,-1.17032741755989,1.0,-1.3107831078310783,0.0
2018-10-09,-0.7048969072164948,-1.5545337394564198,-0.11158622305529523,-1.1725632614807873,1.0,-1.3140229615745078,0.0
2018-10-10,-0.7051589857703343,-1.5539029103472506,-0.11155355156057856,-1.172746969608245,1.0,-1.3125256192539674,0.0
2018-10-11,-0.6266364409181071,-1.5476905638991216,-0.004930575233777274,-1.1501841881552848,1.0,-1.337829413431567,0.0
2018-10-12,-0.6400067257033965,-1.5420356462280014,-0.0,-1.1185405223629639,1.0,-1.3041699361058179,0.0
2018-10-15,-0.6107727552103706,-1.5639492652399842,-0.0,-1.1099625635581383,1.0,-1.302844052075767,0.0
2018-10-16,-0.60308673041436,-1.5790415478387296,-0.0,-1.1084829167365655,1.0,-1.3012917295755746,0.0
2018-10-17,-0.5679100383982447,-1.5186505759736697,-0.0,-1.0935271530444324,1.0,-1.305430608886451,0.0
2018-10-18,-0.5673852229718611,-1.5182930173879654,-0.0,-1.0939059843124348,1.0,-1.3055235587735177,0.0
2018-10-19,-0.547079337401918,-1.5086094158674805,-0.0,-1.0896904969485615,1.0,-1.3036726242371404,0.0
2018-10-22,-0.5472170787495916,-1.4994009367171333,-0.0,-1.0930726500381223,1.0,-1.3063391787386995,0.0
2018-10-23,-0.5512115436972502,-1.4994827116798257,-0.0,-1.0898992649060713,1.0,-1.3045466920773208,0.0
2018-10-24,-0.5481009903145064,-1.4935248666884318,-0.0,-1.090869517901839,1.0,-1.3087931222113396,0.0
2018-10-25,-0.487226661059714,-1.4185239697224559,-0.0,-1.0919365012615643,1.0,-1.2588835155592937,0.0
2018-10-26,-0.4583961332571072,-1.3966010082636038,-0.0,-1.098643521646484,1.0,-1.2435944077750636,0.0
2018-10-29,-0.4195956454121307,-1.4199585277345774,-0.0,-1.0844997407983412,1.0,-1.2599792638672889,0.0
2018-10-30,-0.4130265816881704,-1.4195554173791387,-0.0,-1.084304886263537,1.0,-1.2647287424218872,0.0
2018-10-31,-0.4149740319843677,-1.3943538849179822,-0.0,-1.0773384069522292,1.0,-1.2555149894585282,0.0
2018-11-01,-0.44966687486987295,-1.3891317926296065,-0.0,-1.0960337289194253,1.0,-1.2701957110139495,0.0
2018-11-02,-0.4548885786670803,-1.3512744945969704,-0.0,-1.1027351222790962,1.0,-1.2614135773744894,0.0
2018-11-05,-0.444849305085628,-1.402842121701109,-0.0,-1.1171724532819738,1.0,-1.240487220863047,0.0
2018-11-06,-0.4470233139050791,-1.4037260616153204,-0.0,-1.115372606161532,1.0,-1.2378746877601998,0.0
2018-11-07,-0.4462706751274316,-1.4034120461874546,-0.0,-1.114324352439405,1.0,-1.2373348590450433,0.0
2018-11-08,-0.3975318841328032,-1.4113698559405174,-0.0,-1.1020292249703103,1.0,-1.2524913512676201,0.0
2018-11-09,-0.39667458432304037,-1.4113394609108747,-0.0,-1.1035319632345348,1.0,-1.252142930909842,0.0
2018-11-12,-0.39496143958868896,-1.3861182519280206,-0.0,-1.1124935732647814,1.0,-1.247866323907455,0.0
2018-11-13,-0.3517167491454518,-1.3838069486250701,-0.0,-1.1184633437069538,1.0,-1.2478444977297078,0.0
2018-11-14,-0.3517498214467911,-1.3836343230282626,-0.0,-1.1184062850729517,1.0,-1.2477808386899296,0.0
2018-11-15,-0.3522076860179885,-1.3924775143090762,-0.0,-1.1317968111201964,1.0,-1.2339022894521667,0.0
2018-11-16,-0.3468514367230487,-1.3786427552476055,-0.0,-1.1292541267576932,1.0,-1.2400142653352353,0.0
2018-11-19,-0.3497554513959649,-1.3777766456083147,-0.0,-1.1277766456083147,1.0,-1.2394538414509884,0.0
2018-11-20,-0.2986592461421705,-1.3667594232228688,-0.0,-1.130634960789274,1.0,-1.2634454844421958,0.0
2018-11-21,-0.3014433196351609,-1.3568206875814373,-0.0,-1.123684474290869,1.0,-1.2295279142026663,0.0
2018-11-23,-0.3018281993488605,-1.3534685699974958,-0.0,-1.124167292762334,1.0,-1.2292511895817682,0.0
2018-11-26,-0.3007910283368379,-1.3579653549614499,-0.0,-1.1213577650946231,1.0,-1.2263943126063883,0.0
2018-11-27,-0.28514476503712566,-1.3642796631285197,-0.0,-1.1143668709822097,1.0,-1.2194647929436389,0.0
2018-11-28,-0.2854579886374962,-1.3658925545699192,-0.0,-1.1134256952058208,1.0,-1.2187780324927737,0.0
2018-11-29,-0.23478346650882906,-1.3502515537141166,-0.0,-1.1146295748248989,1.0,-1.2327611719443623,0.0
2018-11-30,-0.2349314392818388,-1.3511393903521751,-0.0,-1.1165038966163559,1.0,-1.2298510407418368,0.0
