Date,EXG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.21637112663442595,-0.3007119828049436,-0.1183055704818198,-0.3115484506537704,-0.2920025076123948,0.0
2018-09-25,1.0,-0.2168375341361866,-0.30017459820029546,-0.11912969512468102,-0.3110534091417827,-0.2912432287236424,0.0
2018-09-26,1.0,-0.2163978494623656,-0.29997759856630823,-0.11731630824372759,-0.3120743727598566,-0.29439964157706094,0.0
2018-09-27,1.0,-0.2175305048695847,-0.2968319713422143,-0.11821336617037949,-0.3120340311205642,-0.2942572484047912,0.0
2018-09-28,1.0,-0.21594141228639896,-0.29853754675147254,-0.11851918210118474,-0.3120870753174621,-0.2944614902241831,0.0
2018-10-01,1.0,-0.21573854218000987,-0.299023341248152,-0.11867747860758927,-0.31199319026925315,-0.2945880560906769,0.0
2018-10-02,1.0,-0.2163161077884551,-0.29408865891629143,-0.12048921443451381,-0.3131733978451269,-0.2959254530385503,0.0
2018-10-03,1.0,-0.21609514637041682,-0.2882612493560598,-0.11951530897932672,-0.3157211010818196,-0.3001769435796358,0.0
2018-10-04,1.0,-0.21981174361272973,-0.2834379202151502,-0.11985656656207978,-0.3208426714477813,-0.2971761541909458,0.0
2018-10-05,1.0,-0.2233129661245395,-0.2871551801599425,-0.12076556743642736,-0.32010962350615507,-0.29503998562314676,0.0
2018-10-08,1.0,-0.2243611392547563,-0.28951930654058317,-0.12167060677698975,-0.3198694134864348,-0.296048632218845,0.0
2018-10-09,1.0,-0.2226353026001532,-0.29050065341805237,-0.11662385651840837,-0.3230814294083187,-0.300346987517462,0.0
2018-10-10,1.0,-0.22207185871845186,-0.2920585515483682,-0.11529873469111578,-0.32334167850779255,-0.3026591785641789,0.0
2018-10-11,1.0,-0.21946727754570364,-0.2900552486187845,-0.11081166060279388,-0.3233167138301217,-0.30222791178188024,0.0
2018-10-12,1.0,-0.2183490354419022,-0.28952445042620006,-0.1085015702108569,-0.32427097353073125,-0.3024899057873486,0.0
2018-10-15,1.0,-0.23456874079111414,-0.2737617590388757,-0.12447013487475915,-0.3300918055083305,-0.30388756658732863,0.0
2018-10-16,1.0,-0.2332078552315298,-0.2799900222232301,-0.11993741212753413,-0.3305592090344234,-0.30398204000181417,0.0
2018-10-17,1.0,-0.22892841062584424,-0.26929311121116617,-0.11634398919405672,-0.32996398018910406,-0.30670868977937865,0.0
2018-10-18,1.0,-0.22856499718626902,-0.2686550365785031,-0.11662352279122117,-0.3304220596510974,-0.3066966797974114,0.0
2018-10-19,1.0,-0.22444912217843066,-0.2627866356144751,-0.11331064134718738,-0.33200465782873523,-0.3067896811178789,0.0
2018-10-22,1.0,-0.22740720817643895,-0.2570378339609109,-0.10532096109019186,-0.3389142908373678,-0.3126681011296396,0.0
2018-10-23,1.0,-0.22627950324507623,-0.25895483841990613,-0.1010801949291473,-0.34361876529901864,-0.3158166588066204,0.0
2018-10-24,1.0,-0.22598248371884125,-0.2592858746912194,-0.10112283853581856,-0.3437457893554907,-0.31556254210644513,0.0
2018-10-25,1.0,-0.21679095395100795,-0.24409727600628445,-0.10017481356907348,-0.34559978756832116,-0.30614502887743134,0.0
2018-10-26,1.0,-0.212119878537165,-0.2404612067068609,-0.09353958544206312,-0.35023984509087713,-0.30403115785767726,0.0
2018-10-29,1.0,-0.21143573171535976,-0.2399261359889204,-0.09228604717624041,-0.35056826925190704,-0.30409549561432436,0.0
2018-10-30,1.0,-0.21390397853482593,-0.23985572587917045,-0.09380017154544855,-0.35023862411753065,-0.3015021223251006,0.0
2018-10-31,1.0,-0.21756452071886698,-0.22684587264409078,-0.09465227765251844,-0.35045859510102223,-0.29945493947420265,0.0
2018-11-01,1.0,-0.22338300814257184,-0.22127603537958435,-0.10003731097601125,-0.3505914887079428,-0.29945350393960013,0.0
2018-11-02,1.0,-0.22204121169425856,-0.22789714688270518,-0.1007617118703769,-0.3496169425854174,-0.30116238112011273,0.0
