Date,APPN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4170083793902655,-2.6652701016223923,-0.48279550722053843,-1.8654840435015154,-1.483776074166518,0.0
2018-09-25,1.0,-1.4198432490203063,-2.6596009975062342,-0.48904524403277516,-1.8607053794086212,-1.477110794442465,0.0
2018-09-26,1.0,-1.4198432490203063,-2.6597791236195225,-0.48877805486284287,-1.8607944424652654,-1.477110794442465,0.0
2018-09-27,1.0,-1.4249888839484215,-2.640017785682526,-0.49373054690973767,-1.85913739439751,-1.4748777234326367,0.0
2018-09-28,1.0,-1.4210760734010335,-2.6498307500445395,-0.4956351327275967,-1.8623730625334047,-1.478888295029396,0.0
2018-10-01,1.0,-1.4264299098777549,-2.6505755331489245,-0.49567234763986795,-1.8679396805567947,-1.4823770857499776,0.0
2018-10-02,1.0,-1.4542214912280704,-2.778508771929825,-0.4825475146198831,-1.9052448830409359,-1.516904239766082,0.0
2018-10-03,1.0,-1.4622095692901094,-2.8027367067682984,-0.4866378914500873,-1.911837634309854,-1.5200661217742677,0.0
2018-10-04,1.0,-1.4632804620885669,-2.791510039424223,-0.4881268909874393,-1.911983130099936,-1.513523425323187,0.0
2018-10-05,1.0,-1.4280113066472142,-2.775325977933801,-0.4481626698276648,-1.9321601167137776,-1.5346038114343028,0.0
2018-10-08,1.0,-1.4221251819505092,-2.765829694323144,-0.4359534206695778,-1.941229985443959,-1.532387190684134,0.0
2018-10-09,1.0,-1.4321979727878733,-2.776641402611634,-0.4466258789151676,-1.9447539037530819,-1.5312756825860654,0.0
2018-10-10,1.0,-1.4326642335766422,-2.773813868613139,-0.44753649635036497,-1.9440693430656935,-1.5260036496350367,0.0
2018-10-11,1.0,-1.2764761012183694,-2.6520405555082216,-0.3164352049075573,-1.8159666013461702,-1.4592314901593253,0.0
2018-10-12,1.0,-1.2807951426432669,-2.6149879397820843,-0.30142227397488147,-1.7463195541878067,-1.373866755385511,0.0
2018-10-15,1.0,-1.2961351848753555,-2.6182867659360882,-0.30876693993642296,-1.7599129998326921,-1.3822988121131004,0.0
2018-10-16,1.0,-1.293300995232918,-2.6270803713306017,-0.30166429706448106,-1.7594714393242454,-1.38170109559254,0.0
2018-10-17,1.0,-1.2580297120092954,-2.550253133040086,-0.23703211884803718,-1.7965806290978503,-1.457465349821562,0.0
2018-10-18,1.0,-1.2612477002843285,-2.5601271115571165,-0.24101020237497908,-1.8241344706472653,-1.4760829570162233,0.0
2018-10-19,1.0,-1.2304397957502884,-2.5252841377038378,-0.21437983857684073,-1.812716191731181,-1.4530555098006919,0.0
2018-10-22,1.0,-1.230528569076239,-2.52181788243043,-0.2160382018771612,-1.8117075580438005,-1.4530709698666229,0.0
2018-10-23,1.0,-1.2475345984917545,-2.5368359990055525,-0.23477252009612995,-1.8099776249274881,-1.4579431507416922,0.0
2018-10-24,1.0,-1.2481383418831709,-2.5323514810524577,-0.2210822439185835,-1.8125930829058414,-1.4599536653979812,0.0
2018-10-25,1.0,-1.1429578568071441,-2.3695754347485507,-0.19849600501331663,-1.7880307065643115,-1.3343255522481592,0.0
2018-10-26,1.0,-1.108325666973321,-2.3155473781048754,-0.17816620668506594,-1.7690892364305426,-1.2952315240723704,0.0
2018-10-29,1.0,-1.072201890820372,-2.346523330283623,-0.14089661482159194,-1.7545745654162854,-1.3100792924672158,0.0
2018-10-30,1.0,-1.0649142857142857,-2.346361904761905,-0.1360761904761905,-1.7549714285714284,-1.3167238095238094,0.0
2018-10-31,1.0,-1.0603389830508474,-2.305160075329567,-0.14252354048964216,-1.7321280602636535,-1.2928060263653482,0.0
2018-11-01,1.0,-1.037813862577056,-2.3318298000300706,-0.11765148098030372,-1.734476018643813,-1.295895354082093,0.0
2018-11-02,1.0,-1.0555638424821001,-2.259770286396181,-0.10314737470167064,-1.755966587112172,-1.2837857995226731,0.0
2018-11-05,1.0,-1.0530670045464707,-2.263918908846985,-0.1031527167026906,-1.754863233211597,-1.2781545800104344,0.0
2018-11-06,1.0,-1.0449928523060719,-2.271988563689715,-0.10759160334060643,-1.7854939432698818,-1.313896621774133,0.0
2018-11-07,1.0,-1.039297028209383,-2.2792276361442148,-0.12105898325539295,-1.7852617287675365,-1.3177704027756827,0.0
2018-11-08,1.0,-1.0003712779386649,-2.267023093487785,-0.0906660726219648,-1.7574069948763642,-1.3100170787851784,0.0
2018-11-09,1.0,-0.9989608076009501,-2.2655136579572446,-0.09233966745843229,-1.7569774346793348,-1.3090112826603326,0.0
2018-11-12,1.0,-0.9957129130017001,-2.2504989282282506,-0.09165496341192993,-1.7536403281839013,-1.3000221745879224,0.0
2018-11-13,1.0,-0.9602108232499443,-2.291886274218692,-0.019152252987899934,-1.8184247643085147,-1.3336055229752803,0.0
2018-11-14,1.0,-0.9619181946403386,-2.290475836983149,-0.019374953604038306,-1.8186474649246531,-1.3329374211268652,0.0
2018-11-15,1.0,-0.9637928476035018,-2.297447692535984,-0.01276153732007716,-1.8303902656180442,-1.3150319038433,0.0
2018-11-16,1.0,-0.956794682422452,-2.2743722304283605,-0.007016248153618908,-1.8246676514032498,-1.3227474150664698,0.0
2018-11-19,1.0,-0.9568653519462293,-2.2747617992466207,-0.006721323583721101,-1.8249501440283624,-1.3227712534160572,0.0
2018-11-20,1.0,-0.9067183273631114,-2.255647342642006,-0.0,-1.818188464069011,-1.3298486731486219,0.0
2018-11-21,1.0,-0.9236060825488775,-2.2441708906589426,-0.0,-1.8146994931209268,-1.2587255611875454,0.0
2018-11-23,1.0,-0.9242719849700122,-2.228340197991184,-0.0,-1.8162439482621577,-1.2570272418527348,0.0
2018-11-26,1.0,-0.9225372486619413,-2.243743671343845,-0.0,-1.813105742803414,-1.2532909012006364,0.0
2018-11-27,1.0,-0.9011406844106464,-2.243919936867781,-0.0,-1.7953224765047708,-1.2336609512877539,0.0
2018-11-28,1.0,-0.9056956115779645,-2.2316311139840552,-0.0,-1.804567981038569,-1.2405372405372408,0.0
2018-11-29,1.0,-0.8445555712072124,-2.1881250880405694,-0.0,-1.7782081983377944,-1.23242710240879,0.0
2018-11-30,1.0,-0.8449890837382914,-2.1892386787801956,-0.0,-1.780477498415381,-1.2280442284667934,0.0
2018-12-03,1.0,-0.8434794848335562,-2.1885424730804424,-0.0,-1.7792948131465973,-1.2264761770708708,0.0
2018-12-04,1.0,-0.8227981458069954,-2.2027672425902516,-0.0,-1.7734232336002247,-1.2243994943109988,0.0
2018-12-06,1.0,-0.7965689585303256,-2.0493043360799676,-0.018168310144536,-1.755977306497366,-1.1340672700256653,0.0
2018-12-07,1.0,-0.8072680517019691,-2.0504838600527844,-0.025512620965013194,-1.7580699736076335,-1.1258712864586857,0.0
