Date,IWF,IWM,MTUM,SBSW,SPY,VLUE,VXX
2018-09-24,-1.5582577934998896,-3.1951138624806545,-0.021667035153659076,1.0,-2.7185496351978777,-2.5609108998452355,0.0
2018-09-25,-1.5641988950276242,-3.188729281767956,-0.03193370165745857,1.0,-2.71292817679558,-2.5518232044198896,0.0
2018-09-26,-1.5650828729281767,-3.1899447513812156,-0.03403314917127072,1.0,-2.7123756906077348,-2.548397790055249,0.0
2018-09-27,-1.568988318271986,-3.162662552347366,-0.0397839982367203,1.0,-2.7067445448534273,-2.5423187128058187,0.0
2018-09-28,-1.564795411933385,-3.1697364067497515,-0.04235138414028896,1.0,-2.7078416234697253,-2.544171170177567,0.0
2018-10-01,-1.5661106815420303,-3.1765160720203247,-0.04484701204020767,1.0,-2.7105931735336353,-2.547995139732685,0.0
2018-10-02,-1.5784281121826846,-3.1424454051657245,-0.0634076044784392,1.0,-2.7315153530650704,-2.569449063296752,0.0
2018-10-03,-1.6375085871307535,-3.194641630409892,-0.06411724295855278,1.0,-2.852301351041905,-2.700938859629036,0.0
2018-10-04,-1.6443352006402197,-3.17400251514805,-0.06710872299073968,1.0,-2.859266034068823,-2.687892991882931,0.0
2018-10-05,-1.5946099613372753,-3.1471457812144643,-0.007618831021150785,1.0,-2.893563793495565,-2.728564930634523,0.0
2018-10-08,-1.5828798185941044,-3.130498866213152,-0.0,1.0,-2.9014739229024946,-2.7231292517006804,0.0
2018-10-09,-1.5788459358349394,-3.130143974606054,-0.0,1.0,-2.902505384876998,-2.7250878585194425,0.0
2018-10-10,-1.5848072562358275,-3.127891156462585,-0.0,1.0,-2.9071428571428575,-2.7179138321995464,0.0
2018-10-11,-1.3312241141279337,-3.2748504371836176,-0.0,1.0,-2.970087436723424,-2.9286700414173956,0.0
2018-10-12,-1.8023655618209324,-4.0264062714894795,-0.0,1.0,-3.5101086508045665,-3.4145234493192134,0.0
2018-10-15,-1.6894300095225137,-4.071010746837165,-0.0,1.0,-3.4587131002584677,-3.384437491497755,0.0
2018-10-16,-1.6970580072162087,-4.214127116291979,-0.0,1.0,-3.5215098529003606,-3.444629475437136,0.0
2018-10-17,-1.6258064516129032,-4.143478260869565,-0.0,1.0,-3.6293127629733517,-3.6267882187938287,0.0
2018-10-18,-1.6248772963118778,-4.1428972093675505,-0.0,1.0,-3.6292245126910667,-3.626419856962558,0.0
2018-10-19,-1.5216070688941048,-4.054397349164711,-0.0,1.0,-3.621979842606655,-3.608449537484468,0.0
2018-10-22,-1.5210315818507791,-4.021238449868983,-0.0,1.0,-3.631637015584057,-3.6172941663218867,0.0
2018-10-23,-1.5218409811216758,-4.01763814248312,-0.0,1.0,-3.6269808460796473,-3.61333884525286,0.0
2018-10-24,-1.5190100926309966,-4.016175860638739,-0.0,1.0,-3.648831743398313,-3.6415042167841833,0.0
2018-10-25,-1.2390348121151187,-3.5539776297599595,-0.0,1.0,-3.47656151816011,-3.298102299861757,0.0
2018-10-26,-1.1912087912087912,-3.6581771170006463,-0.0,1.0,-3.6786037491919847,-3.4001292824822236,0.0
2018-10-29,-1.0833226344845295,-3.697778918988317,-0.0,1.0,-3.6335858261651044,-3.423931185004493,0.0
2018-10-30,-1.0435508735868446,-3.702980472764645,-0.0,1.0,-3.639260020554984,-3.461073997944501,0.0
2018-10-31,-1.0394588500563697,-3.5403983464862834,-0.0,1.0,-3.5673305774771387,-3.3795565576850803,0.0
2018-11-01,-0.9657273419649657,-3.674663620208175,-0.0,1.0,-3.6190657527291186,-3.4339933993399336,0.0
2018-11-02,-1.12417943107221,-3.8172866520787743,-0.0,1.0,-4.022975929978117,-3.711570021881838,0.0
2018-11-05,-1.109456135556163,-3.854331784640612,-0.0,1.0,-4.022410494670676,-3.678874009292157,0.0
2018-11-06,-1.1136394790952708,-3.862645647703906,-0.0,1.0,-4.036737491432488,-3.694996572995202,0.0
2018-11-07,-1.1468974250738708,-3.9857886590685245,-0.0,1.0,-4.141550583931336,-3.796257211200225,0.0
2018-11-08,-0.9928461214756626,-4.036751297517183,-0.0,1.0,-4.131294711740777,-3.8663206620844432,0.0
2018-11-09,-0.9949302915082383,-4.054499366286438,-0.0,1.0,-4.152513730460498,-3.8805801999718352,0.0
2018-11-12,-0.9603445918227813,-3.8802133187474364,-0.0,1.0,-4.063585395870367,-3.770272118145768,0.0
2018-11-13,-0.8008989952406135,-3.761501850872554,-0.0,1.0,-3.9850608143839237,-3.673056583818086,0.0
2018-11-14,-0.80129475492139,-3.757960100409566,-0.0,1.0,-3.982296208217731,-3.6702338485929453,0.0
2018-11-15,-0.814486921529175,-3.8379610999329303,-0.0,1.0,-4.074044265593561,-3.687323943661972,0.0
2018-11-16,-0.8223902374320202,-3.7787504974134505,-0.0,1.0,-4.0164478047486405,-3.646902772250962,0.0
2018-11-19,-0.8215470346291628,-3.7801512538145148,-0.0,1.0,-4.01817699349874,-3.6481358630754936,0.0
2018-11-20,-0.6125147270585155,-3.7184186411834013,-0.0,1.0,-4.025134179866474,-3.7347820395339704,0.0
2018-11-21,-0.6384085294500064,-3.706930178130282,-0.0,1.0,-4.03965674164608,-3.6172149265375113,0.0
2018-11-23,-0.6408332255142968,-3.644585327985509,-0.0,1.0,-4.043860784060033,-3.60900504593091,0.0
2018-11-26,-0.6375483870967742,-3.640129032258065,-0.0,1.0,-4.029548387096774,-3.5961290322580646,0.0
2018-11-27,-0.590079005310193,-3.7022406424038334,-0.0,1.0,-4.0506411086646805,-3.60885895609377,0.0
2018-11-28,-0.5909975353482942,-3.7194188610714742,-0.0,1.0,-4.050590219224283,-3.6108444675055127,0.0
2018-11-29,-0.4464831804281345,-3.484525993883792,-0.0,1.0,-3.8419571865443425,-3.4594495412844037,0.0
2018-11-30,-0.4440234661451968,-3.482155952089953,-0.0,1.0,-3.8408702028843797,-3.454901002199951,0.0
2018-12-03,-0.4384272997032641,-3.535855588526212,-0.0,1.0,-3.891691394658754,-3.498021760633037,0.0
2018-12-04,-0.39951249238269343,-3.5033516148689823,-0.0,1.0,-3.8337599024984765,-3.4509445460085315,0.0
2018-12-06,-0.35468277945619336,-3.2937764350453174,-0.0,1.0,-3.9973413897280965,-3.438791540785498,0.0
2018-12-07,-0.3679302410076299,-3.300351217149085,-0.0,1.0,-4.007387671066973,-3.4353881555044206,0.0
2018-12-10,-0.23073041503721461,-3.5516588873470423,-0.0,1.0,-4.273243345527943,-3.5594802573483038,0.0
2018-12-11,-0.23249653084395105,-3.5515327362179896,-0.0,1.0,-4.271351078592153,-3.5598587107354613,0.0
2018-12-12,-0.23132438592048624,-3.5669789820207654,-0.0,1.0,-4.285008863003292,-3.5781210433021022,0.0
2018-12-13,-0.22925050301810868,-3.530055331991952,-0.0,1.0,-4.266976861167002,-3.5492957746478875,0.0
2018-12-14,-0.26998974884674526,-3.5220399794976935,-0.0,1.0,-4.400051255766274,-3.62198872373142,0.0
2018-12-17,-0.18573776710077128,-3.4874193956252375,-0.0,1.0,-4.314199013781768,-3.656467315716273,0.0
