Date,EVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1805537585716134,-0.27565014879027044,-0.08347349808082115,-0.31099322896450593,-0.3057100961745806,0.0
2018-09-25,1.0,-0.18125767995343522,-0.27492616465820163,-0.08463578157673486,-0.3103024554293229,-0.30465432125379954,0.0
2018-09-26,1.0,-0.18131844442528242,-0.2749849098904889,-0.08480641545227213,-0.31025265154781406,-0.30436750883849273,0.0
2018-09-27,1.0,-0.18257028977701173,-0.2716578692233114,-0.08574814176451578,-0.3102445330173435,-0.3042335451901325,0.0
2018-09-28,1.0,-0.18288189281789385,-0.2715754088822807,-0.08584911759001874,-0.3102764669123193,-0.30426444286422305,0.0
2018-10-01,1.0,-0.18332866409499388,-0.27116781242592075,-0.08579186690515699,-0.3105187164622977,-0.30422601986940495,0.0
2018-10-02,1.0,-0.18433020799655137,-0.2631318029960125,-0.08869490246793836,-0.31266300247871537,-0.30660631533570426,0.0
2018-10-03,1.0,-0.18411412317372755,-0.2583502133344826,-0.08794121449812524,-0.31459294056803006,-0.3098952721630824,0.0
2018-10-04,1.0,-0.18472874563709224,-0.2572499676821649,-0.08814150902744862,-0.3152712543629077,-0.30913086568707715,0.0
2018-10-05,1.0,-0.18825740392715962,-0.2611193917006891,-0.08906314129566026,-0.3145615967856911,-0.3071738707795995,0.0
2018-10-08,1.0,-0.18882207898948827,-0.26246917852662544,-0.08958774927542501,-0.3142925120041528,-0.3077388934550331,0.0
2018-10-09,1.0,-0.1889612215325389,-0.26238726560979303,-0.08992797975647208,-0.3140774704241192,-0.30739451088954733,0.0
2018-10-10,1.0,-0.18968238524572442,-0.26146461698125445,-0.09087371083868456,-0.31445806577155094,-0.3056582560377073,0.0
2018-10-11,1.0,-0.18844925785295133,-0.2598377632033138,-0.08812996202968588,-0.3155203658957542,-0.30546686227131514,0.0
2018-10-12,1.0,-0.19470255260066216,-0.2544697212431913,-0.08834775178895653,-0.3051158816618605,-0.29341023176332376,0.0
2018-10-15,1.0,-0.18621763426182655,-0.2684170114746406,-0.0764833852322655,-0.3056776009896344,-0.29603719660453015,0.0
2018-10-16,1.0,-0.18442911746492707,-0.27787149537699385,-0.069782836155538,-0.30674126113044775,-0.2964916401528902,0.0
2018-10-17,1.0,-0.18076327457094973,-0.26890684995439024,-0.06678122149387981,-0.306179596512442,-0.29877596045737076,0.0
2018-10-18,1.0,-0.17992235398943504,-0.26758172985128453,-0.06748414196915374,-0.3075503320109468,-0.2989159259180686,0.0
2018-10-19,1.0,-0.17617750754744865,-0.26279899508096355,-0.0643908206135073,-0.30875926277788335,-0.29902674858023515,0.0
2018-10-22,1.0,-0.17801334572176705,-0.25876340907171214,-0.059422248500717964,-0.3129276121294028,-0.30253822113354173,0.0
2018-10-23,1.0,-0.17706526796666808,-0.2602258787699336,-0.05596209974197369,-0.3166955712533311,-0.3050209382005837,0.0
2018-10-24,1.0,-0.17630818892286781,-0.2661612300373768,-0.0588260278627251,-0.31774549779136935,-0.3046423717295277,0.0
2018-10-25,1.0,-0.1664959337695733,-0.25097735872723853,-0.057742562665941924,-0.32011372901553325,-0.29525641293667554,0.0
2018-10-26,1.0,-0.16048125675338706,-0.24750644169229488,-0.04741916715152523,-0.3287756628709168,-0.29378272795278865,0.0
