Date,HCCI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6426223289922873,-2.061448982172209,-0.07029965861676571,-1.2308129978505502,-1.3167277784802125,0.0
2018-09-25,1.0,-0.6448474126492703,-2.0582548808997285,-0.07442977190876351,-1.228154419662602,-1.3126934984520124,0.0
2018-09-26,1.0,-0.686119976551814,-2.1237543151175666,-0.10056666449553833,-1.2721292255585228,-1.3308148244642741,0.0
2018-09-27,1.0,-0.6877245704579604,-2.133011040700333,-0.10126086104396681,-1.276148167505063,-1.3348141373227933,0.0
2018-09-28,1.0,-0.6896529184914048,-2.1323615922609322,-0.10196744885286621,-1.2769462056343552,-1.335446761226224,0.0
2018-10-01,1.0,-0.6905026472318453,-2.130988953526374,-0.1022942675991895,-1.2772076606314138,-1.3352506699784301,0.0
2018-10-02,1.0,-0.6912466496698699,-2.1310060796234556,-0.10368046022095835,-1.2765901810812579,-1.334640779237759,0.0
2018-10-03,1.0,-0.6904186532558292,-2.1234406635752077,-0.10358565737051792,-1.27712102410032,-1.3366860427143885,0.0
2018-10-04,1.0,-0.6925686696679063,-2.11593919227507,-0.10465192144581457,-1.2790500424088211,-1.332224179552424,0.0
2018-10-05,1.0,-0.6749918910152449,-2.1132014271813166,-0.08485241647745702,-1.279338306843983,-1.3347388906908852,0.0
2018-10-08,1.0,-0.6699857752489332,-2.1058450795292902,-0.07855942066468383,-1.28022759601707,-1.3311780680201735,0.0
2018-10-09,1.0,-0.668268918480026,-2.1166612536537834,-0.06313738226696979,-1.2965898018837285,-1.3510230594348815,0.0
2018-10-10,1.0,-0.6737376366475792,-2.1173867777199376,-0.06734773555439874,-1.3017959396147838,-1.346759500260281,0.0
2018-10-11,1.0,-0.5292859389745203,-2.126077382824788,-0.0,-1.2617175212330922,-1.374205725070777,0.0
2018-10-12,1.0,-0.5580736543909349,-2.1514636449480644,-0.0,-1.2404154863078376,-1.3452313503305005,0.0
2018-10-15,1.0,-0.5111710807079201,-2.1927325216518136,-0.0,-1.2283168068281662,-1.343667628969499,0.0
2018-10-16,1.0,-0.5030805985162831,-2.2122469508361626,-0.0,-1.2281528982773795,-1.3435181692443103,0.0
2018-10-17,1.0,-0.45563974092631065,-2.13008676524502,-0.0,-1.1948551875840157,-1.3297079310766222,0.0
2018-10-18,1.0,-0.45812415819762453,-2.1363413738214763,-0.0,-1.1953593730868128,-1.3323129668176807,0.0
2018-10-19,1.0,-0.4268247499073731,-2.1466592565147584,-0.0,-1.2348400642213166,-1.3667407681857477,0.0
2018-10-22,1.0,-0.4277153095267515,-2.131780551093538,-0.0,-1.243790930433708,-1.3748301000864944,0.0
2018-10-23,1.0,-0.43703978714188474,-2.135511416372749,-0.0,-1.240888558876307,-1.374358022399604,0.0
2018-10-24,1.0,-0.43504962779156325,-2.1333746898263026,-0.0,-1.2486972704714638,-1.3863523573200993,0.0
2018-10-25,1.0,-0.36010045326473117,-2.083241455347299,-0.0,-1.3198578953816,-1.361999264976112,0.0
