Date,IWF,IWM,MTUM,SPY,TCOM,VLUE,VXX
2018-09-24,-0.4640707611478735,-0.6092175705782596,-0.23792105875702457,-0.5673860273334885,1.0,-0.44661324111329104,0.0
2018-09-25,-0.46330259849119865,-0.622162615255658,-0.2298742665549036,-0.578206202849958,1.0,-0.45934618608549876,0.0
2018-09-26,-0.463106208380978,-0.623730409632071,-0.22516311293468755,-0.5823972556669132,1.0,-0.4687563059124235,0.0
2018-09-27,-0.4674962165797881,-0.6147637464267698,-0.2279468639650244,-0.5834874726752984,1.0,-0.46934588868336974,0.0
2018-09-28,-0.4684945332211942,-0.6142977291841885,-0.22805719091673676,-0.583717409587889,1.0,-0.4696383515559293,0.0
2018-10-01,-0.4755036397494498,-0.6172676485525648,-0.22651091924834943,-0.5918740477399695,1.0,-0.4746233282546132,0.0
2018-10-02,-0.47588097897836906,-0.6123692495176196,-0.2283944348532548,-0.5927016688669984,1.0,-0.4757794252056464,0.0
2018-10-03,-0.47597587422065607,-0.600975874220656,-0.2262130658715099,-0.5992816481431282,1.0,-0.4860395771211711,0.0
2018-10-04,-0.4749830278343517,-0.6057705363204345,-0.22617107942973524,-0.5981670061099796,1.0,-0.4893075356415479,0.0
2018-10-05,-0.4831153754225424,-0.6164851299211254,-0.22685833304879297,-0.6002321849284665,1.0,-0.487793218834295,0.0
2018-10-08,-0.4853863285934556,-0.6214493746787734,-0.2280966249785849,-0.6011649820113072,1.0,-0.49032037005310947,0.0
2018-10-09,-0.4907716102423097,-0.6244028183536691,-0.2367760783639801,-0.5993125966660938,1.0,-0.4857535659047947,0.0
2018-10-10,-0.4927989550751039,-0.6228989791358746,-0.23888907984738597,-0.6005568349774859,1.0,-0.48207472587907746,0.0
2018-10-11,-0.45115625313744523,-0.6200595696261838,-0.18038218265787626,-0.5937552290753321,1.0,-0.5012215119975904,0.0
2018-10-12,-0.4929515418502203,-0.6447983734327347,-0.1757031514740766,-0.5886479159606913,1.0,-0.4865808200609963,0.0
2018-10-15,-0.5703564047714006,-0.6456981255211921,-0.22377723795366375,-0.6524418984083246,1.0,-0.5334469381095682,0.0
2018-10-16,-0.5944475498416247,-0.6419228619340414,-0.24754984162474383,-0.6805664244456866,1.0,-0.5619899385131358,0.0
2018-10-17,-0.5884959132228248,-0.633259491253533,-0.19421740126804676,-0.7475746696203498,1.0,-0.6558322511649225,0.0
