Date,ACIA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.2575819393444854,-3.468652250781994,-1.288045695634435,-2.86359309125527,-2.721882224942201,0.0
2018-09-25,1.0,-2.264597795018375,-3.4676738804954406,-1.2969919695113652,-2.8630733632775285,-2.718660677827685,0.0
2018-09-26,1.0,-2.2647339049952366,-3.4679461004491636,-1.2975364094188104,-2.862937253300667,-2.717707907989656,0.0
2018-09-27,1.0,-2.3070985527222603,-3.4898690558235703,-1.3235010337698139,-2.9058580289455547,-2.757408683666437,0.0
2018-09-28,1.0,-2.306863692860102,-3.501726280900428,-1.326198038944897,-2.9117525203701144,-2.763568567877365,0.0
2018-10-01,1.0,-2.3086061610719715,-3.501312335958006,-1.3265644426025696,-2.913109545517337,-2.7643320900676893,0.0
2018-10-02,1.0,-2.308786957723128,-3.5031776733904394,-1.3266095606521138,-2.9130975407571156,-2.7642995302569773,0.0
2018-10-03,1.0,-2.3065985643290996,-3.4837106570955267,-1.3237161789066814,-2.917310877967973,-2.773053561568194,0.0
2018-10-04,1.0,-2.3047369870559073,-3.467364362434591,-1.3225006885155604,-2.9139355549435413,-2.761773616083723,0.0
2018-10-05,1.0,-2.25764192139738,-3.4327237991266375,-1.2725163755458515,-2.9148471615720526,-2.7685589519650655,0.0
2018-10-08,1.0,-2.2349837662337664,-3.4015151515151514,-1.2525703463203464,-2.895021645021645,-2.744047619047619,0.0
2018-10-09,1.0,-2.233734613823888,-3.4025429460300285,-1.2490193426213987,-2.8959826863249023,-2.745029081563642,0.0
2018-10-10,1.0,-2.2339821573398213,-3.3988915923222494,-1.2497972424979724,-2.8951067856177346,-2.7392538523925385,0.0
2018-10-11,1.0,-1.9916328600405677,-3.2941176470588234,-0.952205882352941,-2.7590010141987826,-2.6805273833671395,0.0
2018-10-12,1.0,-2.0063957863054926,-3.2826686731878603,-0.9229997491848507,-2.7101830950589414,-2.618510158013544,0.0
2018-10-15,1.0,-1.9499378881987577,-3.325341614906832,-0.8495652173913044,-2.68944099378882,-2.6081987577639754,0.0
2018-10-16,1.0,-1.9485678704856788,-3.3576587795765884,-0.8343711083437112,-2.6968866749688667,-2.6156911581569116,0.0
2018-10-17,1.0,-1.844425857330625,-3.1762456685386544,-0.7477595889592543,-2.6160831640578324,-2.5643446050902137,0.0
2018-10-18,1.0,-1.8428912783751494,-3.173476702508961,-0.7487455197132618,-2.618040621266428,-2.5642771804062128,0.0
2018-10-19,1.0,-1.7898321005048725,-3.118351532229658,-0.6961371374897265,-2.5984501585065165,-2.538217682282494,0.0
2018-10-22,1.0,-1.7879320445225544,-3.1053309900410078,-0.6895137668424136,-2.597188049209139,-2.536613942589338,0.0
2018-10-23,1.0,-1.7936898897490032,-3.1074360778794277,-0.6986863711001642,-2.593830635702557,-2.535303776683087,0.0
2018-10-24,1.0,-1.7899169493508011,-3.0974382968768275,-0.6816001871563926,-2.5927009006901396,-2.5356182009591763,0.0
2018-10-25,1.0,-1.6021320124905785,-2.8206094540755897,-0.589210724668892,-2.4452460428556044,-2.310541617314526,0.0
2018-10-26,1.0,-1.538831902867909,-2.740004186728072,-0.5344358383922965,-2.40726397320494,-2.2461796106342895,0.0
2018-10-29,1.0,-1.4922189013707101,-2.727094712975368,-0.49366175409667107,-2.3672060187570856,-2.2259095125219,0.0
2018-10-30,1.0,-1.485129155089019,-2.724812184830709,-0.48790779047030974,-2.3652361840074096,-2.2281568385304107,0.0
2018-10-31,1.0,-1.4731564019448946,-2.652856564019449,-0.48024716369529985,-2.333569692058347,-2.1899311183144246,0.0
2018-11-01,1.0,-1.4445343310749317,-2.6893518050358987,-0.4447365759935281,-2.337445646678127,-2.1961775710385276,0.0
2018-11-02,1.0,-1.4327898190495127,-2.6104593358520582,-0.42950884867766953,-2.313879498906343,-2.155597534301054,0.0
2018-11-05,1.0,-1.6542669584245075,-3.1285270067948865,-0.541633076125763,-2.717493953702637,-2.4747207186456293,0.0
2018-11-06,1.0,-1.6547714976401517,-3.127662023713595,-0.5417290203752734,-2.7152066305974443,-2.4721998388396456,0.0
2018-11-07,1.0,-1.6784332121496424,-3.192330245103788,-0.5628005160079746,-2.7679136859387827,-2.525976310542981,0.0
2018-11-08,1.0,-1.5963187378529782,-3.150680233222819,-0.4889676460500743,-2.7048130787698637,-2.4917114439236308,0.0
2018-11-09,1.0,-1.5992427719137217,-3.1616567232675536,-0.4928866452501147,-2.7178751720972922,-2.5013767783386873,0.0
2018-11-12,1.0,-1.5883289728131043,-3.1072687976339437,-0.4839039927198271,-2.715618245933341,-2.480263906267774,0.0
