Date,IWF,IWM,MTUM,NFBK,SPY,VLUE,VXX
2018-09-24,-0.1610738255033557,-0.722805632320042,-0.023345176996973284,1.0,-0.3803131991051454,-0.3443874193972891,0.0
2018-09-25,-0.15977866617246037,-0.7305604829101693,-0.01736782187392444,1.0,-0.38709592015037997,-0.3526779804612004,0.0
2018-09-26,-0.15977443609022557,-0.7306470401355502,-0.01736736206713968,1.0,-0.3870856719262946,-0.35258921952769245,0.0
2018-09-27,-0.1698897235096692,-0.7211123541633372,-0.021495924564487776,1.0,-0.39355921368067764,-0.357652762239625,0.0
2018-09-28,-0.16619763608587282,-0.7320361287555949,-0.02216504516094449,1.0,-0.3977915360081477,-0.36195759963549623,0.0
2018-10-01,-0.16587690485165044,-0.7388939744763342,-0.022777448710354857,1.0,-0.39960152926606,-0.3652199666146142,0.0
2018-10-02,-0.1695323622823349,-0.7911510239842295,-0.00961011937356259,1.0,-0.4020917752710546,-0.36554046654254735,0.0
2018-10-03,-0.16931245894460256,-0.78489708780381,-0.008785855047076855,1.0,-0.4044504050799212,-0.36963542807094374,0.0
2018-10-04,-0.16865356682835922,-0.7877168461728192,-0.008934199347748636,1.0,-0.40340924662226973,-0.3718106826714901,0.0
2018-10-05,-0.15338950593642284,-0.7836078130984298,-0.0,1.0,-0.41404497455818795,-0.3846090715106418,0.0
2018-10-08,-0.15220837433038156,-0.7827976385700229,-0.0,1.0,-0.41417951240844,-0.38395102219306876,0.0
2018-10-09,-0.14792122538293218,-0.7831236323851204,-0.0,1.0,-0.4164113785557987,-0.38777352297593004,0.0
2018-10-10,-0.1535591825538335,-0.7837608009875188,-0.0,1.0,-0.4214511041009464,-0.3843094225757784,0.0
2018-10-11,-0.10329229122055675,-0.7819325481798716,-0.0,1.0,-0.4040685224839401,-0.3873661670235546,0.0
2018-10-12,-0.09656371172616661,-0.7873779917101216,-0.0,1.0,-0.40393100681909344,-0.38630832999064046,0.0
2018-10-15,-0.047509954726449574,-0.8644793541700758,-0.0,1.0,-0.41040746195385375,-0.40492554410080184,0.0
2018-10-16,-0.04657758385601309,-0.8658849195527679,-0.0,1.0,-0.41000818107444775,-0.4045541314425961,0.0
2018-10-17,-0.035925236669633466,-0.8479650457156729,-0.0,1.0,-0.40639749710062845,-0.4068020605766378,0.0
2018-10-18,-0.03496786736512394,-0.846303396878544,-0.0,1.0,-0.41070367770157157,-0.40824647621104926,0.0
2018-10-19,-0.0297850507669043,-0.8522899114279543,-0.0,1.0,-0.41064484769928716,-0.4076474400518471,0.0
2018-10-22,-0.02991972756020433,-0.8424822292494392,-0.0,1.0,-0.4169572150598665,-0.41341657882645483,0.0
2018-10-23,-0.029276600346020757,-0.8426146193771625,-0.0,1.0,-0.4176038062283737,-0.4138192041522491,0.0
