Date,EVX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22796780081994192,-0.7413292635484933,-0.0,-0.5363138522309003,-0.4869078612682167,0.0
2018-09-25,1.0,-0.23028834649437666,-0.7401591289782244,-0.0,-0.5355049054797798,-0.48516391481215604,0.0
2018-09-26,1.0,-0.22972204769170929,-0.739909643060168,-0.0,-0.5357687819764833,-0.48652125781647365,0.0
2018-09-27,1.0,-0.2310106716886378,-0.7364660867485726,-0.0,-0.5355872418019311,-0.4862344184378083,0.0
2018-09-28,1.0,-0.23025647157290607,-0.737161475458839,-0.0,-0.5354815567645125,-0.4862796676032761,0.0
2018-10-01,1.0,-0.2315030803277708,-0.7362880555057121,-0.0,-0.5363658113523536,-0.4864824451223159,0.0
2018-10-02,1.0,-0.23388857322288345,-0.7277430545171806,-0.0,-0.5393103860761386,-0.4896079428212566,0.0
2018-10-03,1.0,-0.2350774207074186,-0.7323070472311239,-0.0,-0.5391596034622181,-0.4884243313666177,0.0
2018-10-04,1.0,-0.23792133149733577,-0.7275040411902053,-0.0,-0.5424773992695923,-0.4855415194875172,0.0
2018-10-05,1.0,-0.22085542383987608,-0.7190087567760768,-0.0,-0.5468815154583905,-0.49177935307082865,0.0
2018-10-08,1.0,-0.21945923436152176,-0.7174216960647253,-0.0,-0.5468038906570689,-0.49085338647788457,0.0
2018-10-09,1.0,-0.21994824047356992,-0.7177320998304428,-0.0,-0.5466579409227473,-0.4903471457893327,0.0
2018-10-10,1.0,-0.2209568552823288,-0.7168683654961197,-0.0,-0.5472926763997502,-0.4883292200648211,0.0
2018-10-11,1.0,-0.15368917248713748,-0.70400390905694,-0.0,-0.5233249978442701,-0.4932884941507861,0.0
2018-10-12,1.0,-0.15508944746376813,-0.6958220108695653,-0.0,-0.5061990489130435,-0.473533740942029,0.0
2018-10-15,1.0,-0.11827314380033581,-0.7415691966191411,-0.0,-0.5052221178747262,-0.48077634537124,0.0
2018-10-16,1.0,-0.11509235279050573,-0.7468195918831999,-0.0,-0.5042832341975695,-0.4798360702393488,0.0
2018-10-17,1.0,-0.10401413784397881,-0.7245645039131532,-0.0,-0.49754551319812623,-0.47900361861482793,0.0
2018-10-18,1.0,-0.1041216576414803,-0.7253163491484527,-0.0,-0.4972082713728571,-0.479111136051177,0.0
2018-10-19,1.0,-0.08932692040368094,-0.7157274319552949,-0.0,-0.4977897634073785,-0.47732769885178905,0.0
2018-10-22,1.0,-0.08945171166156415,-0.7062065126635124,-0.0,-0.5042582799888673,-0.4832730308934038,0.0
2018-10-23,1.0,-0.09132140571523972,-0.7061409610729291,-0.0,-0.5026572803917749,-0.48237290965246665,0.0
2018-10-24,1.0,-0.09286236571235727,-0.7225659485910343,-0.0,-0.5100118116879465,-0.48683840485966595,0.0
2018-10-25,1.0,-0.05844226579520697,-0.681781045751634,-0.0,-0.5233115468409586,-0.45977668845315905,0.0
2018-10-26,1.0,-0.04211916246732599,-0.6702956156188525,-0.0,-0.5300331455981029,-0.45231614972109196,0.0
2018-10-29,1.0,-0.03342102437453022,-0.6721518307741866,-0.0,-0.5266562869107698,-0.4521636422205519,0.0
2018-10-30,1.0,-0.027719637202812217,-0.672113991305748,-0.0,-0.5268072774110449,-0.45679708044866635,0.0
2018-10-31,1.0,-0.030701637598189325,-0.6564771668219944,-0.0,-0.5237118892291306,-0.4518972174144588,0.0
2018-11-01,1.0,-0.03253223915592028,-0.6555472663327294,-0.0,-0.5241127571139295,-0.4522007886603432,0.0
2018-11-02,1.0,-0.038819258591907574,-0.6280770555658602,-0.0,-0.5344338747714567,-0.44847505233313023,0.0
2018-11-05,1.0,-0.03691932835425605,-0.6329784416547486,-0.0,-0.5345886964351925,-0.4439853805815986,0.0
2018-11-06,1.0,-0.04296657566199273,-0.6384552177485621,-0.0,-0.5310785379171417,-0.43812123943064646,0.0
2018-11-07,1.0,-0.04287569229138512,-0.6383390306595649,-0.0,-0.530778811246257,-0.437952142459655,0.0
2018-11-08,1.0,-0.019171174956667893,-0.6401334103681916,-0.0,-0.5233993382005357,-0.44348442670308313,0.0
2018-11-09,1.0,-0.01898534740822436,-0.6399348773698861,-0.0,-0.52368573079145,-0.4433065490257865,0.0
2018-11-12,1.0,-0.019811892404563058,-0.6230998234844692,-0.0,-0.5444582027030588,-0.44719024158916665,0.0
2018-11-13,1.0,-0.0,-0.619539689995303,-0.0,-0.5467877459422786,-0.44313971087104015,0.0
2018-11-14,1.0,-0.0,-0.6202026003864027,-0.0,-0.5469949349903399,-0.4436060780115921,0.0
2018-11-15,1.0,-0.0,-0.6198607816044007,-0.0,-0.5472273639752848,-0.43999791433115204,0.0
2018-11-16,1.0,-0.0,-0.6140624593702056,-0.0,-0.5448942975271082,-0.44135007930935843,0.0
2018-11-19,1.0,-0.0,-0.613930632832406,-0.0,-0.5446414643024283,-0.4413967032395611,0.0
2018-11-20,1.0,-0.0,-0.5975549742288068,-0.0,-0.5359631174078583,-0.4565515812375353,0.0
2018-11-21,1.0,-0.0,-0.5948238084190447,-0.0,-0.5338334235557961,-0.44912741989534194,0.0
2018-11-23,1.0,-0.0,-0.5905953852492789,-0.0,-0.5352286773794809,-0.4493459002884219,0.0
2018-11-26,1.0,-0.0,-0.5927670527670528,-0.0,-0.5335392535392535,-0.4476962676962677,0.0
2018-11-27,1.0,-0.0,-0.5933674775928297,-0.0,-0.5262483994878361,-0.4412291933418694,0.0
2018-11-28,1.0,-0.0,-0.5932186027453391,-0.0,-0.5263521819299324,-0.44137984019668103,0.0
2018-11-29,1.0,-0.0,-0.5825846403735851,-0.0,-0.5172833866301203,-0.4380995888533577,0.0
2018-11-30,1.0,-0.0,-0.5839449424791122,-0.0,-0.519897402036722,-0.4357112019706935,0.0
2018-12-03,1.0,-0.0,-0.584441962018889,-0.0,-0.5193459937036661,-0.4350563623438611,0.0
2018-12-04,1.0,-0.0,-0.5852485572542271,-0.0,-0.5139718538017617,-0.43191252404576286,0.0
2018-12-06,1.0,-0.0,-0.5444378756527737,-0.0,-0.5088186028180116,-0.41004039806877524,0.0
2018-12-07,1.0,-0.0,-0.5473879673186433,-0.0,-0.5106461995543451,-0.4178509532062392,0.0
2018-12-10,1.0,-0.0,-0.5442898166556218,-0.0,-0.5040129592813489,-0.40610657045382026,0.0
2018-12-11,1.0,-0.0,-0.5442049973000834,-0.0,-0.5045162240439841,-0.4057483677777233,0.0
