Date,IWF,IWM,JKS,MTUM,SPY,VLUE,VXX
2018-09-24,-1.3354514164680966,-2.482393433942282,1.0,-0.23298914482393435,-1.976348071661813,-1.798164327949872,0.0
2018-09-25,-1.3355390859361216,-2.481295217928357,1.0,-0.23363331568731252,-1.9754720310569966,-1.7970707605434975,0.0
2018-09-26,-1.3356884217963438,-2.483087520975007,1.0,-0.2303276516824163,-1.9788042038329066,-1.8036739380022961,0.0
2018-09-27,-1.341773268636965,-2.4643140714600795,1.0,-0.235465372739303,-1.9782090868989854,-1.8023820026466695,0.0
2018-09-28,-1.3384383852691217,-2.481055240793201,1.0,-0.23822592067988668,-1.9852160056657224,-1.809844192634561,0.0
2018-10-01,-1.360837658850904,-2.5033112582781456,1.0,-0.23903705029532843,-2.0140504743153747,-1.8321997494182922,0.0
2018-10-02,-1.3616279069767443,-2.488819320214669,1.0,-0.24481216457960644,-2.0152057245080504,-1.834078711985689,0.0
2018-10-03,-1.3649000089678056,-2.468298807281858,1.0,-0.2417720383822079,-2.0331808806385077,-1.8596538427046903,0.0
2018-10-04,-1.370363734097832,-2.4542196738935678,1.0,-0.24377351729080812,-2.039419458878337,-1.8511019530550081,0.0
2018-10-05,-1.3385777777777779,-2.432711111111111,1.0,-0.20675555555555555,-2.0485333333333333,-1.862311111111111,0.0
2018-10-08,-1.3438893844781445,-2.444513826940232,1.0,-0.2071364852809991,-2.0552185548617308,-1.8698483496877787,0.0
2018-10-09,-1.3407751384175746,-2.448919449901768,1.0,-0.19521343096981605,-2.0640292909448115,-1.8812287908555099,0.0
2018-10-10,-1.3504970000895495,-2.451777558878839,1.0,-0.2022029193158413,-2.0737888421241157,-1.8766006984866122,0.0
2018-10-11,-1.1988795518207283,-2.3931754519989816,1.0,-0.01697648756472286,-2.003480179950768,-1.8757321110262288,0.0
2018-10-12,-1.2124468882779305,-2.3655752728484547,1.0,-0.0,-1.9465133716570857,-1.8067149879196867,0.0
2018-10-15,-1.1554799634945658,-2.409358665892309,1.0,-0.0,-1.9302248402887248,-1.801626151165685,0.0
2018-10-16,-1.1452236797847293,-2.489572822065254,1.0,-0.0,-1.951732256979482,-1.8224857046754122,0.0
2018-10-17,-1.0743625481675823,-2.3656636877920802,1.0,-0.0,-1.9257194392063623,-1.8329917192752316,0.0
2018-10-18,-1.0761967320798096,-2.3723622629115693,1.0,-0.0,-1.9265128499876838,-1.8357007964529108,0.0
2018-10-19,-1.0285389056020815,-2.3380762663631187,1.0,-0.0,-1.9312952272542483,-1.8328319375558988,0.0
2018-10-22,-1.028673543985054,-2.3288928600438634,1.0,-0.0,-1.9317683372593617,-1.8334822516448706,0.0
2018-10-23,-1.0260437861154066,-2.333767396435257,1.0,-0.0,-1.93944819728168,-1.8395051680638073,0.0
2018-10-24,-1.022238514173998,-2.3398501140436627,1.0,-0.0,-1.9425708699902249,-1.8412349299446076,0.0
2018-10-25,-0.9083714795562107,-2.1856621925673054,1.0,-0.0,-1.9328885095818138,-1.7315540383272556,0.0
2018-10-26,-0.8579696900464548,-2.135785545655319,1.0,-0.0,-1.927119031299977,-1.694691950346508,0.0
2018-10-29,-0.8259029771799908,-2.1346531660873502,1.0,-0.0,-1.9077376454586672,-1.6880761674474836,0.0
2018-10-30,-0.8242671501964339,-2.134481716530674,1.0,-0.0,-1.907600483529767,-1.6888032638259292,0.0
2018-10-31,-0.8233407904548844,-2.0842654735272186,1.0,-0.0,-1.8857568978374348,-1.663683818046234,0.0
2018-11-01,-0.825759271696142,-2.084023580329826,1.0,-0.0,-1.8874710842474443,-1.6648757555406315,0.0
2018-11-02,-0.8264321757197982,-2.059142178688038,1.0,-0.0,-1.8814188186405463,-1.653606411398041,0.0
2018-11-05,-0.8156382899350891,-2.1161680220846075,1.0,-0.0,-1.897187196896217,-1.6319480713273147,0.0
2018-11-06,-0.8531637417485107,-2.2457736274351956,1.0,-0.0,-2.1011914345516023,-1.850185155369506,0.0
2018-11-07,-0.8721841736116841,-2.3157026157273704,1.0,-0.0,-2.156283521742718,-1.907335588744946,0.0
2018-11-08,-0.789033685763462,-2.332677649373002,1.0,-0.0,-2.1394148020654042,-1.9348414064420951,0.0
2018-11-09,-0.7944078947368421,-2.3411184210526317,1.0,-0.0,-2.145230263157895,-1.9430098684210526,0.0
2018-11-12,-0.7913769123783031,-2.2941176470588234,1.0,-0.0,-2.1615806266873925,-1.9343041806430499,0.0
2018-11-13,-0.7172094534232112,-2.2918054089174045,1.0,-0.0,-2.1794850970518964,-1.9330788597417363,0.0
2018-11-14,-0.7169487368162865,-2.3124029106369064,1.0,-0.0,-2.196304472242662,-1.9502084866323275,0.0
2018-11-15,-0.7216460905349794,-2.3396707818930045,1.0,-0.0,-2.2311934156378603,-1.9379423868312757,0.0
2018-11-16,-0.7157601572739187,-2.3206913499344695,1.0,-0.0,-2.220347313237222,-1.9345511140235911,0.0
2018-11-19,-0.7129857353664535,-2.323905558288244,1.0,-0.0,-2.2241351041154287,-1.9370388588293161,0.0
2018-11-20,-0.6049232269071411,-2.2988869932569664,1.0,-0.0,-2.2335689333008366,-1.9868388983670484,0.0
2018-11-21,-0.6168742466854158,-2.280433909200482,1.0,-0.0,-2.2265166733627964,-1.911530735235034,0.0
2018-11-23,-0.6170127475346749,-2.2636895694700554,1.0,-0.0,-2.227451294796761,-1.9090836206205404,0.0
2018-11-26,-0.6152057101611998,-2.277167375090224,1.0,-0.0,-2.223193519929425,-1.9043227203464592,0.0
2018-11-27,-0.6519106456100155,-2.31175844857213,1.0,-0.0,-2.2682268226822684,-1.9506587022338597,0.0
2018-11-28,-0.673289550253554,-2.302352647767894,1.0,-0.0,-2.334774295452656,-2.002826502618672,0.0
2018-11-29,-0.5966769832220232,-2.2506108486724226,1.0,-0.0,-2.304039745886952,-1.993321387848184,0.0
