Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WTRE
2019-11-25,-0.5040399455288244,-0.525828415796641,-3.036677258284158,-2.592555605991829,-1.4193372673626874,0.0,1.0
2019-11-26,-0.49305430272415657,-0.4485837993866138,-3.0343676709363163,-2.607162186541584,-1.437308316795959,0.0,1.0
2019-11-27,-0.4938271604938272,-0.44759845003154003,-3.0222582680003605,-2.6034964404794088,-1.4442642155537533,0.0,1.0
2019-11-29,-0.4903690369036904,-0.43969396939693967,-3.0216021602160215,-2.6004500450045005,-1.448874887488749,0.0,1.0
2019-12-02,-0.49163425884055345,-0.4302251967079678,-3.0437731753640227,-2.627928009405806,-1.4504838563805733,0.0,1.0
2019-12-03,-0.4433590249148593,-0.4064348449542929,-3.012636673238932,-2.6335364760709803,-1.4662125829001613,0.0,1.0
2019-12-04,-0.4147955988907774,-0.40388227927363807,-3.033008319169872,-2.640576080150282,-1.4531711244297345,0.0,1.0
2019-12-05,-0.41572028972547614,-0.3985513726191541,-3.0397925422516323,-2.63963158365376,-1.4483591165161407,0.0,1.0
2019-12-06,-0.41700947952065814,-0.3991235914863173,-3.039259524235378,-2.638883920586657,-1.44857807190127,0.0,1.0
2019-12-09,-0.40695187165775404,-0.3836007130124778,-3.059001782531195,-2.6180926916221035,-1.4450980392156865,0.0,1.0
2019-12-10,-0.3923479516332792,-0.3963183540877098,-3.113607652048367,-2.6639595740841,-1.4574084100342897,0.0,1.0
2019-12-11,-0.3927506101419145,-0.4031456205369249,-3.117779987345205,-2.6678116243333636,-1.4576516315646748,0.0,1.0
2019-12-12,-0.39021284336911044,-0.4230489357831545,-3.1418955794069494,-2.683645624886302,-1.457067491358923,0.0,1.0
2019-12-13,-0.3951033039046145,-0.4307818330754528,-3.187585328115045,-2.6766178210612543,-1.4116683353053607,0.0,1.0
2019-12-16,-0.3939200873759898,-0.4324201328843178,-3.1850368617456994,-2.6754346045326294,-1.414853918267043,0.0,1.0
2019-12-17,-0.3825564457392571,-0.43918426802621996,-3.199198834668609,-2.6831755280407865,-1.3999453750910416,0.0,1.0
2019-12-18,-0.381988708796212,-0.4475505372427609,-3.1961391367692586,-2.6829357129848845,-1.3971043525769442,0.0,1.0
2019-12-19,-0.3803664205633033,-0.44617628292771855,-3.2018959073922155,-2.6888159693738034,-1.3976848053960442,0.0,1.0
2019-12-20,-0.3744058500914077,-0.44725776965265085,-3.2043875685557586,-2.706672760511883,-1.4080438756855578,0.0,1.0
2019-12-23,-0.3842431988314771,-0.4684133649808289,-3.182490414460471,-2.7147160854482384,-1.379222201935366,0.0,1.0
2019-12-24,-0.38605457698275075,-0.4689239755407502,-3.1785160171579814,-2.7148854613489095,-1.3782969791001185,0.0,1.0
2019-12-26,-0.39031963470319636,-0.46694063926940643,-3.1774429223744294,-2.716986301369863,-1.3806392694063927,0.0,1.0
