Date,CUT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.16977950997350616,-0.29217665476998533,-0.06540255304241203,-0.31464167633728185,-0.347572858049966,0.0
2018-09-25,1.0,-0.16923751095530237,-0.2932077125328659,-0.06421998247151621,-0.3155565293602104,-0.3488387379491674,0.0
2018-09-26,1.0,-0.16923380294033874,-0.29322319843999917,-0.06424048552836266,-0.3155496154773121,-0.3487434543502553,0.0
2018-09-27,1.0,-0.1698022295713879,-0.291574497908408,-0.06474079590004161,-0.31544711885937055,-0.3486059703453865,0.0
2018-09-28,1.0,-0.16786465638148668,-0.29389463534361854,-0.0651297335203366,-0.31565568022440393,-0.34889989481065914,0.0
2018-10-01,1.0,-0.17098149531888707,-0.29359149048393474,-0.06432684277614172,-0.3186673113269746,-0.35013845545250755,0.0
2018-10-02,1.0,-0.1715014064697609,-0.2893811533052039,-0.06592827004219409,-0.319620253164557,-0.3511779184247539,0.0
2018-10-03,1.0,-0.17166032841660991,-0.2904310742784287,-0.06614495174869754,-0.319359873381548,-0.35064078608955623,0.0
2018-10-04,1.0,-0.17736214834886435,-0.2847135020818188,-0.06646399224550041,-0.32738527966867137,-0.3470579164188311,0.0
2018-10-05,1.0,-0.17788694541128783,-0.28572057981231,-0.06555932502092787,-0.3271798034982597,-0.3465876547561352,0.0
2018-10-08,1.0,-0.17696233720520943,-0.28398891235480467,-0.06375395987328406,-0.32884547694473776,-0.346378915874692,0.0
2018-10-09,1.0,-0.1772703273495248,-0.28394491376275954,-0.06447993664202745,-0.32844948961633225,-0.3457849348820837,0.0
2018-10-10,1.0,-0.17686486006613844,-0.2935614887808775,-0.059302661073751026,-0.332467763055685,-0.35721419535255344,0.0
2018-10-11,1.0,-0.1733353965867893,-0.2918472013440623,-0.05376249005217084,-0.3329870015032275,-0.3586966133168273,0.0
2018-10-12,1.0,-0.17655822105378463,-0.28669076569175156,-0.05290831416365429,-0.32476722532588453,-0.34991784423266514,0.0
2018-10-15,1.0,-0.1664660699827122,-0.3039368011029171,-0.03853644659386831,-0.325798192441517,-0.3535680679256844,0.0
2018-10-16,1.0,-0.16576943277310924,-0.3068539915966387,-0.036370798319327734,-0.32589285714285715,-0.3534882703081233,0.0
2018-10-17,1.0,-0.16124408149081274,-0.29588202076365056,-0.03244863385604448,-0.32552886494939404,-0.3568480952174102,0.0
2018-10-18,1.0,-0.162034119308921,-0.2974030207541019,-0.03164185591654895,-0.32493752037379114,-0.35716614147560577,0.0
2018-10-19,1.0,-0.16038349746214917,-0.2962127456509479,-0.02913105722094486,-0.32553902216823566,-0.3578369701965208,0.0
2018-10-22,1.0,-0.16248996506758662,-0.2916965002495172,-0.023563106164160644,-0.33023064071687386,-0.3617349042070776,0.0
2018-10-23,1.0,-0.16154614983486876,-0.2930644880931688,-0.02025030418911872,-0.3338475577959326,-0.36409264731444463,0.0
2018-10-24,1.0,-0.16090604756314944,-0.2943785052823791,-0.020651276031476894,-0.3339854788922221,-0.36391896004521546,0.0
2018-10-25,1.0,-0.1526656936813187,-0.28208705357142855,-0.019209306318681316,-0.33550824175824173,-0.35679945054945056,0.0
2018-10-26,1.0,-0.15556657895871975,-0.2854462321528706,-0.022214553767847128,-0.3346848984169435,-0.35884052969848595,0.0
2018-10-29,1.0,-0.15162532538777618,-0.28705118000129076,-0.01871652001807112,-0.3330680033560657,-0.3608846244863714,0.0
2018-10-30,1.0,-0.15321053537614046,-0.28696849715957995,-0.01968927526252367,-0.3328025477707006,-0.35914098812187983,0.0
2018-10-31,1.0,-0.15353044823585027,-0.2845631526924234,-0.02002664489234604,-0.332287592934806,-0.35839528987064334,0.0
2018-11-01,1.0,-0.15695935624072122,-0.2809776878886331,-0.023366396282031972,-0.3321212642812574,-0.35819867891645324,0.0
2018-11-02,1.0,-0.1589250450759852,-0.27408345496694425,-0.022194556538164333,-0.3342706276294325,-0.3569803382845368,0.0
