Date,IWF,IWM,LPLA,MTUM,SPY,VLUE,VXX
2018-09-24,-0.36020247973600744,-0.570115016179156,1.0,-0.2740204402011982,-0.5183096786595329,-0.481177714413866,0.0
2018-09-25,-0.3596409681038628,-0.5713095047283218,1.0,-0.2727039589677833,-0.5193460490463214,-0.48264144895015226,0.0
2018-09-26,-0.36368021610496526,-0.5776627218934911,1.0,-0.2782673012606123,-0.5203563159248779,-0.4758811422691021,0.0
2018-09-27,-0.36254877301602656,-0.5858566315178485,1.0,-0.2764825384540969,-0.5221050594950178,-0.4777014607719841,0.0
2018-09-28,-0.3594254357650097,-0.5901226597805036,1.0,-0.27698515171078114,-0.5227566171723693,-0.47859909619109103,0.0
2018-10-01,-0.35992123696697764,-0.5895283901998127,1.0,-0.2769618128409568,-0.5229994512411633,-0.47858226540559734,0.0
2018-10-02,-0.35989667420083954,-0.5923474329996772,1.0,-0.27626735550532777,-0.5224087826929287,-0.47801097836616085,0.0
2018-10-03,-0.3598501969393685,-0.5911732420739975,1.0,-0.27623167818170075,-0.5226641699489895,-0.4785949506037322,0.0
2018-10-04,-0.3581586705108685,-0.6001814117723282,1.0,-0.2757782888982474,-0.5207489714600408,-0.4846609867504616,0.0
2018-10-05,-0.3496512529062258,-0.595098165848618,1.0,-0.2688258847842935,-0.5253487470937742,-0.49021570653577884,0.0
2018-10-08,-0.3482620751918488,-0.5926355839298381,1.0,-0.266460308247888,-0.5273747339911008,-0.48964983555813496,0.0
2018-10-09,-0.3480896340480413,-0.5927132032887312,1.0,-0.26619377720457843,-0.5274866999838788,-0.489730775431243,0.0
2018-10-10,-0.34838668084969215,-0.5921413145085904,1.0,-0.26664087934758085,-0.5276085484962769,-0.48863746252780194,0.0
2018-10-11,-0.32704941445301344,-0.5880859436986258,1.0,-0.2436446729505856,-0.5217874258148466,-0.49312894728490275,0.0
2018-10-12,-0.3307126234354362,-0.5822693251147871,1.0,-0.2435058808730109,-0.5095917982263035,-0.47877224982703315,0.0
2018-10-15,-0.3116049227282742,-0.6202826476975859,1.0,-0.21462969374586888,-0.5134871423625319,-0.4875515407132291,0.0
2018-10-16,-0.3089389878606338,-0.6360712596563141,1.0,-0.20368910610121396,-0.515623521992748,-0.4887592621787798,0.0
2018-10-17,-0.29687889359581365,-0.6076812858210815,1.0,-0.19103538499875405,-0.5177859456765512,-0.5014951407924246,0.0
2018-10-18,-0.29555437864107914,-0.6057198043552758,1.0,-0.192155518863516,-0.5200785071186018,-0.5018536403003209,0.0
2018-10-19,-0.2910610013666294,-0.6033979376320039,1.0,-0.1884084979500559,-0.521369114175674,-0.501739346502671,0.0
