Date,IWF,IWM,LGIH,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8287740628166159,-1.8707908695393052,1.0,-0.010370105489004112,-1.1647893199833126,-1.0851659812861314,0.0
2018-09-25,-0.8326182814920748,-1.8675366464068646,1.0,-0.016386604695507092,-1.1619592420450484,-1.0802645691812658,0.0
2018-09-26,-0.8326778691455131,-1.8678345846740556,1.0,-0.016505780002383504,-1.16189965439161,-1.0798474556071982,0.0
2018-09-27,-0.8350889722073439,-1.8578230077962268,1.0,-0.019044218294352197,-1.1608046182229363,-1.0784978872820328,0.0
2018-09-28,-0.8311137653030756,-1.8702299193789191,1.0,-0.02126007763511496,-1.1656613914601375,-1.083726485518065,0.0
2018-10-01,-0.8359164622105201,-1.8701454132008857,1.0,-0.02118365148704446,-1.170486505894321,-1.0863503081802406,0.0
2018-10-02,-0.835987070513588,-1.8725607566143903,1.0,-0.02178857895366934,-1.1696995091583864,-1.0857775649467258,0.0
2018-10-03,-0.8350478468899522,-1.8644138755980864,1.0,-0.021351674641148326,-1.1709928229665072,-1.089055023923445,0.0
2018-10-04,-0.841667663596124,-1.853989711688001,1.0,-0.02302907046297404,-1.179566933843761,-1.0833233640387605,0.0
2018-10-05,-0.8780995530521031,-1.9128145472356577,1.0,-0.029633257821588193,-1.2035755831751669,-1.0984509887956897,0.0
2018-10-08,-0.8780607548327708,-1.9136544952439396,1.0,-0.018962872046640072,-1.2213562442467014,-1.1048787971770482,0.0
2018-10-09,-0.8750768096350007,-1.9173528327393388,1.0,-0.008295440580066364,-1.2290770554258326,-1.1149072139609193,0.0
2018-10-10,-0.8755604692586451,-1.916589890055893,1.0,-0.00835329525213439,-1.2291014065475094,-1.1125238007493397,0.0
2018-10-11,-0.7394938059391856,-1.9005986604232115,1.0,-0.0,-1.1733744294943986,-1.113864027028629,0.0
2018-10-12,-0.7652322364160828,-1.9078707246718078,1.0,-0.0,-1.1412845116854065,-1.072526049331842,0.0
2018-10-15,-0.7070647354419155,-1.9831510493644695,1.0,-0.0,-1.138102276086314,-1.0836535619272833,0.0
2018-10-16,-0.7021515545572763,-1.9904835086889703,1.0,-0.0,-1.136304527721953,-1.081924577373212,0.0
2018-10-17,-0.6633177435186789,-1.9194526242854668,1.0,-0.0,-1.1134592066516542,-1.0777758531093018,0.0
2018-10-18,-0.6625678328137627,-1.9184274333217872,1.0,-0.0,-1.1143055074471768,-1.0776469229881076,0.0
2018-10-19,-0.6323521006001716,-1.9012860817376394,1.0,-0.0,-1.111574735638754,-1.070705915975993,0.0
2018-10-22,-0.6345328680130442,-1.9050288918130327,1.0,-0.0,-1.1110475427656046,-1.0705417930087533,0.0
2018-10-23,-0.6382199851284104,-1.904936223760224,1.0,-0.0,-1.1079334210375793,-1.0686953040096092,0.0
2018-10-24,-0.6469085631349782,-1.9152975326560233,1.0,-0.0,-1.1382293178519596,-1.105079825834543,0.0
2018-10-25,-0.5768702027723679,-1.8624126474968494,1.0,-0.0,-1.2111925764692404,-1.0775575667315844,0.0
2018-10-26,-0.5501550606146038,-1.830053566394136,1.0,-0.0,-1.2039469974626444,-1.054412179306456,0.0
2018-10-29,-0.5068585563301102,-1.857881718012143,1.0,-0.0,-1.1878794693051493,-1.0691477400494713,0.0
2018-10-30,-0.515907427220001,-1.860296187848415,1.0,-0.0,-1.1899881750098542,-1.0648122078945885,0.0
2018-10-31,-0.516412235083599,-1.8399038192696975,1.0,-0.0,-1.1808980596096852,-1.054688810602248,0.0
2018-11-01,-0.49338764577869537,-1.8554768149098821,1.0,-0.0,-1.177780257798114,-1.0533452374309469,0.0
2018-11-02,-0.4985338865836791,-1.8110096818810513,1.0,-0.0,-1.1820746887966804,-1.0408298755186722,0.0
2018-11-05,-0.49272636760882793,-1.8276453343658388,1.0,-0.0,-1.1831406604347585,-1.027767022512307,0.0
