Date,ESE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25663636910852944,-0.824896165653404,-0.057123939083849995,-0.4173237825799073,-0.45368085234454947,0.0
2018-09-25,1.0,-0.2562334377258492,-0.8258251023849674,-0.05616116598410022,-0.41821247892074204,-0.4548903878583474,0.0
2018-09-26,1.0,-0.2570327088729595,-0.8268778989217518,-0.057888079031383655,-0.4178362749231974,-0.452231793265466,0.0
2018-09-27,1.0,-0.256550975484727,-0.8301721798389772,-0.05726261194704942,-0.41850857883786147,-0.45291439254590965,0.0
2018-09-28,1.0,-0.25999758366557935,-0.829285973178688,-0.057085900688655315,-0.42001933067536545,-0.45402923764649034,0.0
2018-10-01,1.0,-0.2594496522527971,-0.8316903537949804,-0.05757484124584216,-0.4201995766555791,-0.45497429694587244,0.0
2018-10-02,1.0,-0.25981918785716446,-0.8287424787591086,-0.058809300637982634,-0.4207057116076558,-0.4555377498261421,0.0
2018-10-03,1.0,-0.2611659899400037,-0.8360402399854554,-0.05990546027513484,-0.4200048481910188,-0.4530331495060906,0.0
2018-10-04,1.0,-0.26204828400932967,-0.8338836216036107,-0.060339866113349294,-0.42098567231090783,-0.45185230060885107,0.0
2018-10-05,1.0,-0.25312330255296034,-0.8316132536664855,-0.05157221316917135,-0.42437684833122097,-0.45699800832880677,0.0
2018-10-08,1.0,-0.25287391002624987,-0.8319102072835893,-0.05111184865582476,-0.42440334308903843,-0.4569290649609269,0.0
2018-10-09,1.0,-0.2520742193392668,-0.8322823955347713,-0.049238195806305625,-0.4252526776286015,-0.45819882335193846,0.0
2018-10-10,1.0,-0.2519157666083389,-0.8326193205816691,-0.048904845230193686,-0.4252700174983407,-0.4582151692511917,0.0
2018-10-11,1.0,-0.2251219151765923,-0.8350229052756022,-0.0164622432392493,-0.4152800354662332,-0.463632333382592,0.0
2018-10-12,1.0,-0.2239292638505376,-0.8367604723576758,-0.011867692850008812,-0.4083191351859468,-0.4566711709065272,0.0
2018-10-15,1.0,-0.21522402064273988,-0.8506920009383063,-0.0,-0.40787004456955195,-0.4584212995543045,0.0
2018-10-16,1.0,-0.21084743774016604,-0.8582617113021033,-0.0,-0.4068815816491156,-0.4573347804405855,0.0
2018-10-17,1.0,-0.20197588260932733,-0.8422780764201656,-0.0,-0.402905709719599,-0.45857910794711604,0.0
2018-10-18,1.0,-0.20169678656516937,-0.8419722238363647,-0.0,-0.40324830030797837,-0.458568191062816,0.0
2018-10-19,1.0,-0.1914789139225881,-0.8382726747544772,-0.0,-0.4018486424032351,-0.4568746389370306,0.0
2018-10-22,1.0,-0.19137318348597346,-0.8294860312599311,-0.0,-0.40687025106173985,-0.46135844913760726,0.0
2018-10-23,1.0,-0.196911866759195,-0.8307309738607449,-0.0,-0.40377052972472816,-0.4600971547536434,0.0
2018-10-24,1.0,-0.19572006940427994,-0.8327935222672065,-0.0,-0.4035280508964719,-0.45983227299016777,0.0
2018-10-25,1.0,-0.17354344940551836,-0.8061227371572199,-0.0,-0.4051229913298878,-0.43937981869016346,0.0
2018-10-26,1.0,-0.1615126050420168,-0.7966666666666667,-0.0,-0.4095238095238095,-0.4333893557422969,0.0
2018-10-29,1.0,-0.14386943785744177,-0.8065281071279119,-0.0,-0.40100432417352494,-0.43841539963732745,0.0
2018-10-30,1.0,-0.14680845125457032,-0.8067487231013982,-0.0,-0.40115548857071087,-0.4362946216751793,0.0
2018-10-31,1.0,-0.14744464559253587,-0.8027572761453836,-0.0,-0.4000835538225874,-0.4348419440189389,0.0
2018-11-01,1.0,-0.12755229950695005,-0.8200506977910248,-0.0,-0.401153235466169,-0.43680882475834987,0.0
2018-11-02,1.0,-0.12798596803830947,-0.8183640514505262,-0.0,-0.4013308090650927,-0.43643855448521635,0.0
