Date,IWF,IWM,MTUM,PDI,SPY,VLUE,VXX
2018-09-24,-0.09078654714564939,-0.25544247489384647,-0.0,1.0,-0.17688885893374673,-0.1618420165801712,0.0
2018-09-25,-0.09408352863814935,-0.25502031732114855,-0.0,1.0,-0.17665109848420982,-0.1603466590230825,0.0
2018-09-26,-0.09608793286845528,-0.2572981917031084,-0.0,1.0,-0.17718270383439988,-0.1578334205683219,0.0
2018-09-27,-0.0952614572583783,-0.2604760535264164,-0.0,1.0,-0.177648830166974,-0.15834616230481635,0.0
2018-09-28,-0.09393359632934324,-0.262363916495945,-0.0,1.0,-0.17799637675024974,-0.15879653928855628,0.0
2018-10-01,-0.09358034744842564,-0.26477673724212814,-0.0,1.0,-0.17838965798045603,-0.15979573832790445,0.0
2018-10-02,-0.09614633400703136,-0.2562373681618234,-0.0,1.0,-0.1822891013774011,-0.16372560675283207,0.0
2018-10-03,-0.09587035713069826,-0.24871480611445884,-0.0,1.0,-0.18687229768835326,-0.17078609607462636,0.0
2018-10-04,-0.09935061614767092,-0.24483986978234565,-0.0,1.0,-0.19174720049087285,-0.16846482930238108,0.0
2018-10-05,-0.10441037937826497,-0.2509891239188148,-0.0,1.0,-0.19119636893037595,-0.16617281836088035,0.0
2018-10-08,-0.13387818274475757,-0.31637756931730243,-0.0,1.0,-0.22851588305241502,-0.20869745757913213,0.0
2018-10-09,-0.12817497202041087,-0.318739685490449,-0.0,1.0,-0.2337765806096705,-0.21624902782783542,0.0
2018-10-10,-0.13494703835417382,-0.32172765859814156,-0.0,1.0,-0.2410232878283813,-0.21429390845474358,0.0
2018-10-11,-0.12972172658593067,-0.31972969894840747,-0.0,1.0,-0.23786112903838125,-0.21086898750996547,0.0
2018-10-12,-0.12494711335051348,-0.3287626447171045,-0.0,1.0,-0.24841340051540445,-0.22100850032693564,0.0
2018-10-15,-0.1322913651712494,-0.32383984563434637,-0.0,1.0,-0.25148094548962857,-0.2219585142305837,0.0
2018-10-16,-0.12295450546442746,-0.3518348354806546,-0.0,1.0,-0.2552347064458738,-0.225048388042777,0.0
