Date,IWF,IWM,MTUM,NUVA,SPY,VLUE,VXX
2018-09-24,-0.4822712220337614,-1.0240691381956224,-0.0,1.0,-0.7787335433325256,-0.7533721024149906,0.0
2018-09-25,-0.48280038759689925,-1.0234980620155039,-0.0,1.0,-0.778343023255814,-0.7527858527131783,0.0
2018-09-26,-0.4867968781592462,-1.0282664078612156,-0.0,1.0,-0.7798940515184601,-0.7488778357394152,0.0
2018-09-27,-0.4866253895026506,-1.030391323701995,-0.0,1.0,-0.7803407389421715,-0.7494233337380114,0.0
2018-09-28,-0.49867352352965183,-1.0357128280478347,-0.0,1.0,-0.7897228684543488,-0.7573976572384801,0.0
2018-10-01,-0.4985914342873474,-1.0367043645123095,-0.0,1.0,-0.789735842893888,-0.7578083534070958,0.0
2018-10-02,-0.5015309246785058,-1.025474586650337,-0.0,1.0,-0.7936313533374157,-0.7618289446825883,0.0
2018-10-03,-0.5037234042553191,-1.0335924713584288,-0.0,1.0,-0.7939034369885434,-0.760392798690671,0.0
2018-10-04,-0.5100511770726714,-1.025916069600819,-0.0,1.0,-0.8021699078812692,-0.756028659160696,0.0
2018-10-05,-0.4900219923434063,-1.0147430153946404,-0.0,1.0,-0.8057342999104015,-0.7621568787162988,0.0
2018-10-08,-0.485737505079236,-1.0094270621698496,-0.0,1.0,-0.8080861438439658,-0.7601381552214546,0.0
2018-10-09,-0.4809889797080233,-1.0099629945915172,-0.0,1.0,-0.8108250986133139,-0.7647106665040055,0.0
2018-10-10,-0.4821152751808796,-1.0088204211039753,-0.0,1.0,-0.8113974473620031,-0.762336395415007,0.0
2018-10-11,-0.404853228962818,-0.980665362035225,-0.0,1.0,-0.7728375733855186,-0.7554990215264188,0.0
2018-10-12,-0.40471694477629194,-0.9677829588808818,-0.0,1.0,-0.7504335427184091,-0.7307410690200008,0.0
2018-10-15,-0.37446170409104895,-0.9953091356505691,-0.0,1.0,-0.7441940941248847,-0.7309673946478007,0.0
2018-10-16,-0.3727367085687926,-0.9978087879137356,-0.0,1.0,-0.7434359743205321,-0.7302502594856418,0.0
2018-10-17,-0.3505255622951437,-0.9540745205892327,-0.0,1.0,-0.7318690426854537,-0.7310025242060054,0.0
2018-10-18,-0.3500454063871651,-0.9544044195550174,-0.0,1.0,-0.7428484940214923,-0.7365672771303163,0.0
2018-10-19,-0.3311965811965812,-0.9399460188933874,-0.0,1.0,-0.7432148747938221,-0.7342929974508922,0.0
2018-10-22,-0.36567044267695026,-1.0754800353498837,-0.0,1.0,-0.7926809673013578,-0.7832007712701856,0.0
2018-10-23,-0.3792462737811528,-1.0838146786767378,-0.0,1.0,-0.7910489962434866,-0.7851516742739427,0.0
