Date,EGHT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6697895579304176,-1.2490937338166754,-0.366649404453651,-0.7770820582835084,-0.6452615225271879,0.0
2018-09-25,1.0,-0.6744536548605877,-1.2466559909570458,-0.37306895252449135,-0.7748681235870384,-0.640825169555388,0.0
2018-09-26,1.0,-0.6758857896720692,-1.2484451564266865,-0.37584809649453443,-0.774500565397663,-0.63696758386732,0.0
2018-09-27,1.0,-0.6759163290304343,-1.247950626590031,-0.376048242721191,-0.774380476773768,-0.6369075661924055,0.0
2018-09-28,1.0,-0.6748162803843979,-1.248304126625212,-0.37648388920293957,-0.7741661955907293,-0.6369417750141323,0.0
2018-10-01,1.0,-0.677433044134289,-1.2471708789136176,-0.376131648434553,-0.7764994341757827,-0.6379668049792532,0.0
2018-10-02,1.0,-0.6791816973609265,-1.285788874121891,-0.3668596924245301,-0.7771027150180368,-0.6376020505031327,0.0
2018-10-03,1.0,-0.679646690094026,-1.2880615443062018,-0.3674612973691709,-0.7768069142368697,-0.6368126127837401,0.0
2018-10-04,1.0,-0.6794281100080749,-1.2885099510758562,-0.367833562912649,-0.7764689117940436,-0.6377238398328029,0.0
2018-10-05,1.0,-0.6657046884609926,-1.2832473861002034,-0.35369257699768175,-0.7832710413019823,-0.6450773525098169,0.0
2018-10-08,1.0,-0.6638921730905651,-1.280444549538898,-0.34665405533222987,-0.791960274296524,-0.6463466540553323,0.0
2018-10-09,1.0,-0.6765140324963073,-1.290799066088531,-0.3633201505694001,-0.7926811835898414,-0.6415400009529709,0.0
2018-10-10,1.0,-0.6766154876357201,-1.299660400822691,-0.35925766489692446,-0.7964318170947529,-0.6511216339025206,0.0
2018-10-11,1.0,-0.6210003250824316,-1.2995866809083731,-0.2879301537175498,-0.7762039660056658,-0.659360052013189,0.0
2018-10-12,1.0,-0.6338241365074996,-1.2948947295995596,-0.2849410577496445,-0.7484060364203476,-0.6248795926792349,0.0
2018-10-15,1.0,-0.6267631434328632,-1.3068327532515114,-0.27422604872687306,-0.7473896318006962,-0.6243817549001648,0.0
2018-10-16,1.0,-0.62599020101653,-1.3091716653692935,-0.2723110032510646,-0.7473327533311964,-0.6242044049635972,0.0
2018-10-17,1.0,-0.6074757937401487,-1.2667417248367483,-0.2569691510920964,-0.7414546273361856,-0.6308038730015763,0.0
2018-10-18,1.0,-0.6061247466786759,-1.2646250844404414,-0.2581400585453727,-0.7436163026345417,-0.6310290475118217,0.0
2018-10-19,1.0,-0.5991128237297249,-1.2622994892015416,-0.2497535621471458,-0.7429877229142396,-0.6265346357200466,0.0
2018-10-22,1.0,-0.5988077629868674,-1.263278203576711,-0.2523418941329389,-0.7417865626820851,-0.6258796109542377,0.0
