Date,ACN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3406779213230826,-0.3240865498930015,-0.30234339911759267,-0.38057118702279996,-0.29425906845261685,0.0
2018-09-25,1.0,-0.3397164621244181,-0.3260685569191705,-0.3001745662293694,-0.3823000423190859,-0.29665679221328817,0.0
2018-09-26,1.0,-0.33980428458079875,-0.32615710129595343,-0.3003967204443269,-0.3822004760645332,-0.2962443797937054,0.0
2018-09-27,1.0,-0.3413248043983929,-0.3220554028335801,-0.30154366673715377,-0.38221611334320155,-0.2961249735673504,0.0
2018-09-28,1.0,-0.3370410682524091,-0.3314130983036449,-0.3018662560726327,-0.385117736069447,-0.299238100294672,0.0
2018-10-01,1.0,-0.33715620685993414,-0.3313422533715621,-0.3018477222045237,-0.3851545078050334,-0.2992725921206329,0.0
2018-10-02,1.0,-0.3407862865660518,-0.3103356490723735,-0.30943064760840056,-0.3932763714764832,-0.30791343927174,0.0
2018-10-03,1.0,-0.3405710332348793,-0.30757563662489024,-0.30901253292887365,-0.39416194353529715,-0.30962454431760733,0.0
2018-10-04,1.0,-0.34071314529004787,-0.3073709419904204,-0.30907397551889304,-0.3943054816391698,-0.3095263437998936,0.0
2018-10-05,1.0,-0.3370488322717622,-0.30318471337579617,-0.3065817409766454,-0.396151804670913,-0.31096072186836515,0.0
2018-10-08,1.0,-0.33604558706599524,-0.3010601643254704,-0.30469122714020674,-0.3980917042141532,-0.31054863503843094,0.0
2018-10-09,1.0,-0.3368588469184891,-0.30099403578528827,-0.3065341285619616,-0.3972166998011929,-0.3091053677932406,0.0
2018-10-10,1.0,-0.33650658958924456,-0.30176871469862904,-0.3058258863461589,-0.39731112937869584,-0.31036037230516295,0.0
2018-10-11,1.0,-0.32453452745698796,-0.295414669913845,-0.293476837667269,-0.39364181527745046,-0.3116505617094823,0.0
2018-10-12,1.0,-0.32335753033360415,-0.2952645509578343,-0.292539112660185,-0.39660368458292933,-0.31282266306769047,0.0
2018-10-15,1.0,-0.3221506390111041,-0.29627592708988054,-0.29114288707311964,-0.3966844751728472,-0.31261785040854806,0.0
2018-10-16,1.0,-0.32226383469083103,-0.2958908414739544,-0.2914647879946573,-0.3966686745410261,-0.31267841709661365,0.0
2018-10-17,1.0,-0.31559961591363245,-0.278981652090416,-0.28554745283263694,-0.3967767887265461,-0.3182726494173825,0.0
2018-10-18,1.0,-0.3160886719966774,-0.27987747897414594,-0.2850690478662652,-0.3963762849133008,-0.31839892015367044,0.0
2018-10-19,1.0,-0.312210879958651,-0.2734978679415945,-0.2832148856441401,-0.3978033337640522,-0.3175862514536762,0.0
2018-10-22,1.0,-0.31782724751859437,-0.26490787052634307,-0.2684064581335683,-0.4112524943633866,-0.32915230518050126,0.0
