Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WTS
2018-09-24,-0.23718634951304213,-0.5589702080994282,-0.08036763361967675,-0.3779994255724693,-0.3565106138541476,0.0,1.0
2018-09-25,-0.24638061956436064,-0.5603667989174702,-0.08938752988780578,-0.3783861898631073,-0.3529782705798891,0.0,1.0
2018-09-26,-0.24713549879112792,-0.5613371176285084,-0.09100704299379796,-0.3780353200883002,-0.3504677809313571,0.0,1.0
2018-09-27,-0.24642791358576954,-0.5649817119701077,-0.09020340499434255,-0.3786280030523906,-0.3511301739336368,0.0,1.0
2018-09-28,-0.2461121490408652,-0.5651132805304845,-0.09046654211509618,-0.3785490619161645,-0.3511301739336368,0.0,1.0
2018-10-01,-0.24596678685159357,-0.5654393767929048,-0.09066505250414507,-0.3784509303366056,-0.351238255651762,0.0,1.0
2018-10-02,-0.24606554341788556,-0.5890443568651308,-0.08411140794032851,-0.37691432803449093,-0.34887719205438145,0.0,1.0
2018-10-03,-0.24612495371105114,-0.5888483309527588,-0.08424588689625986,-0.37692429773051894,-0.34893932180077236,0.0,1.0
2018-10-04,-0.24704513604272982,-0.5867949972236177,-0.08458711229805123,-0.3780110526454956,-0.3477617070784526,0.0,1.0
2018-10-05,-0.2419057160936511,-0.585214089854461,-0.07920269985235183,-0.3801413203965408,-0.35013710187724106,0.0,1.0
2018-10-08,-0.24197589471740907,-0.5859113326476251,-0.07912018355882586,-0.38006698842207975,-0.3502650526149221,0.0,1.0
2018-10-09,-0.2428055181873335,-0.5860831948510986,-0.08090000263775685,-0.37915116984516367,-0.3488169660520693,0.0,1.0
2018-10-10,-0.2421225007263411,-0.588494757137952,-0.07913156018066084,-0.37962547212170833,-0.3518924486939066,0.0,1.0
2018-10-11,-0.23045364273021846,-0.5901013901954635,-0.06363018710149472,-0.37613671997491377,-0.3528535591094387,0.0,1.0
2018-10-12,-0.2298222326331954,-0.5911610837823066,-0.06022747976367091,-0.3730251685276281,-0.34850732672236534,0.0,1.0
2018-10-15,-0.21377783565568434,-0.6232582367495768,-0.0357338195077484,-0.37614272691756734,-0.35559317619481706,0.0,1.0
2018-10-16,-0.21149029430181587,-0.636662492172824,-0.026403673554581508,-0.3779221456898351,-0.3565800459194323,0.0,1.0
2018-10-17,-0.20789972231593698,-0.628915475047362,-0.023564217683543973,-0.37689772402875454,-0.35792697168660625,0.0,1.0
2018-10-18,-0.20935307872174588,-0.631826448428163,-0.022135619641465314,-0.37612366848532086,-0.3586386074305014,0.0,1.0
2018-10-19,-0.20659443205972314,-0.6328477370522059,-0.018067292239100002,-0.3766395354865468,-0.35800197003473483,0.0,1.0
2018-10-22,-0.20601815823605707,-0.6354345006485085,-0.021271076523994813,-0.3747600518806744,-0.3565758754863813,0.0,1.0
2018-10-23,-0.20817226618238424,-0.6351537164353354,-0.025865871059800233,-0.3707873913607471,-0.3543909715916461,0.0,1.0
2018-10-24,-0.2072517296987983,-0.6409509441814493,-0.0277532122977683,-0.3713780367268376,-0.3537169016282578,0.0,1.0
2018-10-25,-0.19122073152068558,-0.6205172677651379,-0.025098199255216037,-0.37552925572616436,-0.338264551344182,0.0,1.0
