Date,IWF,IWM,MTUM,MUSA,SPY,VLUE,VXX
2018-09-24,-0.4090552797581278,-0.938188197529021,-0.07595834422007391,1.0,-0.6407375611212721,-0.6686947109103805,0.0
2018-09-25,-0.41315307913507865,-0.9362512604100532,-0.08152518952832655,1.0,-0.6388691787728275,-0.6647869440191209,0.0
2018-09-26,-0.41288756070227867,-0.9361972357116175,-0.0804632050803138,1.0,-0.6394471423234964,-0.6665296974224879,0.0
2018-09-27,-0.41673512060339035,-0.9272645806885221,-0.08315286386378912,1.0,-0.640056754536629,-0.66667911283698,0.0
2018-09-28,-0.4149146719444341,-0.928862168116808,-0.08379700511594908,1.0,-0.639979088091415,-0.6667537996191045,0.0
2018-10-01,-0.41672583236799815,-0.9278427562497664,-0.08362916183999103,1.0,-0.6414184821195023,-0.6671649041515638,0.0
2018-10-02,-0.41703717541565477,-0.9249392863814684,-0.08499906594433028,1.0,-0.6417336073229964,-0.6675509060339996,0.0
2018-10-03,-0.4172427968160245,-0.9256698680817669,-0.08542920139018648,1.0,-0.6415411637206173,-0.6671400276542472,0.0
2018-10-04,-0.42314309222828933,-0.9182436981075622,-0.0863190964170843,1.0,-0.6494876206148553,-0.6628020046375944,0.0
2018-10-05,-0.41574415744157445,-0.9158746132915875,-0.07700622460770064,1.0,-0.6521674307652168,-0.6665175742666518,0.0
2018-10-08,-0.41414592402425865,-0.9133459835547122,-0.07471071920229193,1.0,-0.6529746623507087,-0.6654760575957137,0.0
2018-10-09,-0.4127781498846469,-0.9140061025526531,-0.0709979906229069,1.0,-0.6549825109771528,-0.6683039368906751,0.0
2018-10-10,-0.41316073354908306,-0.9133281255812222,-0.07142060037942193,1.0,-0.6551352155637391,-0.6667782613547595,0.0
2018-10-11,-0.36069606743605515,-0.9177309069859991,-0.0,1.0,-0.6468651640678702,-0.6925219782207591,0.0
2018-10-12,-0.36992029736588156,-0.9122913613781765,-0.0,1.0,-0.6243253868973159,-0.6675721076521678,0.0
2018-10-15,-0.34790047765024595,-0.9310258786625792,-0.0,1.0,-0.6186996506737007,-0.6669637128395237,0.0
2018-10-16,-0.3435182544209926,-0.938498288648032,-0.0,1.0,-0.6175484883057616,-0.6657872219053051,0.0
2018-10-17,-0.32305211874802847,-0.9007395464582384,-0.0,1.0,-0.6102835512249833,-0.670849251691143,0.0
2018-10-18,-0.32258629752935,-0.9000175223409848,-0.0,1.0,-0.610968985456457,-0.670895391624321,0.0
2018-10-19,-0.3065183382583,-0.8890665739614114,-0.0,1.0,-0.6109855727446549,-0.6698418216582652,0.0
2018-10-22,-0.30646451298814203,-0.8790903084466392,-0.0,1.0,-0.6167889557325174,-0.6750356434954967,0.0
2018-10-23,-0.30944682034699766,-0.8792114321477,-0.0,1.0,-0.6144779388755607,-0.6737943743263447,0.0
2018-10-24,-0.3082144100243648,-0.8745910198398886,-0.0,1.0,-0.6178907065784894,-0.6800208840932822,0.0
2018-10-25,-0.27288969795037754,-0.827905879180151,-0.0,1.0,-0.6219997303128371,-0.6482942286947141,0.0
2018-10-26,-0.2611584042730763,-0.8155566683358371,-0.0,1.0,-0.6220998163912536,-0.6395259556000668,0.0
2018-10-29,-0.24257623065169734,-0.8227595828074138,-0.0,1.0,-0.6127017870191989,-0.6435594233707567,0.0
2018-10-30,-0.22799787290614199,-0.8242156341398564,-0.0,1.0,-0.6145639457591067,-0.6568067003456528,0.0
2018-10-31,-0.23200026397413054,-0.8045271563386789,-0.0,1.0,-0.6117600475153435,-0.6513891638619416,0.0
2018-11-01,-0.20572976902488188,-0.8292304133760697,-0.0,1.0,-0.6142814658163434,-0.6551234180352244,0.0
2018-11-02,-0.2116224828356493,-0.8000394205183798,-0.0,1.0,-0.6231726947209356,-0.65017574981111,0.0
2018-11-05,-0.2075490292697349,-0.8119969777602576,-0.0,1.0,-0.6244210111362964,-0.6410761801517689,0.0
2018-11-06,-0.20741884610329872,-0.811538967012748,-0.0,1.0,-0.624885004599816,-0.6417729005125509,0.0
2018-11-07,-0.2065031562335613,-0.8139794844818516,-0.0,1.0,-0.6244410836401894,-0.64281956864808,0.0
2018-11-08,-0.17734150795721365,-0.817277589355596,-0.0,1.0,-0.6158035481346203,-0.6507304983042003,0.0
2018-11-09,-0.17687341029152806,-0.8171264592708538,-0.0,1.0,-0.6164807930607187,-0.6504597926041871,0.0
2018-11-12,-0.175923517169615,-0.8103863163371487,-0.0,1.0,-0.6172281477627471,-0.6482830385015609,0.0
2018-11-13,-0.15025472367317985,-0.8080221835300186,-0.0,1.0,-0.619816856903334,-0.6462242858064099,0.0
