Date,IWF,IWM,MTUM,SPRO,SPY,VLUE,VXX
2018-09-24,-2.191502184722013,-4.620762392647281,-0.6138315503992767,1.0,-3.3682386620461053,-3.272562904926925,0.0
2018-09-25,-2.2561031782588667,-4.699984646092431,-0.6474742822048212,1.0,-3.430523568248119,-3.3198218946721942,0.0
2018-09-26,-2.256410256410257,-4.7002917242438205,-0.6483955166589898,1.0,-3.43021649009673,-3.3184400429909413,0.0
2018-09-27,-2.2648366814905687,-4.670449317589326,-0.65603435055973,1.0,-3.428461892347799,-3.315289066094157,0.0
2018-09-28,-2.2629151291512914,-4.690190651906518,-0.6595940959409594,1.0,-3.4375768757687575,-3.3248769987699878,0.0
2018-10-01,-2.2659181790218397,-4.688095970470624,-0.6605659796985544,1.0,-3.439710858197478,-3.3255921254998464,0.0
2018-10-02,-2.2795002313743638,-4.656177695511338,-0.6797778806108283,1.0,-3.461668980410304,-3.347832793459818,0.0
2018-10-03,-2.2870184125019337,-4.63407086492341,-0.6770849450719479,1.0,-3.4895559337768836,-3.3851152715457213,0.0
2018-10-04,-2.2858024691358025,-4.612962962962963,-0.6765432098765432,1.0,-3.4862654320987656,-3.3705246913580247,0.0
2018-10-05,-2.2186735941320297,-4.563264058679707,-0.6129278728606357,1.0,-3.495721271393643,-3.390586797066015,0.0
2018-10-08,-2.2147333027663154,-4.558459422283357,-0.5943756686535229,1.0,-3.5191808039125783,-3.396759896072138,0.0
2018-10-09,-2.2394518016630736,-4.595472744071451,-0.6096396673852787,1.0,-3.5421927933477058,-3.4122266707730216,0.0
2018-10-10,-2.2393477926472847,-4.588832487309644,-0.6112905706814336,1.0,-3.5399169358560223,-3.4028610982925707,0.0
2018-10-11,-1.9554809516858853,-4.520799883228726,-0.25967012115019705,1.0,-3.427820756094001,-3.4324916070646623,0.0
2018-10-12,-2.004491451753115,-4.530860620110113,-0.22848449724717473,1.0,-3.369603013619241,-3.355114459576934,0.0
2018-10-15,-1.9558693733451014,-4.7668431891732865,-0.09605766401882908,1.0,-3.441747572815534,-3.449543983524566,0.0
2018-10-16,-1.9509500662836943,-4.802916482545294,-0.07409044041832374,1.0,-3.4473412873766383,-3.4544115480925024,0.0
2018-10-17,-2.168079800498753,-5.273150457190358,-0.0,1.0,-4.05120532003325,-4.132668329177057,0.0
2018-10-18,-2.167748377433849,-5.2724246962889,-0.0,1.0,-4.062905641537694,-4.138625395240473,0.0
2018-10-19,-2.067423121197171,-5.194375925012333,-0.0,1.0,-4.058049662884394,-4.1248149975333,0.0
2018-10-22,-2.0677186061801445,-5.161900065746219,-0.0,1.0,-4.070677186061801,-4.136423405654175,0.0
2018-10-23,-2.0725779967159275,-5.157307060755337,-0.0,1.0,-4.061247947454843,-4.1292282430213465,0.0
2018-10-24,-2.056100752371606,-5.127412495911024,-0.0,1.0,-4.049558390578999,-4.122832842656199,0.0
2018-10-25,-1.7750648557912405,-4.726995269342285,-0.0,1.0,-3.9322447733862353,-3.8257286738898206,0.0
2018-10-26,-1.6252548791144772,-4.505388872706088,-0.0,1.0,-3.790707835712205,-3.643314884940285,0.0
2018-10-29,-1.51587982832618,-4.482260371959942,-0.0,1.0,-3.698712446351931,-3.6094420600858372,0.0
2018-10-30,-1.4872234118486793,-4.474232690935046,-0.0,1.0,-3.6917915774446826,-3.6224125624553887,0.0
2018-10-31,-1.4942188381274675,-4.3582910321489,-0.0,1.0,-3.6658206429780034,-3.5820642978003385,0.0
2018-11-01,-1.422093516033338,-4.43410086170363,-0.0,1.0,-3.6739652493290005,-3.5959881339172197,0.0
