Date,HIG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1927167599395274,-0.43593348009442223,-0.08935628464578416,-0.46646155478343904,-0.46784075537755615,0.0
2018-09-25,1.0,-0.19270045887376994,-0.4360096549163152,-0.08930797591575819,-0.4665128245935121,-0.46794514734357173,0.0
2018-09-26,1.0,-0.19226073570784014,-0.43582461914114334,-0.08753118530707575,-0.46748765858060404,-0.47096448856096396,0.0
2018-09-27,1.0,-0.19240466017356228,-0.43544491919004275,-0.08770998646532736,-0.46742390063957967,-0.47090045380961226,0.0
2018-09-28,1.0,-0.19115110014066938,-0.4366855110544895,-0.08809087772381027,-0.46728773522308037,-0.4708973644398439,0.0
2018-10-01,1.0,-0.19068235544104759,-0.4384180190708917,-0.08844856437089964,-0.4671837233392653,-0.47138038194905574,0.0
2018-10-02,1.0,-0.19057502461350154,-0.4497219339559884,-0.08536228413293952,-0.4657140576355074,-0.4695457811127964,0.0
2018-10-03,1.0,-0.19035965098957225,-0.4437114279633965,-0.08448606086401361,-0.46802511172589917,-0.47355820387316455,0.0
2018-10-04,1.0,-0.19391311287876772,-0.4385857564713081,-0.08497166724307643,-0.4725850647795897,-0.4702971614036021,0.0
2018-10-05,1.0,-0.18096578835529112,-0.43218763280917977,-0.07264662133446664,-0.4852316192095198,-0.4851519337016575,0.0
2018-10-08,1.0,-0.17956336047961374,-0.4298485290606679,-0.06950155184762713,-0.48860652041276487,-0.4852375520598456,0.0
2018-10-09,1.0,-0.17716608656375377,-0.4318888327975131,-0.06185402662273826,-0.4939288466137047,-0.4921221138773016,0.0
2018-10-10,1.0,-0.18069049964064204,-0.4312295365613437,-0.06489738334176272,-0.49703196954774137,-0.48806133042297767,0.0
2018-10-11,1.0,-0.16455529857022708,-0.42714465937762824,-0.04704583683767872,-0.49634671993271656,-0.4931928090832633,0.0
2018-10-12,1.0,-0.16065366700876293,-0.4293571221809952,-0.04189363437804268,-0.5018025841425225,-0.49782900449988154,0.0
2018-10-15,1.0,-0.14852291841883936,-0.4492220353238015,-0.025047308662741803,-0.5033378889823381,-0.502128889823381,0.0
2018-10-16,1.0,-0.14882376133526087,-0.4483637797345249,-0.02581153896701275,-0.5033250098567486,-0.5021684846891838,0.0
