Date,IWF,IWM,MTUM,NUE,SPY,VLUE,VXX
2018-09-24,-0.3192982456140351,-0.6608723643972317,-0.10236600676001932,1.0,-0.5455979398036376,-0.5909222597778852,0.0
2018-09-25,-0.31887278582930756,-0.6618357487922705,-0.10135265700483091,1.0,-0.5464734299516908,-0.592109500805153,0.0
2018-09-26,-0.3222067985925041,-0.6669141621202828,-0.1063369596797624,1.0,-0.5469864738354263,-0.585789456693676,0.0
2018-09-27,-0.3211199223175271,-0.6748017478556401,-0.10470949991908074,1.0,-0.5486648324971678,-0.5874737012461563,0.0
2018-09-28,-0.32081822889694456,-0.6749417400310719,-0.105094510616261,1.0,-0.5484852408078715,-0.587325220093216,0.0
2018-10-01,-0.320436443696173,-0.6759049407498543,-0.10545230848928316,1.0,-0.548339053292754,-0.5875477562649744,0.0
2018-10-02,-0.3237144154075611,-0.6556967771221062,-0.11296284287659684,1.0,-0.5551844886842616,-0.594773361001232,0.0
2018-10-03,-0.32460018203094526,-0.642179170458978,-0.11006371083084124,1.0,-0.5648485242491224,-0.6088610063710831,0.0
2018-10-04,-0.32675937357853013,-0.6380206641107284,-0.11063097017350054,1.0,-0.5674832672688285,-0.6061797387744493,0.0
2018-10-05,-0.31622409326424866,-0.6320919689119171,-0.10012953367875647,1.0,-0.574481865284974,-0.6154468911917098,0.0
2018-10-08,-0.31509153244064947,-0.6303447829743192,-0.09835694417491428,1.0,-0.5755546930590594,-0.6150139077559997,0.0
2018-10-09,-0.31294300417516263,-0.6316470854775544,-0.09208013723015179,1.0,-0.5795384665177848,-0.620383856037803,0.0
2018-10-10,-0.31220824688796683,-0.6347575207468881,-0.08982754149377593,1.0,-0.5803941908713693,-0.624513744813278,0.0
2018-10-11,-0.28604177279673965,-0.6310175751400917,-0.056450585838003046,1.0,-0.5752674477840041,-0.6351248089658685,0.0
2018-10-12,-0.2945440791754657,-0.625681596116872,-0.053645160273584014,1.0,-0.5598071043590632,-0.6181800989693321,0.0
2018-10-15,-0.2828009441384737,-0.644720692368214,-0.03694728560188828,1.0,-0.5605979543666405,-0.6220613690007868,0.0
2018-10-16,-0.2916296766011414,-0.6319594166138237,-0.05136334812935954,1.0,-0.5668040583386177,-0.6288205453392517,0.0
2018-10-17,-0.2781295054221776,-0.6000125368269291,-0.033849432708581456,1.0,-0.5733404375352599,-0.6488748197831129,0.0
2018-10-18,-0.277032533065881,-0.5983514072588227,-0.03469566852629599,1.0,-0.5750015671033661,-0.6490942142543722,0.0
2018-10-19,-0.2680168250506309,-0.5900607571272783,-0.025923040972114033,1.0,-0.5794672067300203,-0.6522822869605858,0.0
2018-10-22,-0.2704866953324609,-0.5844083006169377,-0.01972331276874182,1.0,-0.5846887268648345,-0.6565713217423818,0.0
2018-10-23,-0.27519270979621135,-0.5854320756483475,-0.02799363355491059,1.0,-0.5785350934681521,-0.6536216958462067,0.0
2018-10-24,-0.27494463678612646,-0.5845107763326159,-0.025139577680047407,1.0,-0.5794267178191572,-0.6550325941174636,0.0
2018-10-25,-0.2603227191852261,-0.5630100006135346,-0.022486042088471686,1.0,-0.5798822013620468,-0.6419719001165716,0.0
2018-10-26,-0.2585827060767395,-0.5601554372437427,-0.021479713603818618,1.0,-0.5799522673031026,-0.6396487363074476,0.0
2018-10-29,-0.2555779693135277,-0.5615868940644293,-0.017238217494956902,1.0,-0.5801699370377161,-0.6418485237483953,0.0
2018-10-30,-0.24063237231532827,-0.5671436012132725,-0.005239131100830295,1.0,-0.5872422561965747,-0.6635313581911211,0.0
