Date,ENB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.41246909219357114,-0.7948428117273048,-0.0,-0.6957258919109854,-0.6292829388908513,0.0
2018-09-25,1.0,-0.41066751610391444,-0.7979401146740285,-0.0,-0.69806045161747,-0.6326183903164154,0.0
2018-09-26,1.0,-0.4088260375213189,-0.7994243888573052,-0.0,-0.7020324047754406,-0.6428723706651506,0.0
2018-09-27,1.0,-0.4078347578347578,-0.8058048433048434,-0.0,-0.7033119658119659,-0.6443019943019943,0.0
2018-09-28,1.0,-0.4069299526370143,-0.8066308179908123,-0.0,-0.7031800861792671,-0.6443502724261956,0.0
2018-10-01,1.0,-0.40787833457990524,-0.8057128610606545,-0.0,-0.7037076610749011,-0.6443352209993944,0.0
2018-10-02,1.0,-0.4221663373450692,-0.7781929225794862,-0.0,-0.7260643075264954,-0.6661756781031076,0.0
2018-10-03,1.0,-0.4213703158121654,-0.7674343405310243,-0.0,-0.7303919807422843,-0.6736966909783351,0.0
2018-10-04,1.0,-0.4212947985189978,-0.7688270606420072,-0.0,-0.7298968330996801,-0.6746468241130164,0.0
2018-10-05,1.0,-0.4000645091925599,-0.757696305056804,-0.0,-0.7392036698562878,-0.6869153854424256,0.0
2018-10-08,1.0,-0.39682426149774697,-0.7534868750447036,-0.0,-0.7407195479579429,-0.6852871754523998,0.0
2018-10-09,1.0,-0.39515090831068517,-0.7532899442139894,-0.0,-0.7412744957802889,-0.6863109712487484,0.0
2018-10-10,1.0,-0.3967181467181467,-0.7521807521807521,-0.0,-0.7422779922779923,-0.6838266838266838,0.0
2018-10-11,1.0,-0.33352984013593645,-0.7317335367756701,-0.0,-0.7174810139751014,-0.6850227138745362,0.0
2018-10-12,1.0,-0.3340069185190259,-0.721580984347707,-0.0,-0.7021954310374353,-0.6672260848717334,0.0
2018-10-15,1.0,-0.3118444877182194,-0.7399473881999248,-0.0,-0.6975504765809162,-0.6670424652386321,0.0
2018-10-16,1.0,-0.30445646221248635,-0.7552710843373495,-0.0,-0.6968441949616648,-0.6662102957283681,0.0
2018-10-17,1.0,-0.2908115041857953,-0.7281596003240616,-0.0,-0.6899135835808804,-0.6667566837699163,0.0
2018-10-18,1.0,-0.29540972458347503,-0.7417545052703163,-0.0,-0.6907174430465828,-0.6723223393403605,0.0
2018-10-19,1.0,-0.2765619723066532,-0.7285038838230329,-0.0,-0.6970280310705843,-0.6751435325903412,0.0
2018-10-22,1.0,-0.2765475506271341,-0.7170965887961054,-0.0,-0.7048581764089388,-0.682308394469049,0.0
2018-10-23,1.0,-0.27419518635117296,-0.7183236857249247,-0.0,-0.7081006059375106,-0.68450627940828,0.0
2018-10-24,1.0,-0.2723397056335646,-0.7131449839282694,-0.0,-0.7099306377939436,-0.6881069193029945,0.0
2018-10-25,1.0,-0.2389273186243976,-0.6665573877979215,-0.0,-0.7151099891813919,-0.6577713667508114,0.0
2018-10-26,1.0,-0.21435091608528395,-0.65814696485623,-0.0,-0.7342700658538176,-0.6533220316880746,0.0
2018-10-29,1.0,-0.1891180769855449,-0.6709111580315088,-0.0,-0.7254507065129121,-0.6628877700178658,0.0
2018-10-30,1.0,-0.20281680957193624,-0.6741759853943208,-0.0,-0.728067029635184,-0.6551364392136406,0.0
2018-10-31,1.0,-0.20917954199462313,-0.6511838823567518,-0.0,-0.7277556440903054,-0.6509247562595147,0.0
2018-11-01,1.0,-0.21106358156717867,-0.6502365675027545,-0.0,-0.7281418108756238,-0.651208762719554,0.0
