Date,IWF,IWM,MCFT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.9255451509396895,-1.8419225983891032,1.0,-0.23816383995809048,-1.3667081396110274,-1.175954423416934,0.0
2018-09-25,-0.9300635190884682,-1.8387139021675067,1.0,-0.24490865038307905,-1.3638923449675855,-1.1707812193045641,0.0
2018-09-26,-0.9299233741567884,-1.8388892527342982,1.0,-0.2443513000196477,-1.3642674700373305,-1.1717204794027116,0.0
2018-09-27,-0.9336124010726666,-1.8256262672509647,1.0,-0.24775982732683627,-1.3632677088102558,-1.1703185296618484,0.0
2018-09-28,-0.9304461942257218,-1.8375984251968505,1.0,-0.2499343832020997,-1.3679790026246719,-1.1756561679790025,0.0
2018-10-01,-0.935239973701512,-1.8380013149243914,1.0,-0.2501643655489809,-1.372715318869165,-1.1785009861932938,0.0
2018-10-02,-0.9374712341376817,-1.8202380169636398,1.0,-0.25701887040568083,-1.3768821092774015,-1.1833782628706686,0.0
2018-10-03,-0.9441946574980163,-1.8416424226395132,1.0,-0.261637133033589,-1.3806532663316582,-1.1838799259455168,0.0
2018-10-04,-0.9498975477559654,-1.831119042897746,1.0,-0.26313702161411856,-1.3877982682265846,-1.1778703152885186,0.0
2018-10-05,-0.925541011642439,-1.819443530882063,1.0,-0.235216733539433,-1.4029467868183911,-1.1945010853121096,0.0
2018-10-08,-0.9210785278488486,-1.8120448730564849,1.0,-0.2273830610772158,-1.4077281375057402,-1.1922193793872597,0.0
2018-10-09,-0.9189632545931758,-1.8133858267716534,1.0,-0.22145669291338582,-1.4111548556430447,-1.1967191601049867,0.0
2018-10-10,-0.9190607372425553,-1.812540994359176,1.0,-0.22143513052603958,-1.4110586383313655,-1.1949363767545584,0.0
2018-10-11,-0.8137649277184161,-1.7992457573852925,1.0,-0.08101822752985545,-1.3794468887492144,-1.211879321181647,0.0
2018-10-12,-0.8319077724060989,-1.7906904673360604,1.0,-0.06855088632701128,-1.3429403743646955,-1.164001487541837,0.0
2018-10-15,-0.8022406536271354,-1.845382520425848,1.0,-0.02160188165387472,-1.3466204506065858,-1.173805397375588,0.0
2018-10-16,-0.7993915311064199,-1.8736495715882278,1.0,-0.004718738358375761,-1.352415248975537,-1.1786290823295666,0.0
2018-10-17,-0.7608210081497133,-1.7948083308179898,1.0,-0.0,-1.3197706006640508,-1.1614850588590402,0.0
2018-10-18,-0.7608840448077505,-1.7952164698758706,1.0,-0.0,-1.3313351498637604,-1.1676657584014534,0.0
2018-10-19,-0.7278499970047325,-1.7709818486790871,1.0,-0.0,-1.3311567722997664,-1.1605463367878752,0.0
2018-10-22,-0.7360926752745264,-1.7972125015083869,1.0,-0.0,-1.3346808253891638,-1.1655001810063956,0.0
