Date,AIZ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.19273938968782883,-0.6373786975330294,-0.07035543084297909,-0.5078042792002806,-0.5146439845668187,0.0
2018-09-25,1.0,-0.19198571595831868,-0.6397084650509308,-0.0681711743355579,-0.509834913944503,-0.5172989111345275,0.0
2018-09-26,1.0,-0.19206228414212959,-0.6398759000175613,-0.0684598723877539,-0.509717262775859,-0.5167710589474916,0.0
2018-09-27,1.0,-0.20826294419252542,-0.6322574908864587,-0.07376781956669927,-0.5224504312261047,-0.5270146113037552,0.0
2018-09-28,1.0,-0.2056903815344449,-0.6359995253070669,-0.07437844894084138,-0.5229929389426214,-0.5277695365810241,0.0
2018-10-01,1.0,-0.2052349791790601,-0.6406900654372397,-0.07495538370017847,-0.5238251041046995,-0.5297144556811422,0.0
2018-10-02,1.0,-0.20531221153559834,-0.6482446475895542,-0.07304290861447756,-0.5227347169698955,-0.5283923413631897,0.0
2018-10-03,1.0,-0.20509080083358147,-0.6405775528431081,-0.07192616850253053,-0.5258410241143198,-0.5336707353378982,0.0
2018-10-04,1.0,-0.20707611735999523,-0.6367910492174016,-0.0724275427007082,-0.5280902219841694,-0.5312741772302565,0.0
2018-10-05,1.0,-0.1947220163083766,-0.6310452186805041,-0.061349147516679026,-0.53648628613788,-0.5415567086730911,0.0
2018-10-08,1.0,-0.19311652153308453,-0.6285468870327588,-0.05725371719684853,-0.5410816894733725,-0.5419110242284225,0.0
2018-10-09,1.0,-0.19196706258700869,-0.6289505642605373,-0.05453037528509226,-0.5426083350611652,-0.5440004739196114,0.0
2018-10-10,1.0,-0.19243182423829688,-0.6280460723062802,-0.05528084564593018,-0.5429188997127884,-0.5422674917833773,0.0
2018-10-11,1.0,-0.16039592498263486,-0.6245948136142626,-0.01942000463070155,-0.5372771474878444,-0.5524716369529984,0.0
2018-10-12,1.0,-0.15952169300031543,-0.6203940010896682,-0.015943566656152323,-0.5288905456943768,-0.542798153299114,0.0
