Date,IWF,IWM,MTUM,PRTS,SPY,VLUE,VXX
2018-09-24,-1.5496208017334778,-3.212134344528711,-0.22621885157096425,1.0,-2.4537378114842903,-2.3925243770314193,0.0
2018-09-25,-1.565278834655941,-3.2167626915969127,-0.24176540928361778,1.0,-2.4570061963256875,-2.389933688444396,0.0
2018-09-26,-1.5654347826086958,-3.2169565217391307,-0.2423913043478261,1.0,-2.456521739130435,-2.3883695652173915,0.0
2018-09-27,-1.5697763229678123,-3.2345881069285327,-0.24331696672122205,1.0,-2.4659028914348067,-2.397490452809602,0.0
2018-09-28,-1.5658009602793541,-3.2381056307289393,-0.2453077258838935,1.0,-2.4654081187254473,-2.3976429506765604,0.0
2018-10-01,-1.5693638453958176,-3.252490966823607,-0.24811124493594658,1.0,-2.472790977772912,-2.4064381911748605,0.0
2018-10-02,-1.5700842542947806,-3.236459131195973,-0.25451362293467555,1.0,-2.4733559470401576,-2.40759382864646,0.0
2018-10-03,-1.566451894725347,-3.2163372283498965,-0.25292126242219065,1.0,-2.4732991154308177,-2.4115976848312766,0.0
2018-10-04,-1.5737043098745227,-3.1990180032733226,-0.25542825968357885,1.0,-2.481505728314239,-2.4013093289689036,0.0
2018-10-05,-1.5348025310931703,-3.1922321623390792,-0.20216015710233473,1.0,-2.5268383155138556,-2.453851189177395,0.0
2018-10-08,-1.52632151403089,-3.1784859691102896,-0.18794866217098108,1.0,-2.534152708288014,-2.4496410702632154,0.0
2018-10-09,-1.522907824572859,-3.181956687343563,-0.1767330503863315,1.0,-2.541625857002938,-2.459462400696485,0.0
2018-10-10,-1.5249075484011312,-3.178159669349576,-0.17902980204481184,1.0,-2.542201435718947,-2.4523602349358278,0.0
2018-10-11,-1.2891690781314593,-3.1240181893344356,-0.0,1.0,-2.45163290615957,-2.4699255890863996,0.0
2018-10-12,-1.3790849673202614,-3.2202192705039008,-0.0,1.0,-2.471853257432005,-2.470693653805608,0.0
2018-10-15,-1.2978053134516434,-3.2865693583954636,-0.0,1.0,-2.450173264727502,-2.46634463929434,0.0
2018-10-16,-1.2923399790136412,-3.2912906610703043,-0.0,1.0,-2.4465897166841555,-2.4629590766002103,0.0
2018-10-17,-1.2034142328259976,-3.147675853558207,-0.0,1.0,-2.432949403537639,-2.499794323323735,0.0
2018-10-18,-1.2019122031458827,-3.145471368356122,-0.0,1.0,-2.4338439395497073,-2.499434563585895,0.0
2018-10-19,-1.1475881929445644,-3.133600740512188,-0.0,1.0,-2.4732078576571017,-2.5304947032808807,0.0
2018-10-22,-1.1469199178644764,-3.115708418891171,-0.0,1.0,-2.473716632443532,-2.5306981519507183,0.0
2018-10-23,-1.1543989323478083,-3.1160045169900425,-0.0,1.0,-2.468021763679294,-2.5274612462786163,0.0
2018-10-24,-1.1463564620272624,-3.103002972225069,-0.0,1.0,-2.4680742031362097,-2.5315158347852824,0.0
2018-10-25,-0.9870710605618742,-2.895110333430543,-0.0,1.0,-2.4528045105472924,-2.38602119179547,0.0
2018-10-26,-0.9174971253353776,-2.8447681103871214,-0.0,1.0,-2.4683786891529325,-2.3515714833269454,0.0
2018-10-29,-0.8443324457968808,-2.8689615823507038,-0.0,1.0,-2.433054393305439,-2.362970711297071,0.0
2018-10-30,-0.8594733829421867,-2.877695096355658,-0.0,1.0,-2.441137187559626,-2.3618584239648923,0.0
2018-10-31,-0.8933166890724026,-2.840503168811216,-0.0,1.0,-2.482811599769541,-2.385826771653543,0.0
2018-11-01,-0.8348788513311397,-3.046465250772759,-0.0,1.0,-2.5931797786419386,-2.49646026523083,0.0
2018-11-02,-0.8295732005078622,-2.9343685906826837,-0.0,1.0,-2.5612852817657976,-2.4413516945014164,0.0
2018-11-05,-0.8221528861154447,-2.9465678627145087,-0.0,1.0,-2.557429797191888,-2.424239469578783,0.0
