Date,IWF,IWM,MTUM,PMX,SPY,VLUE,VXX
2018-09-24,-0.09433592357596064,-0.2775183574534825,-0.0,1.0,-0.2157624581164896,-0.1946602979967206,0.0
2018-09-25,-0.0925296810184523,-0.2801816621370333,-0.0,1.0,-0.21778000286082105,-0.19752181376054928,0.0
2018-09-26,-0.09381037567084077,-0.28150268336314843,-0.0,1.0,-0.21796064400715562,-0.19563506261180677,0.0
2018-09-27,-0.09827842568209097,-0.2759893230146361,-0.0,1.0,-0.22004263628383583,-0.19711219791834617,0.0
2018-09-28,-0.09708180970818096,-0.27764035276403526,-0.0,1.0,-0.22029827202982719,-0.19746181974618196,0.0
2018-10-01,-0.0967753519103706,-0.2797687446136167,-0.0,1.0,-0.220590347601264,-0.19832663027865555,0.0
2018-10-02,-0.09705634081071858,-0.27960272275004944,-0.0,1.0,-0.22080137933511734,-0.19854882451193448,0.0
2018-10-03,-0.09665487583717881,-0.27531287594491227,-0.0,1.0,-0.222290054405401,-0.20129998383997988,0.0
2018-10-04,-0.10451082924710949,-0.2715182658729441,-0.0,1.0,-0.23404563301789494,-0.1993232851430329,0.0
2018-10-05,-0.10144013265802707,-0.26946161749067243,-0.0,1.0,-0.23321497449577333,-0.19830212144698187,0.0
2018-10-08,-0.106675440520582,-0.28010528624698394,-0.0,1.0,-0.23667470936608906,-0.2043942385025956,0.0
2018-10-09,-0.10486199963443611,-0.2799305428623652,-0.0,1.0,-0.23734235057576308,-0.2056845183695851,0.0
2018-10-10,-0.10418990837433018,-0.2806379048629273,-0.0,1.0,-0.2372574480147772,-0.20675213518901223,0.0
2018-10-11,-0.07471192940716936,-0.27040463043516855,-0.0,1.0,-0.22392273138859792,-0.20645207108996325,0.0
2018-10-12,-0.07707118976351766,-0.26450664286089376,-0.0,1.0,-0.21379684573509078,-0.1950497995763973,0.0
2018-10-15,-0.07355330037903268,-0.2662311575343662,-0.0,1.0,-0.21259017309741315,-0.1943372168171735,0.0
2018-10-16,-0.07364578056492044,-0.26617988715565877,-0.0,1.0,-0.21262249550194767,-0.19438573200342377,0.0
2018-10-17,-0.06250215346449368,-0.24613237776935534,-0.0,1.0,-0.21227991592874618,-0.2018571477793474,0.0
2018-10-18,-0.062198566900923256,-0.24552156538514538,-0.0,1.0,-0.21286344219374398,-0.20189127738735016,0.0
2018-10-19,-0.05594357827148687,-0.23917758158438493,-0.0,1.0,-0.21226455369797978,-0.20029372086271965,0.0
2018-10-22,-0.05586105608306579,-0.23536443746157526,-0.0,1.0,-0.2143418266275019,-0.20219960379807367,0.0
2018-10-23,-0.057770795266312604,-0.23550607080038935,-0.0,1.0,-0.21293054867740224,-0.20148909646681123,0.0
2018-10-24,-0.05691722526394787,-0.23225707414419489,-0.0,1.0,-0.21344385884118783,-0.20302239506046496,0.0
2018-10-25,-0.04123061613732482,-0.21015009536445806,-0.0,1.0,-0.21835973132100506,-0.1887884567542914,0.0
2018-10-26,-0.030965511564737837,-0.2050209893818421,-0.0,1.0,-0.22464400362169723,-0.18557906000493865,0.0
2018-10-29,-0.025373892246957266,-0.20554654610382167,-0.0,1.0,-0.22140318115550314,-0.18575851393188855,0.0
2018-10-30,-0.028379840640062954,-0.2058727087910286,-0.0,1.0,-0.22161196183231138,-0.18364101387021672,0.0
2018-10-31,-0.03254022650869806,-0.19396847155586017,-0.0,1.0,-0.2228858644211626,-0.18249616501844054,0.0
2018-11-01,-0.02856257845742513,-0.19680790361760053,-0.0,1.0,-0.22253378763918552,-0.1823798888146204,0.0
2018-11-02,-0.03007518796992481,-0.18904171876776174,-0.0,1.0,-0.2241510904691535,-0.18064599944786375,0.0
2018-11-05,-0.029433251619397048,-0.19070733964316444,-0.0,1.0,-0.22421546503888176,-0.17909963147555888,0.0
2018-11-06,-0.02617382943007546,-0.18960543685522907,-0.0,1.0,-0.22889877605567235,-0.18507472416434426,0.0
2018-11-07,-0.025801827629457087,-0.18986496391979282,-0.0,1.0,-0.22824192471209134,-0.1849945431740809,0.0
2018-11-08,-0.015143923844003038,-0.18972734472225364,-0.0,1.0,-0.2242335105781197,-0.1871090782732371,0.0
