Date,IWF,IWM,MTUM,SPY,TSC,VLUE,VXX
2018-09-24,-0.21758982271625152,-0.9174985042667758,-0.015902005856976414,-0.5097458827974934,1.0,-0.4882073243694304,0.0
2018-09-25,-0.21662667340237435,-0.9217921192220258,-0.012345289214448094,-0.5135766607729224,1.0,-0.49302222783531197,0.0
2018-09-26,-0.21618972332015812,-0.9221818181818183,-0.00932806324110672,-0.5157628458498025,1.0,-0.49859288537549407,0.0
2018-09-27,-0.21551669316375202,-0.9351987281399046,-0.006963434022257552,-0.5195866454689984,1.0,-0.5023847376788553,0.0
2018-09-28,-0.21909736599038124,-0.9343567856801605,-0.006911488358760391,-0.5210688919323502,1.0,-0.5035831448864541,0.0
2018-10-01,-0.21864633835162028,-0.9372288849196223,-0.007527430466955856,-0.5214021434039295,1.0,-0.5047843837713702,0.0
2018-10-02,-0.2190041784951038,-0.9361423878026218,-0.00826129948008038,-0.5213868776115594,1.0,-0.5048961755605881,0.0
2018-10-03,-0.22084828293182984,-0.9226998974884675,-0.005061506919528447,-0.5332842132239878,1.0,-0.5215594566888776,0.0
2018-10-04,-0.2199993577598664,-0.9282938890851289,-0.005234257088725474,-0.5319996146559198,1.0,-0.525641437333419,0.0
2018-10-05,-0.20701013783619557,-0.9246857910390482,-0.0,-0.535578368352042,1.0,-0.5307493044229108,0.0
2018-10-08,-0.20376105488330515,-0.9213307365665209,-0.0,-0.5380096420931644,1.0,-0.5296446473611954,0.0
2018-10-09,-0.20428493885500812,-0.921804655321051,-0.0,-0.5377885628532201,1.0,-0.529071809444746,0.0
2018-10-10,-0.20438585291113381,-0.9216036772216547,-0.0,-0.5379213483146067,1.0,-0.5281537282941777,0.0
2018-10-11,-0.1338864031817052,-0.9194630872483222,-0.0,-0.5160017399950285,1.0,-0.5377827491921452,0.0
2018-10-12,-0.129203103830521,-0.918462864884838,-0.0,-0.505296218746151,1.0,-0.5262039660056657,0.0
2018-10-15,-0.08544008944654947,-0.9775762469718616,-0.0,-0.5056835828312317,1.0,-0.5371141064662401,0.0
2018-10-16,-0.08795375435106911,-0.9747327200397813,-0.0,-0.506899552461462,1.0,-0.5383204873197415,0.0
2018-10-17,-0.0645488340655627,-0.9382776736612493,-0.0,-0.5107376570708777,1.0,-0.5587268426065317,0.0
2018-10-18,-0.06411083463889657,-0.9378859091327989,-0.0,-0.5111664055540196,1.0,-0.5587503455902681,0.0
2018-10-19,-0.04881990608038055,-0.9320912362017442,-0.0,-0.510977617856925,1.0,-0.557449533451241,0.0
2018-10-22,-0.05240402305899669,-0.9473813320250214,-0.0,-0.5098736661351649,1.0,-0.5566662578192076,0.0
2018-10-23,-0.045283488321463006,-0.960750163281809,-0.0,-0.5310857462756197,1.0,-0.5729791932323578,0.0
2018-10-24,-0.042663600770617115,-0.9575539121247902,-0.0,-0.5317879560002485,1.0,-0.5752905350817227,0.0
2018-10-25,-0.018182920176980425,-0.9294199648463544,-0.0,-0.5295472452875932,1.0,-0.5533365658524759,0.0
2018-10-26,-0.032628082907927916,-0.9423703794821329,-0.0,-0.5351497632080694,1.0,-0.5650716526231625,0.0
2018-10-29,-0.00276812351982284,-0.9652139144342263,-0.0,-0.5271737458862609,1.0,-0.5805370159628457,0.0
2018-10-30,-0.0,-0.9636911904981692,-0.0,-0.5246315271239116,1.0,-0.5886950367703622,0.0
2018-10-31,-0.0,-0.948671700651157,-0.0,-0.5233407722172969,1.0,-0.5850325578551557,0.0
2018-11-01,-0.0,-0.9543483571515817,-0.0,-0.5176499328203249,1.0,-0.5816233052400147,0.0
2018-11-02,-0.0,-0.9217306460956796,-0.0,-0.5431899259078574,1.0,-0.5841387931823033,0.0
2018-11-05,-0.0,-0.9277920019507437,-0.0,-0.5425201170446233,1.0,-0.5777249451353328,0.0
2018-11-06,-0.0,-0.9277027644853546,-0.0,-0.5425950196592398,1.0,-0.5776463775183639,0.0
2018-11-07,-0.0,-0.9275702358461819,-0.0,-0.5421110366262417,1.0,-0.5774270217563532,0.0
2018-11-08,-0.0,-0.9250832072617247,-0.0,-0.5230559757942511,1.0,-0.5775794251134644,0.0
2018-11-09,-0.0,-0.9290316698073066,-0.0,-0.5299373898243268,1.0,-0.5803598565436752,0.0
2018-11-12,-0.0,-0.9186652131782946,-0.0,-0.5320070251937985,1.0,-0.5774285368217055,0.0
2018-11-13,-0.0,-0.9127143844051301,-0.0,-0.522902712281861,1.0,-0.5680173009341303,0.0
2018-11-14,-0.0,-0.9123344445445536,-0.0,-0.5231101901072169,1.0,-0.5678289335375559,0.0
2018-11-15,-0.0,-0.9134618275851701,-0.0,-0.5228673662687554,1.0,-0.5705265056980485,0.0
2018-11-16,-0.0,-0.9120882423659533,-0.0,-0.5226616975234432,1.0,-0.5707802356335657,0.0
