Date,IWF,IWM,MTUM,SKX,SPY,VLUE,VXX
2018-09-24,-1.0564743265689318,-1.8549144218964397,-0.33133530728677685,1.0,-1.4781541128042175,-1.5009027226113958,0.0
2018-09-25,-1.0608928055475295,-1.8522825772898004,-0.3378358855822017,1.0,-1.4759462583068477,-1.4963883270731002,0.0
2018-09-26,-1.0630285507770147,-1.8549331405854719,-0.34145283700758944,1.0,-1.4760390314419949,-1.4926635345139139,0.0
2018-09-27,-1.0690328176955328,-1.8424895185774182,-0.3458869452074599,1.0,-1.477663727049299,-1.493422003758855,0.0
2018-09-28,-1.0690278279725334,-1.8419226599204914,-0.3467293097217203,1.0,-1.4773400795084928,-1.4930249367546078,0.0
2018-10-01,-1.0689605320225533,-1.8419835188665608,-0.347549515685991,1.0,-1.477085441665462,-1.4930605753939572,0.0
2018-10-02,-1.069160095493019,-1.8501048976343777,-0.34637922303407365,1.0,-1.476379946466035,-1.4922231064168416,0.0
2018-10-03,-1.0682426082556207,-1.8452974770476396,-0.3457673678883828,1.0,-1.4764693125135544,-1.4933130918817321,0.0
2018-10-04,-1.0732870771899392,-1.8361520670714078,-0.34721017635154666,1.0,-1.4827262214512864,-1.4880745880312227,0.0
2018-10-05,-1.0503131073202332,-1.8253077089181602,-0.31850572230619734,1.0,-1.496868926797668,-1.5069459440005757,0.0
2018-10-08,-1.0455067470571346,-1.8179012345679013,-0.3107235142118863,1.0,-1.499425782371519,-1.5041630778064887,0.0
2018-10-09,-1.0433093525179855,-1.8238848920863309,-0.29964028776978413,1.0,-1.5098561151079135,-1.5175539568345322,0.0
2018-10-10,-1.0455395683453235,-1.8221582733812949,-0.3017985611510791,1.0,-1.5112230215827336,-1.5135251798561151,0.0
2018-10-11,-0.9420150127401693,-1.7961572894428757,-0.1596997451966118,1.0,-1.4695268920873217,-1.5192479856759176,0.0
2018-10-12,-0.9692318234770095,-1.8031933118618515,-0.145891865963133,1.0,-1.4462413485917904,-1.4880422120194614,0.0
2018-10-15,-0.945058695058695,-1.8354490854490852,-0.1092001092001092,1.0,-1.4436936936936935,-1.4915369915369916,0.0
2018-10-16,-0.9418231478320246,-1.8504609081597816,-0.09900990099009901,1.0,-1.4447251621713895,-1.492181631956299,0.0
2018-10-17,-0.9043113213833543,-1.7745718664623173,-0.06496968081561938,1.0,-1.4265342840007995,-1.4931698540681015,0.0
2018-10-18,-0.9031247917915918,-1.772536478113132,-0.06562729029249116,1.0,-1.428143114131521,-1.4932373908987941,0.0
2018-10-19,-0.8806098204857444,-1.754157866948258,-0.0363648363252376,1.0,-1.433540126715945,-1.4951821541710666,0.0
2018-10-22,-0.9829525105651457,-1.8601103072845782,-0.0,1.0,-1.633622233364372,-1.6861256356994483,0.0
