Date,GRFS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.34829460269865065,-0.5945777111444278,-0.10741504247876062,-0.5702461269365318,-0.5029047976011993,0.0
2018-09-25,1.0,-0.3511369315342329,-0.592703648175912,-0.11156921539230386,-0.5684032983508246,-0.4996251874062968,0.0
2018-09-26,1.0,-0.3513445981822157,-0.5929662366867601,-0.11212793203610583,-0.5681981447356091,-0.4986725801917731,0.0
2018-09-27,1.0,-0.3540060551203221,-0.5861918287087612,-0.11411092730734418,-0.5683385873466712,-0.4985486438403196,0.0
2018-09-28,1.0,-0.35384999531820593,-0.5862542526296076,-0.11442304691157651,-0.5681825275445551,-0.4985174318798964,0.0
2018-10-01,1.0,-0.3535839160839161,-0.5868818681318682,-0.1146978021978022,-0.5679945054945055,-0.4986888111888112,0.0
2018-10-02,1.0,-0.3542668081653037,-0.5799675385479743,-0.11732942131219176,-0.5693551407703352,-0.5003745552156814,0.0
2018-10-03,1.0,-0.3548800299925019,-0.5837603099225194,-0.11797050737315673,-0.5687328167958011,-0.4988752811797051,0.0
2018-10-04,1.0,-0.3673514329757448,-0.5774373171422279,-0.1184446471828106,-0.5869380564381667,-0.4957372510774845,0.0
2018-10-05,1.0,-0.3511655897630812,-0.575604966425947,-0.09707969086532371,-0.6161472190548588,-0.5273660205245154,0.0
2018-10-08,1.0,-0.3495335968379447,-0.5726166007905139,-0.09372332015810278,-0.6192885375494072,-0.5269249011857708,0.0
2018-10-09,1.0,-0.35703840284842314,-0.5775368769074263,-0.10490844354018311,-0.6177835707019329,-0.5217764496439471,0.0
2018-10-10,1.0,-0.35648546224642524,-0.5807139900003184,-0.10273558166937358,-0.6188656412216171,-0.525843126015095,0.0
2018-10-11,1.0,-0.35631634311944155,-0.5837556979375856,-0.09645851263906155,-0.6243664530936215,-0.5267922603678556,0.0
2018-10-12,1.0,-0.414650249232496,-0.6347671079127192,-0.0882712177730829,-0.6364176542435547,-0.5269864325091606,0.0
2018-10-15,1.0,-0.3961690885072655,-0.6715323645970938,-0.05911492734478203,-0.640455746367239,-0.535237780713342,0.0
2018-10-16,1.0,-0.39669694467382327,-0.6699256812551609,-0.06047894302229562,-0.6404954582989265,-0.5354252683732452,0.0
2018-10-17,1.0,-0.3838120953837145,-0.6385373629591073,-0.04931845538241322,-0.638504830996454,-0.5430235206089984,0.0
