Date,INSW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5532216562516411,-1.5795830488893559,-0.0,-1.1000892716483748,-1.0183794570183269,0.0
2018-09-25,1.0,-0.5544065928297727,-1.5783423442338984,-0.0,-1.0992598813710566,-1.0170594719437298,0.0
2018-09-26,1.0,-0.5648411944708241,-1.5920649994724068,-0.0,-1.10599345784531,-1.0130315500685871,0.0
2018-09-27,1.0,-0.5667393733042507,-1.6154705538117784,-0.0,-1.1153375538649786,-1.0224503910198437,0.0
2018-09-28,1.0,-0.5664361702127659,-1.615372340425532,-0.0,-1.115,-1.0223404255319148,0.0
2018-10-01,1.0,-0.5669366872735024,-1.6206565764229375,-0.0,-1.1166595608612235,-1.0251545512683862,0.0
2018-10-02,1.0,-0.6321217527037574,-1.6081502954621474,-0.0,-1.215408629724607,-1.1190210725833425,0.0
2018-10-03,1.0,-0.63302034428795,-1.5912698412698414,-0.0,-1.2276436396154706,-1.137156270959088,0.0
2018-10-04,1.0,-0.6359220590698453,-1.5841103232650326,-0.0,-1.230249567305008,-1.1328792362235498,0.0
2018-10-05,1.0,-0.6135480288728484,-1.574069961132704,-0.0,-1.2305385896724041,-1.134258745141588,0.0
2018-10-08,1.0,-0.6072654779045299,-1.5665079189278992,-0.0,-1.2329161590430835,-1.1310222616015064,0.0
2018-10-09,1.0,-0.6029688711642849,-1.5666334330342304,-0.0,-1.2349063919353052,-1.134430043203722,0.0
2018-10-10,1.0,-0.610759493670886,-1.5682878081279148,-0.0,-1.2421718854097268,-1.1306351321341328,0.0
2018-10-11,1.0,-0.4796722009365687,-1.531981694338016,-0.0,-1.1861430395913153,-1.1236164325244784,0.0
2018-10-12,1.0,-0.47625763986835923,-1.512981246408609,-0.0,-1.1511779762837593,-1.083424750561563,0.0
2018-10-15,1.0,-0.43628881016878523,-1.5476661804542615,-0.0,-1.14273807043134,-1.0827776620129195,0.0
2018-10-16,1.0,-0.42851927189276584,-1.5637615396651539,-0.0,-1.1416575392479007,-1.081729515464455,0.0
2018-10-17,1.0,-0.38979165605419996,-1.493556110233814,-0.0,-1.1251591870001527,-1.085477051602058,0.0
2018-10-18,1.0,-0.388673667040473,-1.4914874095218678,-0.0,-1.1300846161688247,-1.0871138750127434,0.0
2018-10-19,1.0,-0.36159160825054215,-1.473397549044329,-0.0,-1.1274396086539917,-1.0807403298199607,0.0
2018-10-22,1.0,-0.3636363636363637,-1.457330969865789,-0.0,-1.1457584198531274,-1.097847556343378,0.0
2018-10-23,1.0,-0.36350283630470015,-1.4574047811993518,-0.0,-1.1459177471636952,-1.0980044570502432,0.0
2018-10-24,1.0,-0.3592959741047947,-1.4538741654865466,-0.0,-1.1459134129071413,-1.0985737406433338,0.0
2018-10-25,1.0,-0.30576951024560384,-1.3724264883980042,-0.0,-1.1276461754589933,-1.0384149590660272,0.0
2018-10-26,1.0,-0.27295844928509744,-1.3537568371557434,-0.0,-1.144419921312734,-1.0269168026101143,0.0
2018-10-29,1.0,-0.22541003435096035,-1.4047123711838985,-0.0,-1.1434999274275484,-1.0645894818326964,0.0
2018-10-30,1.0,-0.17739380136647193,-1.4441033765719378,-0.0,-1.1824933161699178,-1.1469947519556392,0.0
2018-10-31,1.0,-0.18640318537088926,-1.4073637123334808,-0.0,-1.181880745219486,-1.140048173819004,0.0
2018-11-01,1.0,-0.153403501868975,-1.4375368876647647,-0.0,-1.1836513869761953,-1.1438127090301002,0.0
