Date,IWF,IWM,MTUM,RHP,SPY,VLUE,VXX
2018-09-24,-0.26147937411095307,-0.7265433854907539,-0.0,1.0,-0.472972972972973,-0.38392603129445235,0.0
2018-09-25,-0.2589622102979792,-0.7306484758534079,-0.0,1.0,-0.4761388286334056,-0.38845758648247514,0.0
2018-09-26,-0.2590689842166852,-0.7307988697662471,-0.0,1.0,-0.47612523903302223,-0.3881040043382709,0.0
2018-09-27,-0.2590277183066427,-0.7312095001570037,-0.0,1.0,-0.4761782421284006,-0.38819902372184634,0.0
2018-09-28,-0.263590301434174,-0.7306844530959264,-0.0,1.0,-0.4783156327827556,-0.390032347636905,0.0
2018-10-01,-0.263798236573915,-0.7304190999656475,-0.0,1.0,-0.4783865796404443,-0.3900721401580213,0.0
2018-10-02,-0.26384514059904934,-0.732002748983449,-0.0,1.0,-0.47792222667659356,-0.389754309604261,0.0
2018-10-03,-0.2634667124620757,-0.7280611368710286,-0.0,1.0,-0.47887686759402365,-0.39180834621329214,0.0
2018-10-04,-0.2652553282792161,-0.7247317980260334,-0.0,1.0,-0.48090401945358313,-0.3899299098841367,0.0
2018-10-05,-0.2933973094698419,-0.7645933296046629,-0.0,1.0,-0.4923316946807571,-0.39339436578257925,0.0
2018-10-08,-0.29033397086950125,-0.7617478299249669,-0.0,1.0,-0.4971310872443725,-0.3932323083713403,0.0
2018-10-09,-0.281564047075564,-0.7673791242996472,-0.0,1.0,-0.5077224083241929,-0.4078202353778199,0.0
2018-10-10,-0.28178531207397306,-0.7671448046944461,-0.0,1.0,-0.5078833501274376,-0.4068519945468556,0.0
2018-10-11,-0.23290481005344502,-0.7605084500938899,-0.0,1.0,-0.4892387693196591,-0.40624006933410367,0.0
2018-10-12,-0.22891496950868714,-0.7618801058566332,-0.0,1.0,-0.4856460706477966,-0.40009780232424347,0.0
2018-10-15,-0.19372060139093294,-0.8037110784059099,-0.0,1.0,-0.48298848584538134,-0.40533287161284737,0.0
2018-10-16,-0.19468336893147836,-0.8025168850660972,-0.0,1.0,-0.48337470415055134,-0.4057322634647578,0.0
2018-10-17,-0.1819399327520374,-0.7794779734427538,-0.0,1.0,-0.4792272183279193,-0.40884481677779677,0.0
2018-10-18,-0.18130787861518738,-0.778372987605072,-0.0,1.0,-0.4806667616469583,-0.409032625730161,0.0
2018-10-19,-0.17183338056106545,-0.7750070841598187,-0.0,1.0,-0.48044771890053845,-0.406375743836781,0.0
2018-10-22,-0.1717767072825163,-0.767186171720034,-0.0,1.0,-0.48449985831680364,-0.41020119013884954,0.0
2018-10-23,-0.16577219526120468,-0.7735369683128747,-0.0,1.0,-0.4964030830716528,-0.4189837282329432,0.0
2018-10-24,-0.16485087644047924,-0.7783878070401189,-0.0,1.0,-0.49758371221869546,-0.41868977152497777,0.0
2018-10-25,-0.14115252725194458,-0.7495330229446039,-0.0,1.0,-0.5007666787476651,-0.3964704898380217,0.0
2018-10-26,-0.1393383375034751,-0.7458159577425633,-0.0,1.0,-0.5003614122880178,-0.3945788156797331,0.0
2018-10-29,-0.12230096334846638,-0.7544568707784298,-0.0,1.0,-0.4930240283468055,-0.3984885394751412,0.0
2018-10-30,-0.11725473917254739,-0.7544209215442093,-0.0,1.0,-0.4931783589317836,-0.4025460080254601,0.0
2018-10-31,-0.11711262533931638,-0.7559414990859231,-0.0,1.0,-0.4936568611157276,-0.40319095894964263,0.0
2018-11-01,-0.11833975229281538,-0.755229835693109,-0.0,1.0,-0.4938627358621263,-0.40334155329583554,0.0
2018-11-02,-0.13042391243957996,-0.720206678148786,-0.0,1.0,-0.521001166731485,-0.4062725706983721,0.0
2018-11-05,-0.13296422013243558,-0.7150408992265316,-0.0,1.0,-0.5217294530076233,-0.4125535585109342,0.0
2018-11-06,-0.12974630610538052,-0.7132143852801784,-0.0,1.0,-0.5262336214106496,-0.41865068302202396,0.0
2018-11-07,-0.12952916373858048,-0.7236542515811666,-0.0,1.0,-0.5317217146872804,-0.42605762473647224,0.0
