Date,IWF,IWM,MIRM,MTUM,SPY,VLUE,VXX
2020-03-16,-2.069464871591809,-2.0670890372214052,0.8922955085416903,-2.14899875551533,-2.075687294942867,-1.9522570426518837,0.10770449145830978
2020-03-17,-2.0649876321115355,-2.0297953676635934,1.0,-2.1296379581740497,-2.0936586462783895,-1.9253429278165055,0.0
2020-03-18,-2.0278915329275042,-2.0087437742114003,1.0,-2.0744881018262316,-2.0610957387935804,-1.89573879358052,0.0
2020-03-19,-1.9898158179848322,-1.939653304442037,1.0,-2.0292524377031422,-2.019284940411701,-1.856338028169014,0.0
2020-03-20,-2.014127696856861,-1.9672544080604535,1.0,-2.0538823787098894,-2.045121016318037,-1.8713174898696747,0.0
2020-03-23,-2.0144609991235756,-1.9914548641542507,1.0,-2.034837861524978,-2.044916739702016,-1.8695223488168273,0.0
2020-03-24,-2.002394948835184,-1.9818201611147397,1.0,-2.0138253864576527,-2.028739386022208,-1.8592423252775965,0.0
2020-03-25,-1.8735983690112128,-1.8535168195718652,1.0,-1.8513761467889907,-1.8990825688073392,-1.7162079510703363,0.0
2020-03-26,-1.8738546120952961,-1.851557727550397,1.0,-1.8455508043168396,-1.8961514966401953,-1.71411117898595,0.0
2020-03-27,-1.823867578550897,-1.7979978194072754,1.0,-1.7865992665279018,-1.8471602735652692,-1.6560610565962932,0.0
2020-03-30,-1.8120130190354078,-1.7856790610513857,1.0,-1.7845941414340665,-1.83844560607555,-1.6421737843968836,0.0
2020-03-31,-1.7996662740478997,-1.7812131919905771,1.0,-1.7737534354142128,-1.8270514330585002,-1.633784844915587,0.0
2020-04-01,-1.797686728092531,-1.7833758086649676,1.0,-1.7656341893746326,-1.82474024701039,-1.6305626347774946,0.0
2020-04-02,-1.7693196035030316,-1.737561351169281,1.0,-1.7318833606005197,-1.7957848137811565,-1.5892599364834954,0.0
2020-04-03,-1.7734939759036146,-1.7412048192771086,1.0,-1.735132530120482,-1.8005783132530122,-1.5882409638554218,0.0
2020-04-06,-1.769519230769231,-1.733365384615385,1.0,-1.7305769230769232,-1.7969230769230768,-1.5849038461538463,0.0
2020-04-07,-1.7193179688963836,-1.6769720816938354,1.0,-1.6823121603897322,-1.7552932359003186,-1.5346636687277497,0.0
2020-04-08,-1.7197601424154407,-1.677035510165839,1.0,-1.683219338517755,-1.7554576969924107,-1.533964208751054,0.0
2020-04-09,-1.709344490934449,-1.6553231055323103,1.0,-1.6743840074384007,-1.7426313342631334,-1.516225011622501,0.0
2020-04-13,-1.7090251368147666,-1.6403858640200353,1.0,-1.6740562099990723,-1.7398200537983488,-1.5122901400612188,0.0
2020-04-14,-1.708684771526555,-1.6362962276392623,1.0,-1.6749467049772917,-1.7383446102511817,-1.5105199740476412,0.0
2020-04-15,-1.6958167882537631,-1.6360698125404007,1.0,-1.661741619724813,-1.7319235386462277,-1.5088189121802569,0.0
2020-04-16,-1.6985253456221199,-1.623778801843318,1.0,-1.6647926267281108,-1.7301382488479262,-1.499447004608295,0.0
2020-04-17,-1.700563406299067,-1.6309226932668328,1.0,-1.6652812413410916,-1.7344601459314677,-1.504941350327884,0.0
2020-04-20,-1.697986577181208,-1.6137721798289968,1.0,-1.6630504734761422,-1.7266709570653673,-1.4922313137813736,0.0
2020-04-21,-1.6991264367816092,-1.6159080459770114,1.0,-1.6651954022988507,-1.7260689655172412,-1.4890114942528734,0.0
2020-04-22,-1.6879633867276886,-1.614370709382151,1.0,-1.6525400457665904,-1.7187185354691075,-1.4797254004576659,0.0
2020-04-23,-1.6855023353786978,-1.6208443996702995,1.0,-1.6504258631742834,-1.7193882223646855,-1.4822785969411119,0.0
2020-04-24,-1.6855939188570381,-1.620569649235278,1.0,-1.6505174466526238,-1.7193882223646855,-1.4821870134627715,0.0
2020-04-27,-1.6835269367968537,-1.617762736668801,1.0,-1.6484953809567366,-1.7180096954175432,-1.4790085063569012,0.0
2020-04-28,-1.683826213946696,-1.606060606060606,1.0,-1.6477729098211025,-1.7169587440671776,-1.4728002920774004,0.0
2020-04-29,-1.683096020445418,-1.6069733479372033,1.0,-1.6470427163198247,-1.7166849215041986,-1.4735304855786784,0.0
2020-04-30,-1.675256328826785,-1.5856092913528717,1.0,-1.6422284729153436,-1.7110062607748842,-1.4594864349877505,0.0
2020-05-01,-1.6780828123584308,-1.5758811271178763,1.0,-1.6422034973271722,-1.7110627888013046,-1.453202863096856,0.0
2020-05-04,-1.6871026339691189,-1.572661217075386,1.0,-1.6530426884650318,-1.7206176203451407,-1.4491371480472297,0.0
2020-05-05,-1.69507299270073,-1.5804744525547445,1.0,-1.6583941605839416,-1.7312956204379562,-1.4588503649635036,0.0
2020-05-06,-1.6938719679007843,-1.5796097027174907,1.0,-1.6566660587269744,-1.7308043042130221,-1.4581433521794638,0.0
2020-05-07,-1.693991064101395,-1.5793744870976565,1.0,-1.6567885474605635,-1.7304641196316222,-1.457554481626698,0.0
2020-05-08,-1.6926651480637813,-1.57749430523918,1.0,-1.6563097949886105,-1.729384965831435,-1.4556719817767656,0.0
2020-05-11,-1.7025374224169405,-1.568912011683096,1.0,-1.6671230376049653,-1.7367652427893392,-1.452081051478642,0.0
2020-05-12,-1.7105841420985168,-1.572331074894708,1.0,-1.6762497711041933,-1.7437282548983704,-1.4528474638344624,0.0
2020-05-13,-1.7071122067013604,-1.561307404364101,1.0,-1.6740619008490825,-1.7407103076782615,-1.446635624942938,0.0
2020-05-14,-1.7048538384482286,-1.5527729714962206,1.0,-1.6734359347964667,-1.7380020034605226,-1.4375739914397596,0.0
2020-05-15,-1.7058662780105665,-1.5559300419019857,1.0,-1.6750774275824376,-1.7382947713609036,-1.433958826744398,0.0
2020-05-18,-1.7061395518309346,-1.5552013117143377,1.0,-1.6749863363089814,-1.7388413190016396,-1.433776644197486,0.0
2020-05-19,-1.7334311119259325,-1.5362544687872397,1.0,-1.7169309744247867,-1.7568979741497845,-1.423228526904391,0.0
2020-05-20,-1.733803720333547,-1.533400531476221,1.0,-1.7177677998717125,-1.756345642811326,-1.421973792724274,0.0
2020-05-21,-1.7320040245129424,-1.5264794658373733,1.0,-1.7175523644013537,-1.7546876429159428,-1.4160797585292235,0.0
2020-05-22,-1.7314128943758573,-1.5272062185642432,1.0,-1.716689529035208,-1.7540923639689072,-1.415546410608139,0.0
2020-05-26,-1.7314128943758573,-1.527023319615912,1.0,-1.716506630086877,-1.7541838134430725,-1.4158207590306358,0.0
2020-05-27,-1.7397435897435898,-1.5227106227106226,1.0,-1.729029304029304,-1.7574175824175824,-1.4086080586080587,0.0
2020-05-28,-1.7425226378853016,-1.5154120552455868,1.0,-1.7318210921064667,-1.7569742979968903,-1.3998902405561144,0.0
2020-05-29,-1.7437820043891734,-1.5123445501097295,1.0,-1.7333577176298465,-1.7577724945135333,-1.3968544257498172,0.0
2020-06-01,-1.7430974584019014,-1.513165112452002,1.0,-1.7316694093984273,-1.7574510879502652,-1.397056134576705,0.0
2020-06-02,-1.745286472634084,-1.5138202452864726,1.0,-1.734028921837818,-1.7602050155592166,-1.3992311916529379,0.0
2020-06-03,-1.7460404650736978,-1.513961365925112,1.0,-1.735878421679026,-1.7603222557905338,-1.3987915407854987,0.0
2020-06-04,-1.7532574784364103,-1.5124793540099102,1.0,-1.7480271609469629,-1.765094512754634,-1.3971370893741972,0.0
2020-06-05,-1.7661148617404976,-1.5239988902247295,1.0,-1.760843429205586,-1.7828539720706558,-1.4143161009895497,0.0
2020-06-08,-1.7614923998157532,-1.510824504836481,1.0,-1.7608475356978353,-1.776600644864118,-1.402487333026255,0.0
2020-06-09,-1.7610896374010674,-1.5076385054297807,1.0,-1.7604454260997604,-1.7750782256580158,-1.3987667955089267,0.0
2020-06-10,-1.7622596375011501,-1.5054742846628024,1.0,-1.7620756279326526,-1.7746802833747357,-1.3958965866225044,0.0
2020-06-11,-1.7625310401912997,-1.503264968270027,1.0,-1.7632668076887705,-1.773935436402097,-1.3940954658327969,0.0
2020-06-12,-1.7363390441839497,-1.448512173128945,1.0,-1.7477908025247972,-1.7446348061316503,-1.3397655545536518,0.0
2020-06-15,-1.736529104343125,-1.4446747161650748,1.0,-1.7490538835826277,-1.744458460983961,-1.3359163813299695,0.0
2020-06-16,-1.7372308801008918,-1.440320691829565,1.0,-1.7478605531033242,-1.7456985857129987,-1.3370867489415368,0.0
2020-06-17,-1.7336209220814236,-1.4344387525838052,1.0,-1.7446751145861419,-1.742428327491687,-1.3320751325604385,0.0
2020-06-18,-1.733758648575793,-1.4331925599784348,1.0,-1.745080420522958,-1.7421151945367956,-1.3313864677868632,0.0
2020-06-19,-1.7342921348314606,-1.4337078651685393,1.0,-1.7457078651685392,-1.742741573033708,-1.3322247191011236,0.0
2020-06-22,-1.7406238730616659,-1.4368012982329608,1.0,-1.755679769203029,-1.7481968986657048,-1.334204832311576,0.0
2020-06-23,-1.7397025687246508,-1.4356917530419107,1.0,-1.7551149166291122,-1.7479044614691304,-1.3346552501126634,0.0
2020-06-24,-1.7411181244364293,-1.4360685302073941,1.0,-1.7562669071235348,-1.7492335437330928,-1.3344454463480615,0.0
