Date,EPZM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.3259062776304156,-2.4602122015915118,-0.47055702917771886,-1.8402298850574712,-1.7448275862068963,0.0
2018-09-25,1.0,-1.330151153540175,-2.456024043136215,-0.4775921506231769,-1.8366481039512066,-1.738972863077875,0.0
2018-09-26,1.0,-1.3334512961160752,-2.4603202689551447,-0.48279217906750416,-1.8371228877289214,-1.733610545872777,0.0
2018-09-27,1.0,-1.3343934976588039,-2.45021645021645,-0.4842300556586271,-1.8348794063079779,-1.7310716494389964,0.0
2018-09-28,1.0,-1.3326267443914501,-2.450185479597244,-0.48524995583819114,-1.8338632750397457,-1.730436318671613,0.0
2018-10-01,1.0,-1.3355508249068653,-2.465584530778783,-0.48829164449175094,-1.8410502040092247,-1.7395777896043993,0.0
2018-10-02,1.0,-1.3358162631905648,-2.460228784251131,-0.4908220271348763,-1.8409151370045227,-1.7398244213886673,0.0
2018-10-03,1.0,-1.3460405320953486,-2.494955807517186,-0.4945094188018927,-1.849477725203107,-1.742701544504955,0.0
2018-10-04,1.0,-1.3670795189373541,-2.48860168730928,-0.49856399210195657,-1.8785675821217016,-1.742146831807575,0.0
2018-10-05,1.0,-1.336342509831963,-2.474705041115481,-0.46281730425455847,-1.898105112620665,-1.766088666428316,0.0
2018-10-08,1.0,-1.32947359045159,-2.4643270686737333,-0.4536385499242897,-1.898993497817761,-1.7606662510020488,0.0
2018-10-09,1.0,-1.3274906099087818,-2.4769272044357002,-0.435521373636201,-1.9184403505634053,-1.784475049186192,0.0
2018-10-10,1.0,-1.3385678391959799,-2.480796841349605,-0.44382627422828425,-1.9294687724335966,-1.7807788944723617,0.0
2018-10-11,1.0,-1.2179691653375864,-2.5559985823143716,-0.22496898812688285,-1.9610136452241713,-1.9005847953216373,0.0
2018-10-12,1.0,-1.22958961401063,-2.535157271063867,-0.20397316371874183,-1.907554238912608,-1.8368040428683454,0.0
2018-10-15,1.0,-1.1919569182663077,-2.594024146616868,-0.14800660123338835,-1.9068010075566753,-1.8450447320420396,0.0
2018-10-16,1.0,-1.1891117478510027,-2.602066510375966,-0.1413562559694365,-1.9061387514109578,-1.844143440131979,0.0
2018-10-17,1.0,-1.143514965464313,-2.5071203206276116,-0.08604076063784429,-1.9096103010147523,-1.8809584719024472,0.0
2018-10-18,1.0,-1.1551931330472103,-2.5338197424892703,-0.07888412017167382,-1.9199141630901286,-1.8959656652360513,0.0
2018-10-19,1.0,-1.126708817498291,-2.519395078605605,-0.03793574846206425,-1.9463431305536567,-1.9137047163362952,0.0
2018-10-22,1.0,-1.131374391389767,-2.5051678482958915,-0.025540275049115914,-1.9568634150508244,-1.9230374989322627,0.0
2018-10-23,1.0,-1.1330070410441355,-2.521552464365447,-0.012708226000343466,-1.9784475356345528,-1.9409239223767818,0.0
2018-10-24,1.0,-1.1382190837065105,-2.520151567344127,-0.0,-1.993627282121943,-1.9598691009300724,0.0
2018-10-25,1.0,-1.0218650567022927,-2.3555519295096676,-0.0,-1.946153218568981,-1.835033042343151,0.0
2018-10-26,1.0,-0.9882975312600193,-2.307630650849631,-0.0,-1.921930105803142,-1.7974511061237577,0.0
2018-10-29,1.0,-0.9341243862520459,-2.4177577741407528,-0.0,-1.94860883797054,-1.8828150572831424,0.0
2018-10-30,1.0,-0.9469970462750246,-2.4245159172957007,-0.0,-1.9542993107975057,-1.8788972760091893,0.0
2018-10-31,1.0,-0.9629720451201569,-2.3742030407062282,-0.0,-1.9615007356547325,-1.875183913683178,0.0
2018-11-01,1.0,-0.9077442185828326,-2.447041395769895,-0.0,-1.978684881902724,-1.896304830878117,0.0
2018-11-02,1.0,-0.908994708994709,-2.3818477818477817,-0.0,-1.9761497761497762,-1.873015873015873,0.0
2018-11-05,1.0,-0.9180502167334588,-2.377034431994766,-0.0,-1.9870777786865135,-1.8964586570704178,0.0
2018-11-06,1.0,-0.9287350679103257,-2.38659793814433,-0.0,-1.9807723776795942,-1.8857797414498445,0.0
2018-11-07,1.0,-0.9282845668387838,-2.3944758626342106,-0.0,-1.9827882960413081,-1.890500778624703,0.0
2018-11-08,1.0,-0.8613285979497942,-2.3804988296069096,-0.0,-1.9456776172411008,-1.8841714424085882,0.0
2018-11-09,1.0,-0.8613509805503995,-2.3797917843596155,-0.0,-1.9456056815430554,-1.8836252118473085,0.0
2018-11-12,1.0,-0.8599002734437832,-2.337622647579218,-0.0,-1.965739102460994,-1.8792021875502654,0.0
2018-11-13,1.0,-0.795108005082592,-2.3225063532401524,-0.0,-1.9607687420584499,-1.863087674714104,0.0
2018-11-14,1.0,-0.7989666136724961,-2.322575516693164,-0.0,-1.9635930047694754,-1.8639904610492848,0.0
2018-11-15,1.0,-0.7943042995399016,-2.3210376011423133,-0.0,-1.9626368396001903,-1.8546723782325876,0.0
2018-11-16,1.0,-0.7863288341621281,-2.2994711500513065,-0.0,-1.9528771015865498,-1.8546057305233248,0.0
2018-11-19,1.0,-0.7800111225867958,-2.319138793993803,-0.0,-1.9743386033208865,-1.8711368872646381,0.0
2018-11-20,1.0,-0.701948766305202,-2.2940436900832935,-0.0,-1.9686468646864683,-1.8933679082193933,0.0
2018-11-21,1.0,-0.7057089668011169,-2.271718895439032,-0.0,-1.9521408625504189,-1.827257213775985,0.0
