Date,ATNI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5749593103864006,-1.8721441919344144,-0.0,-1.242811501597444,-1.3381156187835312,0.0
2018-09-25,1.0,-0.57889029459606,-1.8696307006446171,-0.0,-1.2411591059702392,-1.33477920356648,0.0
2018-09-26,1.0,-0.5784018319874653,-1.8695914185850309,-0.0,-1.2417138724840304,-1.3365674340122935,0.0
2018-09-27,1.0,-0.5797171230815529,-1.8633764670478483,-0.0,-1.2404453806801083,-1.3351790550707194,0.0
2018-09-28,1.0,-0.5962729148962,-1.8726478086682044,-0.0,-1.254218768969285,-1.3470316862935534,0.0
2018-10-01,1.0,-0.5965029445692429,-1.8732317406350556,-0.0,-1.25426507194463,-1.3472770323599053,0.0
2018-10-02,1.0,-0.5984151173422737,-1.8965559280707103,-0.0,-1.2542517525144772,-1.3464797317890886,0.0
2018-10-03,1.0,-0.5982066609735269,-1.8814200317189216,-0.0,-1.2617421007685738,-1.358423813590338,0.0
2018-10-04,1.0,-0.6125773069622191,-1.87428816361521,-0.0,-1.280448227297777,-1.3559488090135325,0.0
2018-10-05,1.0,-0.5755924315718571,-1.8659604433286388,-0.0,-1.2995529973669706,-1.3822178678586736,0.0
2018-10-08,1.0,-0.5690530048297365,-1.85932628232561,-0.0,-1.304640215198386,-1.3805098734486765,0.0
2018-10-09,1.0,-0.5644569471624266,-1.859772504892368,-0.0,-1.3068126223091976,-1.384417808219178,0.0
2018-10-10,1.0,-0.5687534422617955,-1.8596169145095158,-0.0,-1.3105685086592007,-1.3806376598739367,0.0
2018-10-11,1.0,-0.4025958702064896,-1.8445427728613568,-0.0,-1.2558702064896754,-1.3966961651917404,0.0
2018-10-12,1.0,-0.39119141075963976,-1.8202493650427154,-0.0,-1.2105172015700763,-1.3504386977603324,0.0
2018-10-15,1.0,-0.3539416226154907,-1.845322914272581,-0.0,-1.199321994943691,-1.3472190301080211,0.0
2018-10-16,1.0,-0.34511998154130136,-1.8727503461006,-0.0,-1.2014305491462853,-1.3491001384402401,0.0
2018-10-17,1.0,-0.2976021767473499,-1.7997279065812595,-0.0,-1.1976078453602403,-1.3736749617368629,0.0
2018-10-18,1.0,-0.2965673758865248,-1.7981843971631206,-0.0,-1.2030638297872343,-1.375886524822695,0.0
2018-10-19,1.0,-0.2586738411524017,-1.7753489154195392,-0.0,-1.1994282831679839,-1.3715598901406871,0.0
2018-10-22,1.0,-0.2608329118192548,-1.7605800033721124,-0.0,-1.213904344405103,-1.3848142527960434,0.0
2018-10-23,1.0,-0.26417214450250015,-1.7602674307545365,-0.0,-1.2109107253216471,-1.3829428619585369,0.0
2018-10-24,1.0,-0.2584408300616938,-1.7549074593381944,-0.0,-1.2103196859226024,-1.3848569826135728,0.0
2018-10-25,1.0,-0.18090720110868289,-1.6507648846010339,-0.0,-1.1888492084643676,-1.3096316827461223,0.0
2018-10-26,1.0,-0.2636623507650916,-1.7206995123591724,-0.0,-1.2463987444649964,-1.3743063729611567,0.0
