Date,IWF,IWM,MTUM,SPY,TMDX,VLUE,VXX
2019-12-30,-0.5296085647373703,-1.123787219805955,-3.8429798148767707,-3.229285156685625,1.0,-1.4264525482324077,0.0
2019-12-31,-0.49771077610273584,-1.1505304299274148,-3.864991624790619,-3.2367392518146283,1.0,-1.4169737576772752,0.0
2020-01-02,-0.49782293178519593,-1.150831751702579,-3.864128614491459,-3.236016523389528,1.0,-1.4157642067656582,0.0
2020-01-03,-0.43092691622103385,-1.1906194295900179,-3.900958110516934,-3.205325311942959,1.0,-1.4129901960784312,0.0
2020-01-06,-0.3872832369942197,-1.2077590040017785,-3.944753223654958,-3.1960871498443755,1.0,-1.380057803468208,0.0
2020-01-07,-0.3466216216216216,-1.2210585585585585,-4.032995495495495,-3.2216216216216216,1.0,-1.438963963963964,0.0
2020-01-08,-0.3487769135384962,-1.2122646826738812,-4.036298049825273,-3.214068312478864,1.0,-1.4612783226242814,0.0
2020-01-09,-0.32385786802030453,-1.219627749576988,-4.044670050761421,-3.2122955442752397,1.0,-1.4797518330513253,0.0
2020-01-10,-0.3060053981106613,-1.2339181286549707,-4.02204228520018,-3.1918578497525867,1.0,-1.4922402159244266,0.0
2020-01-13,-0.31321055025011374,-1.242837653478854,-4.0923146884947705,-3.2220327421555255,1.0,-1.4982946793997272,0.0
2020-01-14,-0.2981106460006788,-1.2318135535694084,-4.060979748840366,-3.2072632650752353,1.0,-1.5152166534675868,0.0
2020-01-15,-0.2838358648832464,-1.2466560870550893,-4.069145318521877,-3.2047154840172296,1.0,-1.530832010881886,0.0
2020-01-16,-0.2905982905982906,-1.2180056980056981,-4.053105413105413,-3.237150997150997,1.0,-1.5971509971509972,0.0
2020-01-17,-0.28535811423390756,-1.1775838621940165,-4.0366047144152315,-3.2268812330009067,1.0,-1.6061876699909339,0.0
2020-01-21,-0.2867830423940149,-1.1769440036272953,-4.037519836771707,-3.227272727272727,1.0,-1.6066651552935842,0.0
2020-01-22,-0.28756682971220565,-1.1587987714708223,-4.083153224889091,-3.2350130815606866,1.0,-1.6108520077351838,0.0
2020-01-23,-0.29250457038391225,-1.1761882998171846,-4.096663619744059,-3.2688528336380256,1.0,-1.5917504570383911,0.0
2020-01-24,-0.29576659038901604,-1.1751716247139588,-4.103089244851258,-3.273112128146453,1.0,-1.5945080091533181,0.0
2020-01-27,-0.2463470319634703,-1.1302511415525114,-4.154908675799087,-3.260159817351598,1.0,-1.6238584474885844,0.0
2020-01-28,-0.1136184136296965,-1.2173079092857948,-4.249464064086653,-3.207491819925533,1.0,-1.4949791267065329,0.0
2020-01-29,-0.06804932735426009,-1.2260089686098654,-4.249887892376681,-3.184080717488789,1.0,-1.4827354260089685,0.0
2020-01-30,-0.04927992799279928,-1.2298604860486049,-4.277452745274528,-3.191269126912691,1.0,-1.5033753375337533,0.0
2020-01-31,-0.0832667959393179,-1.2596099007642296,-4.294969773012433,-3.233831413254249,1.0,-1.534732519676058,0.0
2020-02-03,-0.053312513941557,-1.1903859022975687,-4.230537586437653,-3.1738790988177557,1.0,-1.5050189605175106,0.0
2020-02-04,-0.014980026631158456,-1.1543497558810474,-4.211717709720372,-3.1784287616511313,1.0,-1.5368397691966267,0.0
2020-02-05,-0.0,-1.1786073544204763,-4.306471442941768,-3.201855370515257,1.0,-1.4898848776126077,0.0
2020-02-06,-0.0,-1.1676673337780743,-4.343562374916611,-3.173337780742717,1.0,-1.433844785412497,0.0
2020-02-07,-0.0,-1.1922648238965672,-4.344181899242087,-3.173651359786001,1.0,-1.435911725367811,0.0
2020-02-10,-0.0,-1.1484784304982723,-4.3646193289488355,-3.195073013042024,1.0,-1.4388585441979713,0.0
2020-02-11,-0.0,-1.1428571428571428,-4.3241715615648895,-3.171339909121135,1.0,-1.444419816025712,0.0
2020-02-12,-0.0,-1.1419233325947262,-4.32284511411478,-3.171836915577221,1.0,-1.4424994460447595,0.0
2020-02-13,-0.0,-1.1380378276739298,-4.323636765844486,-3.164472956531357,1.0,-1.4345758212587103,0.0
2020-02-14,-0.0,-1.1368211481030859,-4.323636765844486,-3.1655790288684877,1.0,-1.4347970357261364,0.0
2020-02-18,-0.0,-1.1386707950901251,-4.317593718898596,-3.1623355081278337,1.0,-1.4396770983080838,0.0
2020-02-19,-0.0,-1.1572396932992555,-4.351594621624625,-3.1832425825091675,1.0,-1.420380042226914,0.0
2020-02-20,-0.0,-1.155878760963695,-4.349839014100144,-3.178083712667925,1.0,-1.4187853891417785,0.0
2020-02-21,-0.0,-1.1466726018250613,-4.36868462052081,-3.194079679501447,1.0,-1.418985087914534,0.0
2020-02-24,-0.0,-1.129146005509642,-4.337741046831956,-3.153498622589532,1.0,-1.3988980716253445,0.0
2020-02-25,-0.0,-1.2054402290622763,-4.060026587585643,-2.7244094488188977,1.0,-1.2360159525513856,0.0
2020-02-26,-0.0,-1.0873426368693275,-3.9357860837318235,-2.654240265443544,1.0,-1.0814872645652385,0.0
2020-02-27,-0.0,-1.0679120451449697,-3.9171044950379454,-2.6798988129986383,1.0,-1.064604008561977,0.0
2020-02-28,-0.0,-1.2695333452529949,-3.482031110316467,-2.2402109780082244,1.0,-0.9480600750938674,0.0
2020-03-02,-0.0,-1.2147943742211147,-3.4630585721915614,-2.2692718533024747,1.0,-0.9544240697881431,0.0
2020-03-03,-0.0,-1.5792791193181817,-3.2076526988636362,-2.187766335227273,1.0,-0.9031427556818181,0.0
2020-03-04,-0.0,-1.7912176724137931,-3.4099317528735633,-2.0607040229885056,1.0,-0.7180316091954023,0.0
2020-03-05,-0.0,-1.9803100125680773,-3.0012568077084207,-1.8138248847926268,1.0,-0.5833263510682866,0.0
