Date,IWF,IWM,MTUM,MYGN,SPY,VLUE,VXX
2018-09-24,-0.9550512074851436,-1.775445694778101,-0.3100265520293337,1.0,-1.2720318624352005,-1.0093564293842459,0.0
2018-09-25,-0.9618402733831161,-1.773383116061258,-0.31888368560941655,1.0,-1.2700291102392103,-1.0042399696240982,0.0
2018-09-26,-0.9616407140144322,-1.7735156348904924,-0.31750854538549184,1.0,-1.270857070515255,-1.0063932143309278,0.0
2018-09-27,-0.9626983625213377,-1.766011253714358,-0.3192767275716002,1.0,-1.2693936903331857,-1.004931402920908,0.0
2018-09-28,-0.961630847029077,-1.765929203539823,-0.3199747155499368,1.0,-1.2687737041719342,-1.004740834386852,0.0
2018-10-01,-0.9635133426078158,-1.76444922220817,-0.32009611736436067,1.0,-1.2702036170481852,-1.005248513974959,0.0
2018-10-02,-0.9644283812060112,-1.7858093969944837,-0.3160864878574599,1.0,-1.2696087756007863,-1.0048189715300235,0.0
2018-10-03,-0.9633196072220463,-1.7740893253088377,-0.3148558758314856,1.0,-1.2722838137472285,-1.0105796642382008,0.0
2018-10-04,-0.9631061806656102,-1.776038034865293,-0.315689381933439,1.0,-1.271822503961965,-1.0125515055467513,0.0
2018-10-05,-0.9421560587901343,-1.7662902920582852,-0.2912382514350596,1.0,-1.283794865325175,-1.0245379423452974,0.0
2018-10-08,-0.9380503144654089,-1.759496855345912,-0.28572327044025153,1.0,-1.2850943396226415,-1.0210062893081762,0.0
2018-10-09,-0.9424251968503936,-1.7626456692913386,-0.2920314960629921,1.0,-1.2842834645669292,-1.0178267716535434,0.0
2018-10-10,-0.9448258487119734,-1.7607230585123137,-0.2944510927757133,1.0,-1.2856333060401839,-1.0128487749574857,0.0
2018-10-11,-0.8686868686868686,-1.8840301751694157,-0.1068277713847334,1.0,-1.3652346247282956,-1.1682649277585988,0.0
2018-10-12,-0.876372764355193,-1.8658299341073108,-0.09388139315971133,1.0,-1.323438970818952,-1.1159711327267021,0.0
2018-10-15,-0.844777805674115,-1.9303916645744414,-0.04243032889781572,1.0,-1.3295882500627667,-1.129425056490083,0.0
2018-10-16,-0.8420590081607031,-1.9415568110483366,-0.03427495291902071,1.0,-1.3300062774639045,-1.1295668549905837,0.0
2018-10-17,-0.806086211119275,-1.8621724222385503,-0.004959588537839824,1.0,-1.3147807984325253,-1.134888562331619,0.0
2018-10-18,-0.8075862491574238,-1.8656167657331943,-0.0034928610821741528,1.0,-1.3149702800416692,-1.1361603039401924,0.0
2018-10-19,-0.7755487804878048,-1.8503048780487803,-0.0,1.0,-1.3295731707317073,-1.1420731707317073,0.0
2018-10-22,-0.7754219216474746,-1.8395174556753795,-0.0,1.0,-1.3326022055687565,-1.1451897885822213,0.0
2018-10-23,-0.7754356037528939,-1.8394053856463994,-0.0,1.0,-1.3324600950408187,-1.1451200194955524,0.0
2018-10-24,-0.7716875532303199,-1.833678063024699,-0.0,1.0,-1.3322788660420977,-1.145759824796204,0.0
2018-10-25,-0.6943083741544204,-1.7328551434569632,-0.0,1.0,-1.3335665966876604,-1.0709120597154187,0.0
2018-10-26,-0.6579900017238408,-1.7017755559386312,-0.0,1.0,-1.3370108601965178,-1.0494167672240418,0.0
2018-10-29,-0.6098701298701299,-1.7494372294372298,-0.0,1.0,-1.3312554112554114,-1.0815007215007217,0.0
2018-10-30,-0.6198022092418021,-1.7523567173674164,-0.0,1.0,-1.3338731131802672,-1.077323463073275,0.0
2018-10-31,-0.6200287769784173,-1.7384172661870505,-0.0,1.0,-1.326791366906475,-1.0701007194244605,0.0
2018-11-01,-0.5834964873891512,-1.7719106299666012,-0.0,1.0,-1.3285154900380052,-1.0744558332373604,0.0
2018-11-02,-0.6925669231258346,-1.8220258154765692,-0.0,1.0,-1.592865772238825,-1.2509696699942774,0.0
2018-11-05,-0.6933155250270304,-1.8211537238440498,-0.0,1.0,-1.5932074031673344,-1.2524327418431598,0.0
2018-11-06,-0.6998982706002034,-1.8258519837232958,-0.0,1.0,-1.5877416073245167,-1.2445956256358088,0.0
2018-11-07,-0.704951768488746,-1.8531189710610934,-0.0,1.0,-1.6064951768488747,-1.2663665594855307,0.0
2018-11-08,-0.6484760119419566,-2.0602652225230855,-0.0,1.0,-1.7572033604110255,-1.4771228216343817,0.0
2018-11-09,-0.6572966925389833,-2.0750297182015247,-0.0,1.0,-1.768547654010209,-1.4916439409831481,0.0
2018-11-12,-0.6539503856577027,-2.0337016190674726,-0.0,1.0,-1.779306511013828,-1.4817594329789452,0.0
2018-11-13,-0.5978684156589466,-2.0112728018036483,-0.0,1.0,-1.7668921227027397,-1.4559677529548405,0.0
2018-11-14,-0.6010394583874717,-2.0113519797579156,-0.0,1.0,-1.7693359775695823,-1.4568146071257608,0.0
2018-11-15,-0.5978453566071185,-2.0096822582844673,-0.0,1.0,-1.7702850129551344,-1.4407473066957588,0.0
2018-11-16,-0.5952461799660442,-1.9961290322580647,-0.0,1.0,-1.7618336162988115,-1.4379626485568762,0.0
2018-11-19,-0.594308225225837,-1.9968077158187867,-0.0,1.0,-1.7626842355498198,-1.4382938259865516,0.0
2018-11-20,-0.4770334928229665,-2.0066302118933694,-0.0,1.0,-1.814354066985646,-1.5372522214627475,0.0
