Date,CDLX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-10-10,1.0,-2.3856353591160215,-4.352959747434886,-0.43488555643251775,-4.0650355169692185,-3.5468034727703235,0.0
2018-10-11,1.0,-2.073711184805547,-4.317757009345795,-0.08652396744045826,-3.9339764847753997,-3.662194754296051,0.0
2018-10-12,1.0,-2.090829821246912,-4.201278883883157,-0.07033861357360849,-3.7318703676791167,-3.4385990408370875,0.0
2018-10-15,1.0,-1.9777940102264429,-4.396785975164354,-0.0,-3.749598246895544,-3.485171658144631,0.0
2018-10-16,1.0,-1.9579562043795617,-4.424087591240875,-0.0,-3.7402919708029194,-3.4762043795620436,0.0
2018-10-17,1.0,-1.7851436580238265,-4.139313244569026,-0.0,-3.6385423966363004,-3.452417659425368,0.0
2018-10-18,1.0,-1.7822433832796527,-4.131914297717406,-0.0,-3.6396863184427946,-3.44993698361574,0.0
2018-10-19,1.0,-1.6815172413793105,-4.044275862068966,-0.0,-3.636689655172414,-3.4306206896551728,0.0
2018-10-22,1.0,-1.6809976574342016,-4.007165495383767,-0.0,-3.6491663221716966,-3.4424693399476367,0.0
2018-10-23,1.0,-1.6861153158112014,-4.0022017338654186,-0.0,-3.638227604238338,-3.4341543965873127,0.0
2018-10-24,1.0,-1.6746673981621176,-3.9743519407488686,-0.0,-3.6324235358661365,-3.4340968317103275,0.0
2018-10-25,1.0,-1.4086275484833415,-3.5496021879661863,-0.0,-3.4319990054699154,-3.0415216310293385,0.0
2018-10-26,1.0,-1.2973530840213696,-3.46369596891695,-0.0,-3.421685284118504,-2.958960660514813,0.0
2018-10-29,1.0,-1.1865391599080013,-3.5328652705483594,-0.0,-3.3823992252753903,-3.00338942016705,0.0
2018-10-30,1.0,-1.1442226255293406,-3.533575317604355,-0.0,-3.3834240774349666,-3.037991530550514,0.0
2018-10-31,1.0,-1.1443837568273567,-3.41462835431014,-0.0,-3.3373308002849678,-2.977321301353597,0.0
2018-11-01,1.0,-1.1073118788452438,-3.4247515380974916,-0.0,-3.331755797444392,-2.967818267865594,0.0
2018-11-02,1.0,-1.1496389250621522,-3.29608144903516,-0.0,-3.4188469279033975,-2.9739552503847517,0.0
2018-11-05,1.0,-1.130712763438314,-3.3515273502249587,-0.0,-3.424579682690031,-2.9332228273739047,0.0
2018-11-06,1.0,-1.1786999280402977,-3.4263612377068844,-0.0,-3.450587670904294,-2.9375149916047016,0.0
2018-11-07,1.0,-1.1767743485048636,-3.4364116728713827,-0.0,-3.45214362915816,-2.9437972859373125,0.0
2018-11-08,1.0,-1.0283232178983697,-3.4674521004403194,-0.0,-3.416874925621802,-2.9878614780435564,0.0
2018-11-09,1.0,-1.029996428996548,-3.4678014522080702,-0.0,-3.416855136293299,-2.988691822402095,0.0
2018-11-12,1.0,-1.0296348980559507,-3.3851351351351346,-0.0,-3.460052157420578,-2.9790184921763867,0.0
