Date,IWF,IWM,MTUM,PHR,SPY,VLUE,VXX
2020-03-16,-0.30084458185657187,-1.0029409546791344,-0.9394842017947365,1.0,-0.5271472739612396,-0.0,0.0
2020-03-17,-0.3896596902610273,-0.7146168575939799,-0.6388282326065777,1.0,-0.595290086337219,-0.020996405415392886,0.0
2020-03-18,-0.3730941998098299,-0.7332371553165677,-0.560608544542444,1.0,-0.5831338732417457,-0.028689465228368148,0.0
2020-03-19,-0.3690487828722261,-0.7297878580506404,-0.5576302668882589,1.0,-0.5856877505132467,-0.016554241209632746,0.0
2020-03-20,-0.3751288788372635,-0.8461436125985301,-0.523796853693418,1.0,-0.5808361326371104,-0.0,0.0
2020-03-23,-0.39483332772713514,-0.9707356453294763,-0.4107100810656262,1.0,-0.5874062363348919,-0.0,0.0
2020-03-24,-0.39925813522171644,-0.9612207047715395,-0.4211431461810825,1.0,-0.5904906423874557,-0.0,0.0
2020-03-25,-0.43504966021955044,-0.9532148457919498,-0.26597621536853105,1.0,-0.6128789858860428,-0.0,0.0
2020-03-26,-0.4455067545519807,-0.9530770736800888,-0.25383410559289954,1.0,-0.6106506558767865,-0.0,0.0
2020-03-27,-0.44252219440018215,-0.9532698123638256,-0.2476342232772918,1.0,-0.6085005365679165,-0.0,0.0
2020-03-30,-0.4486777668952007,-0.9666666666666667,-0.2347371857655893,1.0,-0.6146914789422135,-0.0,0.0
2020-03-31,-0.4572920429542544,-0.9638107122918786,-0.2389740895208696,1.0,-0.6239203967028997,-0.0,0.0
2020-04-01,-0.4658754684726149,-0.9873430205799197,-0.20517456769018344,1.0,-0.6291669406272602,-0.0,0.0
2020-04-02,-0.46902050113895216,-0.9625772860397006,-0.19144158802473152,1.0,-0.6311422063130492,-0.0,0.0
2020-04-03,-0.4659907055344318,-0.9742939780962595,-0.1943713236488902,1.0,-0.6151246303337559,-0.0,0.0
2020-04-06,-0.46701084486005595,-0.9684070394181442,-0.19504513280083124,1.0,-0.6164686018572635,-0.0,0.0
2020-04-07,-0.4432292829129866,-0.9240506329113923,-0.18263558970761723,1.0,-0.6385549851736122,-0.0,0.0
2020-04-08,-0.4471269145908611,-0.9191954721325104,-0.19419307389761134,1.0,-0.6370990950660314,-0.0,0.0
2020-04-09,-0.4531831631192136,-0.889981228723235,-0.20514778403487002,1.0,-0.6332601571696733,-0.0,0.0
2020-04-13,-0.4405112762685802,-0.932662737057919,-0.19618144541260893,1.0,-0.6341299333675038,-0.0,0.0
2020-04-14,-0.450402747023523,-0.9082506979878694,-0.2174192099098232,1.0,-0.6330348833477745,-0.0,0.0
2020-04-15,-0.4264588456993197,-0.9325752978376826,-0.19591810661471143,1.0,-0.6390175348941199,-0.0,0.0
2020-04-16,-0.44705318639195013,-0.8962785497524357,-0.21165947931640314,1.0,-0.6394186232231273,-0.0,0.0
2020-04-17,-0.44553032480597876,-0.899108939350388,-0.209223595541503,1.0,-0.6399029095206158,-0.0,0.0
2020-04-20,-0.4400847675314667,-0.9181864885692268,-0.20357051117390187,1.0,-0.6490495761623426,-0.0,0.0
