Date,CLW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.816508451030331,-3.0833526279231305,-0.7992590877517944,-2.4402639499884233,-2.43736976151887,0.0
2018-09-25,1.0,-1.8160148113862533,-3.0821569081231197,-0.7986577181208053,-2.4389030317056237,-2.4356630409627402,0.0
2018-09-26,1.0,-1.816276915952767,-3.083815698078259,-0.797059504514934,-2.4407270201435516,-2.4387589719842553,0.0
2018-09-27,1.0,-1.8192854665279223,-3.0679847381200136,-0.7998612556364898,-2.43877904960111,-2.436004162330905,0.0
2018-09-28,1.0,-1.8172453703703704,-3.0752314814814814,-0.8015046296296297,-2.4413194444444444,-2.4388888888888887,0.0
2018-10-01,1.0,-1.817824074074074,-3.074074074074074,-0.8020833333333333,-2.4414351851851848,-2.4386574074074074,0.0
2018-10-02,1.0,-1.8177294294641821,-3.0732554102534433,-0.8026848744358293,-2.4409211896771206,-2.438143733364194,0.0
2018-10-03,1.0,-1.8195297115718752,-3.057685624927603,-0.8020386887524614,-2.4510598864821036,-2.4532607436580562,0.0
2018-10-04,1.0,-1.8196114708603144,-3.0457909343200744,-0.8022664199814986,-2.4501618871415354,-2.4454209065679926,0.0
2018-10-05,1.0,-1.78074804956402,-3.0216842588343273,-0.7579164754474529,-2.455484167049105,-2.4572051399724644,0.0
2018-10-08,1.0,-1.768519575390937,-3.004451546627098,-0.7438648556100903,-2.4508617737701175,-2.4465243693642282,0.0
2018-10-09,1.0,-1.7656392694063927,-3.0060502283105026,-0.7361872146118722,-2.4550228310502282,-2.452625570776256,0.0
2018-10-10,1.0,-1.765229295003422,-3.0037645448323063,-0.7354551676933607,-2.4543691535477983,-2.448893451973534,0.0
2018-10-11,1.0,-1.5790273556231005,-2.9668910117238387,-0.4776378636561007,-2.380047763786366,-2.451801997394703,0.0
2018-10-12,1.0,-1.5566127497621316,-2.9134157944814465,-0.4328153081721112,-2.3019346653980337,-2.3671635479437576,0.0
2018-10-15,1.0,-1.5135135135135134,-2.992081925675676,-0.36169763513513514,-2.305954391891892,-2.3841849662162162,0.0
2018-10-16,1.0,-1.5104133629347711,-3.016175071360609,-0.34823977164605135,-2.309440744264722,-2.3875673961306694,0.0
2018-10-17,1.0,-1.4377049180327868,-2.887295081967213,-0.27950819672131144,-2.2675204918032787,-2.373872950819672,0.0
2018-10-18,1.0,-1.436372950819672,-2.884733606557377,-0.28063524590163935,-2.2698770491803275,-2.374282786885246,0.0
2018-10-19,1.0,-1.4018083917504824,-2.862541907954892,-0.23448135730976327,-2.2803007213247994,-2.3804734328964745,0.0
2018-10-22,1.0,-1.41238793806031,-2.8529951100244504,-0.2187245313773431,-2.3023634881825594,-2.401079869600652,0.0
2018-10-23,1.0,-1.4135437881873727,-2.8513238289205707,-0.22250509164969454,-2.2980651731160897,-2.39786150712831,0.0
2018-10-24,1.0,-1.4122503057480635,-2.860375050958011,-0.2119853240929474,-2.303607827150428,-2.4032816958825927,0.0
2018-10-25,1.0,-1.274423500143527,-2.6691225720026788,-0.13826428093005452,-2.2305999425892256,-2.2559563678116925,0.0
2018-10-26,1.0,-1.2359380898452246,-2.6366553416383542,-0.08597583993959985,-2.2432993582483958,-2.23565496413741,0.0
2018-10-29,1.0,-1.1942862477826535,-2.6449444496312204,-0.043693399309121465,-2.2175333769022503,-2.2357389599477173,0.0
2018-10-30,1.0,-1.1825300643236691,-2.6435163605854384,-0.03533140673067959,-2.2167427985457255,-2.2442434977160435,0.0
2018-10-31,1.0,-1.1709778022381214,-2.577875619152449,-0.029719317556411665,-2.1856540084388185,-2.2083104017611443,0.0
2018-11-01,1.0,-1.1446212952799122,-2.605927552140505,-0.0,-2.1859678009513352,-2.210848884010245,0.0
2018-11-02,1.0,-1.1344454463480613,-2.5368800721370603,-0.0,-2.168259693417493,-2.177457168620379,0.0
2018-11-05,1.0,-1.133527114179308,-2.592061040966482,-0.0,-2.188209646652739,-2.169588518484876,0.0
2018-11-06,1.0,-1.1466035330540885,-2.6079949007466765,-0.0,-2.187397559643052,-2.163813513021308,0.0
2018-11-07,1.0,-1.1424415962185255,-2.6053086083083357,-0.0,-2.1822561585310427,-2.160076356694846,0.0
2018-11-08,1.0,-1.0706980880391286,-2.56754112939084,-0.0,-2.1267229879946643,-2.127879057358826,0.0
2018-11-09,1.0,-1.0740509713063624,-2.5730707538763142,-0.0,-2.1309035822491533,-2.1330422384601677,0.0
2018-11-12,1.0,-1.0636435958631665,-2.530893662158579,-0.0,-2.1285247060903387,-2.1164147440997083,0.0
2018-11-13,1.0,-0.9998244536118669,-2.5292723602211886,-0.0,-2.1350829456683926,-2.1131396471517596,0.0
2018-11-14,1.0,-1.0019315188762072,-2.5286215978928883,-0.0,-2.135996488147498,-2.113169446883231,0.0
2018-11-15,1.0,-1.0009655898876406,-2.5339712078651684,-0.0,-2.1438728932584272,-2.0992801966292136,0.0
2018-11-16,1.0,-0.989010030527693,-2.5071958133449628,-0.0,-2.1304840819886612,-2.095508068033144,0.0
2018-11-19,1.0,-0.9872555865921788,-2.5103875698324023,-0.0,-2.1334671787709496,-2.0979399441340782,0.0
2018-11-20,1.0,-0.8920519847935638,-2.5395632570064537,-0.0,-2.19856776589161,-2.2106798691539207,0.0
2018-11-21,1.0,-0.8969569411558361,-2.527492765061826,-0.0,-2.192405507322634,-2.152766815750241,0.0
2018-11-23,1.0,-0.8981700376499431,-2.5028456352333417,-0.0,-2.200507836441642,-2.154277208650731,0.0
2018-11-26,1.0,-0.8957312806158153,-2.5063855843247027,-0.0,-2.1957662701189644,-2.1494926522043385,0.0
2018-11-27,1.0,-0.8739932449987009,-2.4892179786957653,-0.0,-2.1711266995756473,-2.126006755001299,0.0
2018-11-28,1.0,-0.8765485575673568,-2.4837563891535996,-0.0,-2.1745646712293163,-2.128389500129949,0.0
2018-11-29,1.0,-0.7979132814504404,-2.452578465748738,-0.0,-2.1646284101599247,-2.13700504575387,0.0
2018-11-30,1.0,-0.799229781771502,-2.4554557124518617,-0.0,-2.168592212237912,-2.1347026101839965,0.0
2018-12-03,1.0,-0.7938109078474953,-2.455291502820995,-0.0,-2.1668661309625574,-2.1325867669687124,0.0
2018-12-04,1.0,-0.7716260023886709,-2.467582323835523,-0.0,-2.1609793550588634,-2.130865040095547,0.0
2018-12-06,1.0,-0.6991143251807914,-2.295847891443894,-0.0,-2.103762086617372,-2.026814008287966,0.0
2018-12-07,1.0,-0.6956097560975609,-2.2983739837398374,-0.0,-2.1060975609756096,-2.03,0.0
2018-12-10,1.0,-0.6266634791616863,-2.283448880388876,-0.0,-2.078890748266794,-1.9797593433739742,0.0
2018-12-11,1.0,-0.6439527081003354,-2.2834318581243007,-0.0,-2.088752196836555,-1.972359801885285,0.0
2018-12-12,1.0,-0.642897114077864,-2.2856343432728434,-0.0,-2.090015189063874,-1.9756974978015827,0.0
2018-12-13,1.0,-0.6413589600446606,-2.2762580748066035,-0.0,-2.088204801020815,-1.9692160459366777,0.0
2018-12-14,1.0,-0.6456109606499919,-2.2611119961765174,-0.0,-2.09184323721523,-1.9670224629600126,0.0
2018-12-17,1.0,-0.6067424664069333,-2.267154329331319,-0.0,-2.0731493996978614,-2.0039755108531447,0.0
2018-12-18,1.0,-0.5707558276430422,-2.232791774585982,-0.0,-2.0516442979357983,-1.993407110901813,0.0
2018-12-19,1.0,-0.5733124018838304,-2.232182103610675,-0.0,-2.050784929356358,-1.9930141287284144,0.0
