Date,CDXS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0480495807510026,-2.227633977397011,-0.24892453518045934,-1.4234050309879696,-1.343273787823551,0.0
2018-09-25,1.0,-1.0598946906537956,-2.2286821705426356,-0.26173760421237385,-1.4239432499634341,-1.338964458095656,0.0
2018-09-26,1.0,-1.0665297440035209,-2.238905596713856,-0.2696398444949754,-1.427345411868261,-1.3327220714442896,0.0
2018-09-27,1.0,-1.0700314995238445,-2.225038458720973,-0.27309354626034726,-1.4261226283788733,-1.3311112738993482,0.0
2018-09-28,1.0,-1.0943396226415094,-2.330340839926963,-0.2860620815581254,-1.4975654290931222,-1.3996500304321362,0.0
2018-10-01,1.0,-1.098651634036718,-2.3296259617582087,-0.28620400700845583,-1.5015616667936316,-1.401767349737183,0.0
2018-10-02,1.0,-1.0996801705756931,-2.316859579652757,-0.29127322570819375,-1.5032744441060006,-1.403975022844959,0.0
2018-10-03,1.0,-1.0984479610468656,-2.308049300060864,-0.29085514303104076,-1.503956177723676,-1.4066494217894097,0.0
2018-10-04,1.0,-1.0983394271785496,-2.3128427787934185,-0.2918190127970749,-1.5038086532602073,-1.410496648385131,0.0
2018-10-05,1.0,-1.070480236704347,-2.3033912449738256,-0.25855397921250284,-1.52173583187922,-1.4324406342462634,0.0
2018-10-08,1.0,-1.066272816784064,-2.2970536999166855,-0.24857986821177006,-1.5302582746345526,-1.431871544345982,0.0
2018-10-09,1.0,-1.088001224364861,-2.320094888276707,-0.2712733394551577,-1.5395622895622898,-1.4333486378940925,0.0
2018-10-10,1.0,-1.1029570306483905,-2.32904666563992,-0.2803018635453565,-1.5564454027414139,-1.431926690281842,0.0
2018-10-11,1.0,-0.984433788270011,-2.3119881962375506,-0.1279970490593877,-1.5090372556252305,-1.4438952416082627,0.0
2018-10-12,1.0,-0.9827049714161661,-2.2898907301541356,-0.11122367754540849,-1.4620450104927998,-1.3905492437947753,0.0
2018-10-15,1.0,-0.9458363504706735,-2.366763215061549,-0.051556842867487324,-1.4691527878349022,-1.4077480086893555,0.0
2018-10-16,1.0,-0.9466251448435689,-2.364933371958285,-0.05323001158748551,-1.4694380069524913,-1.4080243337195828,0.0
2018-10-17,1.0,-0.9057258121593885,-2.277443555807205,-0.015429258970910893,-1.4572864321608041,-1.4217566706773304,0.0
2018-10-18,1.0,-0.9038611406305349,-2.2748140276301805,-0.01771165426850868,-1.4639744952178533,-1.4242295430393197,0.0
2018-10-19,1.0,-0.8717065973442,-2.2561652497716573,-0.0,-1.4723529825054449,-1.425700836085154,0.0
2018-10-22,1.0,-0.8741386584165377,-2.259738433413022,-0.0,-1.4718745605400083,-1.4256785262269722,0.0
2018-10-23,1.0,-0.8764321360792858,-2.25915512757433,-0.0,-1.4693189006818022,-1.4239825683559428,0.0
2018-10-24,1.0,-0.871771476698484,-2.2544216732172937,-0.0,-1.4681358787198204,-1.4241998877035373,0.0
2018-10-25,1.0,-0.787560257096947,-2.134975897161221,-0.0,-1.4412158543117302,-1.3314140332083557,0.0
2018-10-26,1.0,-0.7486317177711836,-2.098977909660402,-0.0,-1.4408836135839103,-1.3057039235080776,0.0
2018-10-29,1.0,-0.7035822070594411,-2.121768796745834,-0.0,-1.4200236189476447,-1.3153785592441938,0.0
2018-10-30,1.0,-0.6838548842091451,-2.122810470379846,-0.0,-1.4215049530932231,-1.3322180673095847,0.0
2018-10-31,1.0,-0.6856660607634381,-2.082640872500649,-0.0,-1.4084004154764995,-1.3151129576733316,0.0
2018-11-01,1.0,-0.6643999740949421,-2.0952010880124345,-0.0,-1.4040541415711418,-1.312544524318373,0.0
