Date,ATRA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2876678474338907,-2.4094241700304804,-0.4207101079166323,-1.6142186341543785,-1.5058901062690502,0.0
2018-09-25,1.0,-1.297772277227723,-2.4078382838283825,-0.433003300330033,-1.6125412541254125,-1.4996699669966997,0.0
2018-09-26,1.0,-1.3217747326203209,-2.449197860962567,-0.45137032085561496,-1.634692513368984,-1.4985795454545456,0.0
2018-09-27,1.0,-1.3219178082191783,-2.4471266288005347,-0.4517206815903776,-1.6341463414634148,-1.4979953224189777,0.0
2018-09-28,1.0,-1.317259308956726,-2.4660348876216034,-0.4544615900704462,-1.6421502851392151,-1.506541429050654,0.0
2018-10-01,1.0,-1.3169504319382705,-2.466409460706198,-0.4551706785205066,-1.6418686572171433,-1.5067516564622998,0.0
2018-10-02,1.0,-1.3170077155317008,-2.464189869171419,-0.4569775243206977,-1.6414793693391478,-1.5067930224756794,0.0
2018-10-03,1.0,-1.3158468113634458,-2.455794854604877,-0.4563814631693623,-1.6424201793346183,-1.509679041314003,0.0
2018-10-04,1.0,-1.3162457912457912,-2.4766835016835014,-0.4558922558922559,-1.6447811447811447,-1.5239057239057239,0.0
2018-10-05,1.0,-1.2971184453007203,-2.470933154632267,-0.43013905176746525,-1.649187468587703,-1.5291506114927123,0.0
2018-10-08,1.0,-1.2956565487170886,-2.469143048800939,-0.41749119570685894,-1.6680362233774944,-1.5347979205098106,0.0
2018-10-09,1.0,-1.3213256484149856,-2.4976267163926087,-0.44304119342261394,-1.6786743515850144,-1.53534497372436,0.0
2018-10-10,1.0,-1.3212984151199256,-2.4983473175692854,-0.44207136197982877,-1.6788710907704043,-1.5347910839901686,0.0
2018-10-11,1.0,-1.1977136277654412,-2.515831894070236,-0.2594785755407517,-1.6586067933218192,-1.5927296652685252,0.0
2018-10-12,1.0,-1.2339558020060344,-2.518470194895213,-0.24847101035635652,-1.6156731631737746,-1.5380412623338497,0.0
2018-10-15,1.0,-1.2033980977156329,-2.5666205999512237,-0.20331680351190962,-1.6132834728883831,-1.5428013982603042,0.0
2018-10-16,1.0,-1.2045047975280534,-2.5642380874939015,-0.2055618799804846,-1.613758334688567,-1.5433403805496828,0.0
2018-10-17,1.0,-1.1620098428321954,-2.4732497221781236,-0.1727258294967455,-1.5888236227972694,-1.5409588823622795,0.0
2018-10-18,1.0,-1.1607015316244742,-2.4710737243075944,-0.17339893659233394,-1.590111895881279,-1.5406713752876755,0.0
2018-10-19,1.0,-1.1388037412559928,-2.454688359663601,-0.1468207183840289,-1.5872828735361155,-1.5321858052346145,0.0
2018-10-22,1.0,-1.1400518419605685,-2.4467048935668836,-0.14390071479066843,-1.5897415756814075,-1.5344434844081376,0.0
2018-10-23,1.0,-1.1394544454052355,-2.4492571338731235,-0.14024054712679823,-1.5942142913292983,-1.537772187721091,0.0
2018-10-24,1.0,-1.1470194503504214,-2.4467280888258918,-0.11859201511930074,-1.607764390896921,-1.5545318529018035,0.0
2018-10-25,1.0,-1.0643747638836418,-2.327842840952021,-0.09429542878730639,-1.6035511900264452,-1.4656592368719306,0.0
2018-10-26,1.0,-1.0363446786326058,-2.295970805094213,-0.06457138601325688,-1.6073583078870932,-1.4433603932375065,0.0
2018-10-29,1.0,-1.0007428316743427,-2.3359084831377213,-0.025107710592779678,-1.59731094933888,-1.4692467686822166,0.0
2018-10-30,1.0,-1.0153433636228215,-2.340831223000149,-0.03158051541784597,-1.6005511693728587,-1.4599284969462238,0.0
2018-10-31,1.0,-1.0377484922939468,-2.294095748641203,-0.031047576502121955,-1.617898890626163,-1.464671282853101,0.0
2018-11-01,1.0,-1.0532615200478757,-2.290694195092759,-0.0389736684619988,-1.6265709156193897,-1.4710502692998204,0.0
2018-11-02,1.0,-1.0543761638733706,-2.271135940409683,-0.034636871508379886,-1.6256983240223464,-1.4628677839851023,0.0
2018-11-05,1.0,-1.044610220067139,-2.3092875792614698,-0.032525177172696755,-1.6325997762029092,-1.4409548675867214,0.0
2018-11-06,1.0,-1.0580683684131962,-2.320122406329303,-0.026795044036423347,-1.6276309896999555,-1.4311837587699658,0.0
2018-11-07,1.0,-1.0513644859813083,-2.324859813084112,-0.04194392523364486,-1.6251962616822428,-1.433196261682243,0.0
2018-11-08,1.0,-0.993446529639559,-2.355153410783437,-0.0,-1.6253351206434314,-1.473190348525469,0.0
2018-11-09,1.0,-0.9913406987160347,-2.3609286354135564,-0.0,-1.6351149596894596,-1.4776052553000896,0.0
2018-11-12,1.0,-0.9873840445269016,-2.330018552875696,-0.0,-1.637625231910946,-1.4662708719851576,0.0
2018-11-13,1.0,-0.9455452810802878,-2.320270071921327,-0.0,-1.6268897695581976,-1.4462057830617938,0.0
2018-11-14,1.0,-0.9512248951666299,-2.322518943573898,-0.0,-1.633414257338336,-1.449496064150666,0.0
2018-11-15,1.0,-0.9488949262060358,-2.3225640649093178,-0.0,-1.6340406784639105,-1.4371833467949187,0.0
2018-11-16,1.0,-0.945136243773806,-2.313287430413126,-0.0,-1.6295048344564897,-1.4370055669498973,0.0
