Date,CCU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.26118798124240145,-0.5778382446592949,-0.0,-0.568864702136282,-0.4868291553291264,0.0
2018-09-25,1.0,-0.25865230679668166,-0.584660165914714,-0.0,-0.5739775869596856,-0.49349439673992135,0.0
2018-09-26,1.0,-0.2598695702806568,-0.5858856410853616,-0.0,-0.5740945615465238,-0.49149877722138113,0.0
2018-09-27,1.0,-0.2636540867692845,-0.579160240928798,-0.0,-0.5749701748770624,-0.4919544912270492,0.0
2018-09-28,1.0,-0.2625927542557835,-0.5803579223046704,-0.0,-0.5748872399243417,-0.49207042048595956,0.0
2018-10-01,1.0,-0.26246688597129636,-0.5813513434834503,-0.0,-0.5748595382958284,-0.49244563477045794,0.0
2018-10-02,1.0,-0.2673391446313519,-0.5666307104749133,-0.0,-0.5818489256872978,-0.49957727179965605,0.0
2018-10-03,1.0,-0.2668690170441279,-0.5562689703478869,-0.0,-0.5871468596777959,-0.5082302124678963,0.0
2018-10-04,1.0,-0.2706843718079673,-0.5509120093389756,-0.0,-0.5918867649204728,-0.5049467386546038,0.0
2018-10-05,1.0,-0.25609083253477366,-0.5417138542846357,-0.0,-0.595986874582571,-0.5100618520777072,0.0
2018-10-08,1.0,-0.25745139131447203,-0.5447374548841543,-0.0,-0.5967807660961695,-0.5117010129235069,0.0
2018-10-09,1.0,-0.2568393480791618,-0.5446449359720605,-0.0,-0.5969441210710127,-0.5119324796274738,0.0
2018-10-10,1.0,-0.2568086592178771,-0.5443435754189945,-0.0,-0.5970961359404097,-0.5114350558659219,0.0
2018-10-11,1.0,-0.20530174844895657,-0.525775521714608,-0.0,-0.5776367738296673,-0.511336717428088,0.0
2018-10-12,1.0,-0.20571046919352146,-0.5162520175877999,-0.0,-0.565119385540157,-0.49577002281961374,0.0
2018-10-15,1.0,-0.17139506310733832,-0.5562381324695632,-0.0,-0.5633028035295432,-0.5014241036524071,0.0
2018-10-16,1.0,-0.16601431447103557,-0.5667635875643033,-0.0,-0.5624860210243794,-0.5005312010735853,0.0
2018-10-17,1.0,-0.15176606514084506,-0.5390074823943662,-0.0,-0.5569432218309859,-0.5031635123239436,0.0
2018-10-18,1.0,-0.15258345268260437,-0.5416437148837722,-0.0,-0.5561859645257243,-0.503773273107855,0.0
2018-10-19,1.0,-0.1423570275962038,-0.5339003911057626,-0.0,-0.5566829855318217,-0.5020649290266116,0.0
2018-10-22,1.0,-0.1423605408660426,-0.5249356763562709,-0.0,-0.5624349920621886,-0.5074177478513165,0.0
2018-10-23,1.0,-0.14320507908707789,-0.5248207542006458,-0.0,-0.5616277160527612,-0.5069235400361227,0.0
2018-10-24,1.0,-0.1416420522918718,-0.5242588338256208,-0.0,-0.5620282244830981,-0.5070287714692047,0.0
2018-10-25,1.0,-0.11723351196476893,-0.48883111370509896,-0.0,-0.5634849047593782,-0.48339258237385263,0.0
