Date,IWF,IWM,MSEX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.33938571776409615,-0.9805906292392778,1.0,-0.0,-0.6384222059897735,-0.5199833037670876,0.0
2018-09-25,-0.3395018783915403,-0.9805551690552385,1.0,-0.0,-0.6384096284958953,-0.5200361764296646,0.0
2018-09-26,-0.33783878178262083,-0.9821179100307348,1.0,-0.0,-0.6424629784856105,-0.5302109527801061,0.0
2018-09-27,-0.33913802128773335,-0.9785028790786946,1.0,-0.0,-0.6422264875239923,-0.5299249694643169,0.0
2018-09-28,-0.3387653976340859,-0.9786788568238126,1.0,-0.0,-0.642111874934571,-0.5299926719475172,0.0
2018-10-01,-0.3387209627763784,-0.9837321578505458,1.0,-0.0,-0.6434718723761546,-0.5325356842989085,0.0
2018-10-02,-0.33765090985885754,-1.010664883319841,1.0,-0.0,-0.6413712998486502,-0.5300763788673402,0.0
2018-10-03,-0.33705019522318763,-1.004748672130571,1.0,-0.0,-0.6427239790354919,-0.5330120651447465,0.0
2018-10-04,-0.34149344025887235,-0.9982413562660476,1.0,-0.0,-0.6482360803348457,-0.5293165910449862,0.0
2018-10-05,-0.3235541240722588,-0.9909326424870467,1.0,-0.0,-0.6521845679876769,-0.5342389021145498,0.0
2018-10-08,-0.32138114209827356,-0.9884322359684071,1.0,-0.0,-0.6523030684280422,-0.5326763122946809,0.0
2018-10-09,-0.3157636847263055,-0.9895352092958141,1.0,-0.0,-0.6560618787624248,-0.5386042279154417,0.0
2018-10-10,-0.32103657467475544,-0.9899358277518674,1.0,-0.0,-0.6607286881509276,-0.5349791352526564,0.0
2018-10-11,-0.24664651747206845,-0.9796583692736103,1.0,-0.0,-0.6334770944408599,-0.5361496926681835,0.0
2018-10-12,-0.24167901900013475,-0.9780689933971163,1.0,-0.0,-0.6248147149979787,-0.5242554911736963,0.0
2018-10-15,-0.2049595141700405,-1.0194331983805667,1.0,-0.0,-0.6210863697705803,-0.528306342780027,0.0
2018-10-16,-0.20286726260752236,-1.022600775847529,1.0,-0.0,-0.6202732332602462,-0.5275425872828471,0.0
2018-10-17,-0.18685879345263784,-0.992363624290315,1.0,-0.0,-0.6125701384508118,-0.5283707958431555,0.0
2018-10-18,-0.187591386414994,-0.9948823607603349,1.0,-0.0,-0.6117905091054101,-0.5288448757144756,0.0
2018-10-19,-0.1693255982596084,-0.9854637748038765,1.0,-0.0,-0.6142461599314392,-0.527160656602281,0.0
2018-10-22,-0.1704059652029826,-0.971698425849213,1.0,-0.0,-0.6300248550124274,-0.5418724109362054,0.0
2018-10-23,-0.17360328716283385,-0.9718669229239844,1.0,-0.0,-0.6276095168665916,-0.5405924845914243,0.0
2018-10-24,-0.17114582643807505,-0.9687231084927517,1.0,-0.0,-0.6280532203614219,-0.5417687164890448,0.0
2018-10-25,-0.12750502626629484,-0.9304429599844349,1.0,-0.0,-0.6659964978273559,-0.5188403917244958,0.0
2018-10-26,-0.10315463518482679,-0.9216824720985742,1.0,-0.0,-0.6856331849558093,-0.5151280562544353,0.0
2018-10-29,-0.09917755200774069,-0.9243025318497017,1.0,-0.0,-0.6875020158039026,-0.5143363973552653,0.0
2018-10-30,-0.07532316065701235,-0.9303787216120776,1.0,-0.0,-0.6940745780283151,-0.5399293744128033,0.0
