Date,BGNE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.873698175787728,-2.0218242122719734,-0.14759535655058043,-1.375257048092869,-1.2150580431177447,0.0
2018-09-25,1.0,-0.8806267427964414,-2.0193865356526355,-0.15675209135572965,-1.3729252423316956,-1.209533926437392,0.0
2018-09-26,1.0,-0.8847509476624326,-2.0252044955775754,-0.16259892265744497,-1.374077276052404,-1.2036310434262154,0.0
2018-09-27,1.0,-0.8958097395243488,-2.010059289854107,-0.16887615748451137,-1.3794550662847247,-1.2076477250016655,0.0
2018-09-28,1.0,-0.8937658185693353,-2.0106567203942984,-0.16997469028906356,-1.3787132010123884,-1.2073398161715732,0.0
2018-10-01,1.0,-0.8953434148291253,-2.009060022650057,-0.17020851375657853,-1.3796549197255348,-1.207581107188062,0.0
2018-10-02,1.0,-0.9015353805073432,-1.9805073431241658,-0.18230974632843794,-1.3913217623497998,-1.2198931909212285,0.0
2018-10-03,1.0,-0.9018560555481373,-1.9809053278141275,-0.18326879423153958,-1.3909734276939512,-1.2195219655494725,0.0
2018-10-04,1.0,-0.9124097352233217,-1.9697111527146298,-0.1852768119818133,-1.4050548274939823,-1.213827226531158,0.0
2018-10-05,1.0,-0.9019725443156071,-1.970478475276556,-0.1680661068905771,-1.4085699053711849,-1.2149140343862455,0.0
2018-10-08,1.0,-0.9112708221386352,-1.988984416980118,-0.17195056421278881,-1.417651800107469,-1.2268941429339064,0.0
2018-10-09,1.0,-0.9155791739539891,-1.9923314946858606,-0.17792277680613483,-1.4169917933539622,-1.2238665411004979,0.0
2018-10-10,1.0,-0.915863277826468,-1.9996629137733433,-0.17447583091754873,-1.4205487763769975,-1.231173734241219,0.0
2018-10-11,1.0,-0.828351946291395,-1.9614614937705765,-0.07978826415337938,-1.369827641856562,-1.2159963849977407,0.0
2018-10-12,1.0,-0.8361883009770333,-1.9463266082984392,-0.0664890242355031,-1.3293998223575687,-1.1659687856870955,0.0
2018-10-15,1.0,-0.8069542086262588,-1.9984166191652415,-0.02210399645322693,-1.3314966115650135,-1.1745519032237635,0.0
2018-10-16,1.0,-0.8052934844551384,-2.003355917178497,-0.018045969733426204,-1.3311593744063828,-1.174064458937504,0.0
2018-10-17,1.0,-0.76425,-1.9304374999999998,-0.0,-1.340875,-1.2144375,0.0
2018-10-18,1.0,-0.7632318940198712,-1.9287633568705866,-0.0,-1.3424357932887583,-1.2143973005061552,0.0
2018-10-19,1.0,-0.7290338552949187,-1.9066658414309587,-0.0,-1.344185182892864,-1.209382929999381,0.0
2018-10-22,1.0,-0.7291976225854383,-1.8906017830609212,-0.0,-1.3532689450222883,-1.2180534918276376,0.0
2018-10-23,1.0,-0.7244188232345384,-1.9134030954320447,-0.0,-1.384359922300896,-1.243937590074566,0.0
2018-10-24,1.0,-0.720428088621855,-1.9068719489297785,-0.0,-1.3850920015020654,-1.2462761296783076,0.0
2018-10-25,1.0,-0.6453773472072718,-1.8006817366343737,-0.0,-1.3687357971534504,-1.1652912331060878,0.0
2018-10-26,1.0,-0.612603062426384,-1.7679623085983511,-0.0,-1.3667844522968198,-1.141931684334511,0.0
2018-10-29,1.0,-0.5692497213585967,-1.7922801665982284,-0.0,-1.3498562796973075,-1.154748636123658,0.0
2018-10-30,1.0,-0.6008873114463177,-1.806388642413487,-0.0,-1.362614611061816,-1.1455190771960957,0.0
2018-10-31,1.0,-0.60403981264637,-1.7686182669789228,-0.0,-1.3516393442622952,-1.130503512880562,0.0
2018-11-01,1.0,-0.7118372379778051,-1.7981504315659678,-0.0,-1.442046855733662,-1.213193588162762,0.0
2018-11-02,1.0,-0.7172890056835544,-1.7482735439711543,-0.0,-1.4467395954287112,-1.1990466295911508,0.0
2018-11-05,1.0,-0.7191437308868501,-1.7454434250764526,-0.0,-1.4478899082568806,-1.2036697247706423,0.0
2018-11-06,1.0,-0.7235603374495659,-1.74789094021274,-0.0,-1.443758405673065,-1.1980682234992053,0.0
2018-11-07,1.0,-0.723117456038233,-1.7553458734146195,-0.0,-1.4457447460327186,-1.2028674713559218,0.0
2018-11-08,1.0,-0.6574832009773977,-1.778191814294441,-0.0,-1.4395846059865607,-1.233536957849725,0.0
2018-11-09,1.0,-0.6559666748345994,-1.7836314628767458,-0.0,-1.4484807645185003,-1.2378093604508698,0.0
2018-11-12,1.0,-0.6526771030029846,-1.7615276847170616,-0.0,-1.4483157702381677,-1.2288481452153255,0.0
