Date,IWF,IWM,MTUM,PINS,SPY,VLUE,VXX
2019-12-18,-1.48285873813512,-1.2725851479620325,-3.495254048017867,1.0,-2.9438302624232273,-0.9724176437744277,0.0
2019-12-19,-1.4854651162790697,-1.2758273703041145,-3.497875670840787,1.0,-2.9454382826475847,-0.9760733452593917,0.0
2019-12-20,-1.480241125251172,-1.2739450770261218,-3.491627595445412,1.0,-2.9436258093324397,-0.9738780977896851,0.0
2019-12-23,-1.4886781929726716,-1.2958170663692137,-3.473061907417736,1.0,-2.95058561070831,-0.9463469046291133,0.0
2019-12-24,-1.4839539304483953,-1.295538409929554,-3.4956949569495697,1.0,-2.955719557195572,-0.9510231465951023,0.0
2019-12-26,-1.4840657497484067,-1.296880241529688,-3.4954713183495474,1.0,-2.954377725595438,-0.9511349658951135,0.0
2019-12-27,-1.4659205372132067,-1.314493564633464,-3.508337996642418,1.0,-2.9472859541130387,-0.9560156687185226,0.0
2019-12-30,-1.466898174078638,-1.3070460401030581,-3.5178671446174525,1.0,-2.9537358575109223,-0.9564243306822,0.0
2019-12-31,-1.4469629298794107,-1.314537740062528,-3.51462706565431,1.0,-2.947297900848593,-0.9422733363108531,0.0
2020-01-02,-1.4451901565995529,-1.3140939597315437,-3.5243847874720364,1.0,-2.9562639821029086,-0.9457494407158837,0.0
2020-01-03,-1.3901785714285715,-1.3462053571428572,-3.5517857142857148,1.0,-2.9314732142857145,-0.9409598214285714,0.0
2020-01-06,-1.365568662363677,-1.353883819274427,-3.5740040062319167,1.0,-2.923102604050746,-0.9117516136211886,0.0
2020-01-07,-1.3741921105415644,-1.3549141965678628,-3.575440160463561,1.0,-2.9314686873189215,-0.907176287051482,0.0
2020-01-08,-1.3770400178850883,-1.3478649675832775,-3.5870780236977424,1.0,-2.9320366644310303,-0.9342723004694836,0.0
2020-01-09,-1.3656141916768938,-1.3482093049202277,-3.581501729331697,1.0,-2.925025103202053,-0.9365167912529287,0.0
2020-01-10,-1.3483935742971889,-1.3685854529228023,-3.569611780455154,1.0,-2.914212405176261,-0.9550423917893799,0.0
2020-01-13,-1.3505971648621498,-1.3676749637236298,-3.5797522044871077,1.0,-2.9119321352829557,-0.9520035718272128,0.0
2020-01-14,-1.335269802256731,-1.3629762037761142,-3.5705507764495583,1.0,-2.917997989051502,-0.9851413249916209,0.0
2020-01-15,-1.3178501100428588,-1.4397080968377156,-3.721417815359666,1.0,-3.0177226919958295,-1.0867601065678212,0.0
2020-01-16,-1.318597384561972,-1.4279597268834625,-3.702464992477722,1.0,-3.017937738687652,-1.1057747945839602,0.0
2020-01-17,-1.3075241601472618,-1.4073861021629084,-3.6855729406350672,1.0,-3.0055223193741374,-1.098826507132996,0.0
2020-01-21,-1.3054277828886844,-1.4173183072677094,-3.676747930082797,1.0,-3.00172493100276,-1.0983210671573138,0.0
2020-01-22,-1.3044580117497984,-1.427830895058173,-3.674346273470798,1.0,-3.0115194102061973,-1.1013708098145376,0.0
2020-01-23,-1.3048035940559843,-1.428176477364359,-3.6740006911646126,1.0,-3.0116346043082594,-1.1009100334062896,0.0
2020-01-24,-1.3058755760368663,-1.4278801843317972,-3.674078341013825,1.0,-3.011405529953917,-1.1014976958525344,0.0
