Date,IWF,IWM,MTUM,SPY,SSTK,VLUE,VXX
2018-09-24,-0.5784680582480501,-1.2540011721743836,-0.12970560389522565,-0.7827419863847437,1.0,-0.7634912763175691,0.0
2018-09-25,-0.5840703971119133,-1.251985559566787,-0.13700361010830325,-0.7807310469314079,1.0,-0.7587996389891697,0.0
2018-09-26,-0.5885067873303168,-1.258733031674208,-0.1430316742081448,-0.7822171945701357,1.0,-0.7523981900452489,0.0
2018-09-27,-0.5924669922228252,-1.248462651474046,-0.14600289383251944,-0.7824651835775005,1.0,-0.7522155905226986,0.0
2018-09-28,-0.588900542660404,-1.2692325231428703,-0.14765835195403346,-0.7923753933147886,1.0,-0.7619590496602672,0.0
2018-10-01,-0.590777435520206,-1.2861477633212266,-0.1492804928509034,-0.7998252953887178,1.0,-0.7715047584019125,0.0
2018-10-02,-0.5918367346938777,-1.2753723110865967,-0.153291046148189,-0.8019396947968376,1.0,-0.7739933811362383,0.0
2018-10-03,-0.599897873920713,-1.3069352892024881,-0.15718132021167952,-0.8061461331352707,1.0,-0.7719803175192647,0.0
2018-10-04,-0.6111680327868854,-1.2979228763040238,-0.1584854694485842,-0.8220938897168406,1.0,-0.7675577496274218,0.0
2018-10-05,-0.5947763963629615,-1.2915197624791241,-0.14005381332343664,-0.8325292262015217,1.0,-0.7802004082390054,0.0
2018-10-08,-0.5934025203854707,-1.289612676056338,-0.13825055596738323,-0.8327001482579689,1.0,-0.7790492957746479,0.0
2018-10-09,-0.5942075996292865,-1.2902224281742356,-0.13948100092678406,-0.8321130676552364,1.0,-0.7778962001853568,0.0
2018-10-10,-0.5943667191698323,-1.289910126934124,-0.13953488372093023,-0.8321597331603818,1.0,-0.7767071249884184,0.0
2018-10-11,-0.538399389559675,-1.2850666546972487,-0.06692400915660487,-0.811391893711567,1.0,-0.7867498541227165,0.0
2018-10-12,-0.5542248835662009,-1.2820581060102019,-0.060856065646484804,-0.7842537147926368,1.0,-0.7541805278332223,0.0
