Date,IWF,IWM,MTUM,NFRA,SPY,VLUE,VXX
2018-09-24,-0.1642019583350123,-0.2503324334125801,-0.02323004392150542,1.0,-0.3084176169561188,-0.26856590240560907,0.0
2018-09-25,-0.16324553436270056,-0.25261883136542534,-0.020910283580583305,1.0,-0.3104046826117671,-0.27120799273387824,0.0
2018-09-26,-0.1631141253885592,-0.25249283436276293,-0.02048766702999475,1.0,-0.31056477332364457,-0.27182996245609786,0.0
2018-09-27,-0.16391954324449734,-0.25018661609538606,-0.021163273952428025,1.0,-0.31048883329634636,-0.27169286016906413,0.0
2018-09-28,-0.1631088333804124,-0.25097857229328924,-0.021447883459101733,1.0,-0.3103990960816755,-0.27172026956135753,0.0
2018-10-01,-0.16325995278355093,-0.25087269718920885,-0.02150971569240703,1.0,-0.31043806372202826,-0.2717165398817571,0.0
2018-10-02,-0.16380475796525354,-0.24621158619019756,-0.023305554995056398,1.0,-0.31150749611574086,-0.27298775197239655,0.0
2018-10-03,-0.1637078878353843,-0.24436150897720396,-0.023118821868065364,1.0,-0.31206374823481947,-0.27409723623159166,0.0
2018-10-04,-0.16569849530033484,-0.24119569163741983,-0.023437815159949978,1.0,-0.31463552382104965,-0.27205615393924726,0.0
2018-10-05,-0.16063571155893994,-0.2368447489501919,-0.018544935805991442,1.0,-0.3177553193626811,-0.2754214301500874,0.0
2018-10-08,-0.15970703320959165,-0.2350556837563961,-0.016273703220628072,1.0,-0.3202167151600281,-0.27538878298384667,0.0
2018-10-09,-0.1589782691574533,-0.2351666432570179,-0.01442703212472661,1.0,-0.3212272006741979,-0.27674217950518687,0.0
2018-10-10,-0.1596926903634759,-0.2342533900345021,-0.015305303698948888,1.0,-0.32165209018695334,-0.27501404156302656,0.0
2018-10-11,-0.14879481146066081,-0.22947027069780318,-0.0009491230498487335,1.0,-0.320269709133332,-0.27783599944634485,0.0
2018-10-12,-0.14884798962896037,-0.22543261770540748,-0.0,1.0,-0.31692561528942664,-0.27300583370980736,0.0
2018-10-15,-0.138139197585308,-0.23417808353423097,-0.0,1.0,-0.3147527488681131,-0.2729072342760824,0.0
2018-10-16,-0.13625761941161482,-0.23721604829383977,-0.0,1.0,-0.31416475568883395,-0.2723388408694459,0.0
2018-10-17,-0.1328068636053427,-0.230613239738715,-0.0,1.0,-0.31321049039680215,-0.27327678658477134,0.0
2018-10-18,-0.13301347687866907,-0.2312913229184951,-0.0,1.0,-0.31273769820373293,-0.27330173775671407,0.0
2018-10-19,-0.12752875458230697,-0.22565316057955273,-0.0,1.0,-0.31365285024341993,-0.27274666873557424,0.0
2018-10-22,-0.12726743056904252,-0.2179840745775879,-0.0,1.0,-0.3191105068945426,-0.2777626723635657,0.0
2018-10-23,-0.12576770582290292,-0.2183588587421286,-0.0,1.0,-0.3207066780688797,-0.2787258026898857,0.0
2018-10-24,-0.12508010486454993,-0.2172638120205845,-0.0,1.0,-0.3208272647829886,-0.27876492863384794,0.0
2018-10-25,-0.11498777132375419,-0.20249923570773462,-0.0,1.0,-0.32352491592785076,-0.2697187404463467,0.0
2018-10-26,-0.1084726443768997,-0.19829027355623102,-0.0,1.0,-0.3261968085106383,-0.2667553191489362,0.0
2018-10-29,-0.10819279854147675,-0.19714752354907322,-0.0,1.0,-0.32744606502582796,-0.26633242175630506,0.0
