Date,IWF,IWM,MAC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3289789239059899,-0.6313517478768726,1.0,-0.0,-0.45631013176085544,-0.4047907908472758,0.0
2018-09-25,-0.32528643903551274,-0.6431625149632332,1.0,-0.0,-0.46545630735906063,-0.41623439548537877,0.0
2018-09-26,-0.3263875032068641,-0.6442233687751204,1.0,-0.0,-0.46549414212821755,-0.4144123599669337,0.0
2018-09-27,-0.3258301951386512,-0.6464681045304119,1.0,-0.0,-0.4658222070067329,-0.4148122788999201,0.0
2018-09-28,-0.32457416759393987,-0.6477502924477161,1.0,-0.0,-0.465833547319467,-0.41499044195269474,0.0
2018-10-01,-0.3242052250550834,-0.6528457378315735,1.0,-0.0,-0.4670787192033651,-0.41734626720462414,0.0
2018-10-02,-0.32309015336104346,-0.6629496918446324,1.0,-0.0,-0.4651569442453777,-0.41536476995843485,0.0
2018-10-03,-0.3226841637775422,-0.6593507349359617,1.0,-0.0,-0.46600383943153495,-0.4171800234950288,0.0
2018-10-04,-0.33413149467732167,-0.6535210454951966,1.0,-0.0,-0.4827914490955774,-0.41450538037677065,0.0
2018-10-05,-0.3325067758491436,-0.6552966956922899,1.0,-0.0,-0.4825269592295715,-0.4130384637564154,0.0
2018-10-08,-0.3297927461139897,-0.6520437535981578,1.0,-0.0,-0.48474381116868165,-0.4119458837075417,0.0
2018-10-09,-0.32123285685290964,-0.6575429847197658,1.0,-0.0,-0.4948824262808432,-0.42581692713618835,0.0
2018-10-10,-0.321467911183257,-0.657226505884399,1.0,-0.0,-0.49501420372195487,-0.42501014551568206,0.0
2018-10-11,-0.2758065881954442,-0.646540773985943,1.0,-0.0,-0.4757106161966862,-0.42464786744573346,0.0
2018-10-12,-0.27491601343784994,-0.643057110862262,1.0,-0.0,-0.46730123180291155,-0.4142777155655095,0.0
2018-10-15,-0.24979724249797242,-0.6683446597868948,1.0,-0.0,-0.46307016807897755,-0.4154151634644965,0.0
2018-10-16,-0.2440076164874552,-0.6794354838709677,1.0,-0.0,-0.46222558243727596,-0.41451052867383514,0.0
2018-10-17,-0.23440485090123764,-0.6608245424592297,1.0,-0.0,-0.45790071157626605,-0.4156491402940444,0.0
2018-10-18,-0.23367669048014622,-0.6594395525281054,1.0,-0.0,-0.459877055989367,-0.4160436395857562,0.0
2018-10-19,-0.22003464679517143,-0.6503423433332417,1.0,-0.0,-0.4631121621250034,-0.4162564962740946,0.0
2018-10-22,-0.21984157544419383,-0.6420870234886407,1.0,-0.0,-0.4678475163650366,-0.42065020078112103,0.0
2018-10-23,-0.21431735134536598,-0.6475196545233086,1.0,-0.0,-0.4782139297973646,-0.42819178385560847,0.0
2018-10-24,-0.21287950008295087,-0.6449151136426479,1.0,-0.0,-0.47834983133329645,-0.4288834817231654,0.0
2018-10-25,-0.18571005996719284,-0.6105359399790249,1.0,-0.0,-0.4875090757522791,-0.40535671067846296,0.0
2018-10-26,-0.19006590319792566,-0.6139801210025929,1.0,-0.0,-0.4882238547968885,-0.4086538461538461,0.0
2018-10-29,-0.1707520516615095,-0.6245123099690569,1.0,-0.0,-0.4803444100632316,-0.4150948473025696,0.0
2018-10-30,-0.15895020188425302,-0.6255181695827725,1.0,-0.0,-0.48166890982503363,-0.4256258411843877,0.0
2018-10-31,-0.16350552419678446,-0.6085444477140793,1.0,-0.0,-0.48093951472673285,-0.42216634118937435,0.0
2018-11-01,-0.147730310645351,-0.6215313051382131,1.0,-0.0,-0.4810190878468695,-0.4230872052611881,0.0
2018-11-02,-0.15112505984360872,-0.6038885047076973,1.0,-0.0,-0.48526517367945105,-0.41943720410660146,0.0
2018-11-05,-0.15800187491629838,-0.5932235168072854,1.0,-0.0,-0.4895942145439936,-0.4376322485603321,0.0
2018-11-06,-0.15143018898444452,-0.5918636939584289,1.0,-0.0,-0.5009570538915699,-0.45164855902730977,0.0
2018-11-07,-0.15061508578828098,-0.5939894248408331,1.0,-0.0,-0.500566526383943,-0.45257364842991255,0.0
