Date,IWF,IWM,MTUM,PCG,SPY,VLUE,VXX
2018-09-24,-0.3870839146900538,-0.9093482160653776,-0.0,1.0,-0.8592784532589196,-0.8307354993023719,0.0
2018-09-25,-0.3871546465733764,-0.9094207231989794,-0.0,1.0,-0.8593469680660207,-0.8308416058685165,0.0
2018-09-26,-0.3861160981448235,-0.9092359864352684,-0.0,1.0,-0.8602034709754638,-0.8340315180530622,0.0
2018-09-27,-0.3863155794933174,-0.9091960901655696,-0.0,1.0,-0.8601236784360663,-0.8339916217833633,0.0
2018-09-28,-0.38575075793840746,-0.9097255465134833,-0.0,1.0,-0.8598611775969363,-0.8338519227700654,0.0
2018-10-01,-0.3860182370820669,-0.9154135338345866,-0.0,1.0,-0.8614621660534315,-0.8365061590145578,0.0
2018-10-02,-0.38718061497860773,-0.911911711783758,-0.0,1.0,-0.8621696189371827,-0.8373385581190772,0.0
2018-10-03,-0.3936519518423933,-0.9008877538611213,-0.0,1.0,-0.888442985123029,-0.8706473711946168,0.0
2018-10-04,-0.39917295062028707,-0.8935782048163464,-0.0,1.0,-0.8952404119030244,-0.8661720587042894,0.0
2018-10-05,-0.37697052775873885,-0.8802967382977865,-0.0,1.0,-0.9003749546425835,-0.8741281296617345,0.0
2018-10-08,-0.37488851050028377,-0.8825508797535069,-0.0,1.0,-0.9164436876672343,-0.8802400064866619,0.0
2018-10-09,-0.37380411869628666,-0.8824387870925896,-0.0,1.0,-0.9167747689314091,-0.8807767147721745,0.0
2018-10-10,-0.3799114217219942,-0.8833448458006583,-0.0,1.0,-0.9225549551013774,-0.8773719068709115,0.0
2018-10-11,-0.284604271602046,-0.8522509859044941,-0.0,1.0,-0.8866893131857404,-0.8810276834172817,0.0
2018-10-12,-0.28343949044585987,-0.8349704550686823,-0.0,1.0,-0.8635177653288312,-0.8550763563809377,0.0
2018-10-15,-0.2650095602294455,-0.8461950286806883,-0.0,1.0,-0.8589674952198852,-0.8538814531548756,0.0
2018-10-16,-0.2575687897600981,-0.86276538667893,-0.0,1.0,-0.8585881811910784,-0.8533379320916686,0.0
2018-10-17,-0.23196011545526107,-0.8130224537991528,-0.0,1.0,-0.8472092064325073,-0.8563181767065262,0.0
2018-10-18,-0.23109794954455148,-0.8114105784008697,-0.0,1.0,-0.8492709075233347,-0.8567680023990704,0.0
2018-10-19,-0.2112958290040077,-0.7948270743654445,-0.0,1.0,-0.8497847706694375,-0.8549428529018852,0.0
2018-10-22,-0.2117056856187291,-0.782943143812709,-0.0,1.0,-0.8585284280936455,-0.8629505759940542,0.0
2018-10-23,-0.2080707119680752,-0.787043598254578,-0.0,1.0,-0.865997836870175,-0.8684220340879425,0.0
2018-10-24,-0.20524570619574534,-0.784769568943035,-0.0,1.0,-0.8664356767631608,-0.8691926530308112,0.0
2018-10-25,-0.15623424331916733,-0.7248073183029604,-0.0,1.0,-0.8867319743571274,-0.8337535114888712,0.0
2018-10-26,-0.13328825141474177,-0.7086521692707407,-0.0,1.0,-0.8947218564259529,-0.8224365590632452,0.0
2018-10-29,-0.11938237064843997,-0.7089634167935687,-0.0,1.0,-0.8896483337465028,-0.8234585827106279,0.0
2018-10-30,-0.10294586833989153,-0.7111205643588925,-0.0,1.0,-0.8920557268956715,-0.8388103087667056,0.0
2018-10-31,-0.10894326091541869,-0.6845953736905013,-0.0,1.0,-0.8895099486746818,-0.8324193208183928,0.0
2018-11-01,-0.08811856846837356,-0.7014715695571243,-0.0,1.0,-0.8891932708179681,-0.833315772837425,0.0
2018-11-02,-0.09378920953575909,-0.669594312003346,-0.0,1.0,-0.8957200613411404,-0.826188484595009,0.0
2018-11-05,-0.08877266387726639,-0.6849721059972107,-0.0,1.0,-0.8977336122733611,-0.8152719665271967,0.0
