Date,IWF,IWM,MTUM,PNR,SPY,VLUE,VXX
2018-09-24,-0.1769329346433148,-0.588210166595472,-0.03400256300726185,1.0,-0.4904172006265129,-0.5582229816317813,0.0
2018-09-25,-0.17553450299092707,-0.5956381121382982,-0.02816337044563382,1.0,-0.4968087237757235,-0.565986433498383,0.0
2018-09-26,-0.17553450299092707,-0.5956953547611552,-0.02816337044563382,1.0,-0.4968087237757235,-0.565929190875526,0.0
2018-09-27,-0.17755913394159542,-0.5903669593570346,-0.02971712953693905,1.0,-0.4968109143952178,-0.5657123244572834,0.0
2018-09-28,-0.17593042881254112,-0.5920416511714393,-0.030237148496724545,1.0,-0.49672454730096977,-0.5657236032840347,0.0
2018-10-01,-0.1767230280662604,-0.5912797184791004,-0.030240608817555,1.0,-0.49712471032529393,-0.565645295110577,0.0
2018-10-02,-0.17741289547456948,-0.5862177470106985,-0.03223868642370845,1.0,-0.4980548086274958,-0.566651410263745,0.0
2018-10-03,-0.17721084544102506,-0.5788239331884224,-0.03117492277771422,1.0,-0.5011154330168173,-0.5717595240819128,0.0
2018-10-04,-0.17962719423637716,-0.5746469209217223,-0.03170564354737263,1.0,-0.5039453370690149,-0.5690433987077592,0.0
2018-10-05,-0.16571069828496418,-0.5686442370801587,-0.01829181291556088,1.0,-0.5164226807065605,-0.5845960676882687,0.0
2018-10-08,-0.16693368427075583,-0.572008926017051,-0.01913944040739257,1.0,-0.516536018767523,-0.5862848314928191,0.0
2018-10-09,-0.16666666666666669,-0.5720906282183317,-0.0186520196818858,1.0,-0.5167353244078271,-0.5865659686462983,0.0
2018-10-10,-0.16591013560101128,-0.5785164330039071,-0.014852907377614341,1.0,-0.5191048034934498,-0.5945472305217191,0.0
2018-10-11,-0.1307887323943662,-0.5725070422535211,-0.0,1.0,-0.5101971830985916,-0.6034084507042254,0.0
2018-10-12,-0.12593173793644566,-0.570223617104747,-0.0,1.0,-0.5058286162640812,-0.6002353864260495,0.0
2018-10-15,-0.10277863278954584,-0.5918236001902789,-0.0,1.0,-0.5018608165206928,-0.6017572823684136,0.0
2018-10-16,-0.10047846889952153,-0.5955119057612133,-0.0,1.0,-0.5011052351772574,-0.6009681300540026,0.0
2018-10-17,-0.08672214082326597,-0.5713653830204849,-0.0,1.0,-0.4987974456086031,-0.607607884333619,0.0
2018-10-18,-0.08706474541582543,-0.5727798213347346,-0.0,1.0,-0.4980501700915452,-0.6078214453632768,0.0
2018-10-19,-0.07261234025010306,-0.5638312491411296,-0.0,1.0,-0.5013054830287207,-0.6106637350556547,0.0
2018-10-22,-0.07340206185567011,-0.5647010309278351,-0.0,1.0,-0.5008934707903779,-0.6101443298969071,0.0
2018-10-23,-0.07240876715342517,-0.5649148860105051,-0.0,1.0,-0.5019387839287187,-0.6107856887495531,0.0
2018-10-24,-0.0718645565774574,-0.560913635484851,-0.0,1.0,-0.5084375949402049,-0.6207087027370398,0.0
2018-10-25,-0.04540552200172563,-0.5300636324417601,-0.0,1.0,-0.5178494391716998,-0.6029713114754098,0.0
2018-10-26,-0.03921305851135115,-0.5238950387306012,-0.0,1.0,-0.5189364496502185,-0.5982738749363424,0.0
2018-10-29,-0.013314402057436775,-0.5412826832404629,-0.0,1.0,-0.5119481354479211,-0.6123821260180026,0.0
2018-10-30,-0.014253563390847712,-0.5413406923159362,-0.0,1.0,-0.5119494159254099,-0.6116975672489551,0.0
2018-10-31,-0.01548607588177182,-0.534403118575281,-0.0,1.0,-0.5105599017435186,-0.6095906869943664,0.0
2018-11-01,-0.012194145742722203,-0.5366224617765564,-0.0,1.0,-0.5101262107425888,-0.6093604077167329,0.0
2018-11-02,-0.012693333333333334,-0.53488,-0.0,1.0,-0.5102933333333334,-0.6088,0.0
2018-11-05,-0.006865966712083567,-0.5543533434853464,-0.0,1.0,-0.5139590179263178,-0.5963773342951031,0.0
2018-11-06,-0.007640317367029093,-0.5545641546229263,-0.0,1.0,-0.513504127374242,-0.5957310394571634,0.0
2018-11-07,-0.007939478186484173,-0.5548545765611633,-0.0,1.0,-0.514301753635586,-0.5961559024807528,0.0
2018-11-08,-0.0,-0.5533934125528351,-0.0,1.0,-0.5077225722412738,-0.5972565595342532,0.0
2018-11-09,-0.0,-0.5534902273633825,-0.0,1.0,-0.5088153171120862,-0.5969153038159819,0.0
