Date,IWF,IWM,MTUM,SFM,SPY,VLUE,VXX
2018-09-24,-0.4746137862498871,-1.2694462011021772,-0.0,1.0,-0.8477278886981661,-0.9250158099195952,0.0
2018-09-25,-0.4786753411041836,-1.267010029818379,-0.006099213879100027,1.0,-0.8454414023673985,-0.9206650402096321,0.0
2018-09-26,-0.4785398030179814,-1.2670552091804461,-0.0057829583446281745,1.0,-0.8455317610915334,-0.920981295744104,0.0
2018-09-27,-0.4829766097715163,-1.2564797254583222,-0.008985821367289804,1.0,-0.8461121647250067,-0.920978957825341,0.0
2018-09-28,-0.47976669530225613,-1.2617895736311433,-0.010127955871049418,1.0,-0.8473120224261881,-0.9223674096848578,0.0
2018-10-01,-0.4799023375683863,-1.2614730750101733,-0.010580096758149839,1.0,-0.8472215942487679,-0.9222317674187277,0.0
2018-10-02,-0.4804954120146454,-1.2557067305519143,-0.013108529584595217,1.0,-0.8478506531663879,-0.9230212900601183,0.0
2018-10-03,-0.4803434252146408,-1.2535924084952552,-0.013375508359692725,1.0,-0.8479439674649797,-0.9234975146859467,0.0
2018-10-04,-0.4830451076895291,-1.2472569648259357,-0.014358603874113876,1.0,-0.85099562017429,-0.919582787736488,0.0
2018-10-05,-0.47080505236661124,-1.2431788555760326,-0.0,1.0,-0.8549916842720366,-0.9260124960668854,0.0
2018-10-08,-0.46792674124864675,-1.2433688199206063,-0.0,1.0,-0.8691356910862506,-0.9305756044749188,0.0
2018-10-09,-0.46655239298118995,-1.2434480580991476,-0.0,1.0,-0.8694122423203572,-0.9313004646127475,0.0
2018-10-10,-0.46746922764777493,-1.2424365390684884,-0.0,1.0,-0.8698769105910997,-0.9290319671761578,0.0
2018-10-11,-0.3477085364772627,-1.2578228880418403,-0.0,1.0,-0.8515645776083681,-0.9751351830511481,0.0
2018-10-12,-0.34769338100636615,-1.2456614633295544,-0.0,1.0,-0.8218801779018052,-0.9451033400191855,0.0
2018-10-15,-0.33091304347826084,-1.2566086956521738,-0.0,1.0,-0.8166521739130435,-0.9436956521739129,0.0
2018-10-16,-0.323389800984192,-1.2726124635282845,-0.0,1.0,-0.8159648129599791,-0.9428646082828899,0.0
2018-10-17,-0.2905197469652932,-1.2164045135920671,-0.0,1.0,-0.8098820311164302,-0.9574286202769704,0.0
2018-10-18,-0.2904163460716423,-1.2168932204838847,-0.0,1.0,-0.8097375395400529,-0.9575104727707959,0.0
2018-10-19,-0.26276500447894896,-1.2073113509363136,-0.0,1.0,-0.8252356780275562,-0.9702683103698332,0.0
2018-10-22,-0.26335536133020676,-1.202899168620763,-0.0,1.0,-0.8262630569175016,-0.9709656789597101,0.0
2018-10-23,-0.2658341147387265,-1.20271076634558,-0.0,1.0,-0.8240132980990538,-0.9696530560054557,0.0
2018-10-24,-0.2633801014968655,-1.197663013348117,-0.0,1.0,-0.82728474561815,-0.9762463218047678,0.0
2018-10-25,-0.21173720472440946,-1.1305364173228347,-0.0,1.0,-0.8280429790026247,-0.9307332677165355,0.0
2018-10-26,-0.18497625908039447,-1.1135505864210058,-0.0,1.0,-0.8401038918875046,-0.9196461182581877,0.0
2018-10-29,-0.15453884671297044,-1.1275642061056372,-0.0,1.0,-0.8272088515587143,-0.9288483282183815,0.0
2018-10-30,-0.13471649276065678,-1.1307126102078784,-0.0,1.0,-0.8308258513305832,-0.9480708565882067,0.0
