Date,HONE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2560033077828313,-0.8744314748258643,-0.00203555866543685,-0.550205146146751,-0.49788492732419454,0.0
2018-09-25,1.0,-0.2542882744495648,-0.8827124935995905,-0.0,-0.5569636456733231,-0.5062403993855606,0.0
2018-09-26,1.0,-0.2534737785746302,-0.8824358071332521,-0.0,-0.557405391560479,-0.5083242620221553,0.0
2018-09-27,1.0,-0.2545029913299421,-0.879514988642544,-0.0,-0.5572191829030296,-0.508046197651726,0.0
2018-09-28,1.0,-0.25363107044596583,-0.8802866466184657,-0.0,-0.5571373728325548,-0.5081579115746369,0.0
2018-10-01,1.0,-0.25356034179281206,-0.8810765833520017,-0.0,-0.5571414855826159,-0.5085288187666016,0.0
2018-10-02,1.0,-0.2526883446217058,-0.8956761788591789,-0.0,-0.5552274259300871,-0.5063717779989086,0.0
2018-10-03,1.0,-0.251973304241802,-0.8876018738368735,-0.0,-0.5577873323493551,-0.5112301867419624,0.0
2018-10-04,1.0,-0.2514394158705652,-0.8929846569526199,-0.0,-0.5569815690437132,-0.5151661359323233,0.0
2018-10-05,1.0,-0.2392174442060773,-0.8888284076718646,-0.0,-0.5574269155646634,-0.5164740162018507,0.0
2018-10-08,1.0,-0.23603833865814697,-0.885111821086262,-0.0,-0.5588817891373802,-0.5148562300319488,0.0
2018-10-09,1.0,-0.22943778447336372,-0.8876530546829926,-0.0,-0.5647797935765113,-0.523495095839477,0.0
2018-10-10,1.0,-0.2297093787048608,-0.8872440642122464,-0.0,-0.5649652343875164,-0.5222852382325611,0.0
2018-10-11,1.0,-0.1600111614063372,-0.8767904755999256,-0.0,-0.5385068518633348,-0.5250821603522045,0.0
2018-10-12,1.0,-0.15391727793872895,-0.8769956234975036,-0.0,-0.5328237687234173,-0.5183073414288355,0.0
2018-10-15,1.0,-0.13481868469575906,-0.8927166564228641,-0.0,-0.5282114320835894,-0.5173632452366318,0.0
2018-10-16,1.0,-0.12685093780848963,-0.9118336623889437,-0.0,-0.5286586870681145,-0.5175530602171767,0.0
2018-10-17,1.0,-0.1061455901525028,-0.8754509899038899,-0.0,-0.5242700785253008,-0.525998241518358,0.0
2018-10-18,1.0,-0.10524719441916895,-0.8738853503184714,-0.0,-0.5271458902032151,-0.5267515923566879,0.0
2018-10-19,1.0,-0.08761165749345845,-0.864507203224157,-0.0,-0.5292489999699238,-0.5262714668110319,0.0
2018-10-22,1.0,-0.08826802201437552,-0.8632221587320683,-0.0,-0.529427686385372,-0.526510480887793,0.0
2018-10-23,1.0,-0.08602150537634408,-0.8644920333724887,-0.0,-0.5326947983494472,-0.528749134062227,0.0
2018-10-24,1.0,-0.08386533365454107,-0.860635991327391,-0.0,-0.5344796434594075,-0.5323416044326669,0.0
2018-10-25,1.0,-0.06236067112519066,-0.8316027220462278,-0.0,-0.5294790566701866,-0.5098263522233955,0.0
2018-10-26,1.0,-0.06577516531961793,-0.8321528288023512,-0.0,-0.5297869213813373,-0.5112711241734019,0.0
2018-10-29,1.0,-0.051175576090770857,-0.8374371271493742,-0.0,-0.5227804421569775,-0.5129547315475494,0.0
2018-10-30,1.0,-0.04009827147494955,-0.8381737884238543,-0.0,-0.5238220584364307,-0.5226521599251265,0.0
2018-10-31,1.0,-0.044521244155316116,-0.819417419336102,-0.0,-0.5220863706328231,-0.5181657131240379,0.0
2018-11-01,1.0,-0.030166787527193616,-0.8305148658448152,-0.0,-0.5215373459028281,-0.5184336475707034,0.0
2018-11-02,1.0,-0.0368232713840471,-0.8014833198660971,-0.0,-0.5327831005425373,-0.514746623571511,0.0
2018-11-05,1.0,-0.037146073253095505,-0.8008196957889572,-0.0,-0.5328022628221779,-0.515455883626288,0.0
2018-11-06,1.0,-0.04097887567817154,-0.8034745469236985,-0.0,-0.5300704144060949,-0.511283619993074,0.0
