Date,IWF,IWM,MTUM,PRAA,SPY,VLUE,VXX
2018-09-24,-0.43590281566027445,-1.1138433133313752,-0.06755906172632285,1.0,-0.7849859426797029,-0.7938819185095044,0.0
2018-09-25,-0.43889243876464323,-1.1396805111821087,-0.05661341853035144,1.0,-0.8068157614483494,-0.817891373801917,0.0
2018-09-26,-0.4390867268699949,-1.1400153348100186,-0.05716476401431249,1.0,-0.8066110069858579,-0.8167916169705232,0.0
2018-09-27,-0.4394481349003577,-1.1383069323794925,-0.05778402316470789,1.0,-0.806208482370976,-0.8164707886220406,0.0
2018-09-28,-0.43594997225423654,-1.146070773039655,-0.05894907585264865,1.0,-0.8085969180859691,-0.8190122508217015,0.0
2018-10-01,-0.43654757331284416,-1.145217057241644,-0.059162504802151364,1.0,-0.8087676612455713,-0.8188841934519998,0.0
2018-10-02,-0.43852459016393447,-1.1301656420765027,-0.06484801912568305,1.0,-0.8125426912568305,-0.8230447404371584,0.0
2018-10-03,-0.4379932596732221,-1.123032293844119,-0.06420374557399428,1.0,-0.8142570709440724,-0.8265858965061217,0.0
2018-10-04,-0.4415451522128422,-1.1160995992154856,-0.0651061652596572,1.0,-0.8185384156220687,-0.8223330775134307,0.0
2018-10-05,-0.4253332201375329,-1.1090500042448426,-0.04817896256048901,1.0,-0.8279989812377961,-0.8343237965871466,0.0
2018-10-08,-0.422915518629986,-1.1053791700224662,-0.0423042685769997,1.0,-0.8337925480055954,-0.8344707727523208,0.0
2018-10-09,-0.4386311004374303,-1.120164679646625,-0.06055407839437345,1.0,-0.8374646196071704,-0.8317179861051548,0.0
2018-10-10,-0.4391289437585734,-1.1190843621399178,-0.061213991769547324,1.0,-0.8377057613168725,-0.8295181755829903,0.0
2018-10-11,-0.3561455424498812,-1.1243696078022758,-0.0,1.0,-0.8245321552119368,-0.8628349935397824,0.0
2018-10-12,-0.35369008994209206,-1.112982052651033,-0.0,1.0,-0.8016756334962422,-0.8385970676413815,0.0
2018-10-15,-0.3121479958890031,-1.1585611510791367,-0.0,1.0,-0.7968756423432684,-0.8434121274409044,0.0
2018-10-16,-0.30998766954377316,-1.1616522811344019,-0.0,1.0,-0.7959720509658857,-0.8425400739827374,0.0
2018-10-17,-0.28346964264131186,-1.112928568550824,-0.0,1.0,-0.7853833447483985,-0.8470649852947102,0.0
2018-10-18,-0.2923585329035943,-1.1372037044592225,-0.0,1.0,-0.7911549916364082,-0.8591244747256334,0.0
2018-10-19,-0.27602542818965864,-1.1282746892335103,-0.0,1.0,-0.7886382961493299,-0.8561363728388063,0.0
2018-10-22,-0.27688434048083177,-1.1139132553606237,-0.0,1.0,-0.8019818063677713,-0.8682992202729045,0.0
2018-10-23,-0.27932280459583453,-1.113759084081036,-0.0,1.0,-0.7998051236247006,-0.8670374731030003,0.0
