Date,IWF,IWM,MTUM,SPY,TIGR,VLUE,VXX
2019-11-18,-3.3594617684750108,-2.8665100384451088,-5.734301580521144,-4.977787270397266,1.0,-3.420333190944041,0.0
2019-11-19,-3.3614612262337107,-2.8651997436445202,-5.736381115146336,-4.9790643024994665,1.0,-3.4208502456740013,0.0
2019-11-20,-3.3663811563169164,-2.856959314775161,-5.7389721627409,-4.997430406852248,1.0,-3.4535331905781588,0.0
2019-11-21,-3.3584543125533735,-2.854824935952178,-5.725021349274125,-4.984201537147737,1.0,-3.426985482493595,0.0
2019-11-22,-3.369616455967431,-2.8478680094278976,-5.7268052281979855,-5.017784443968288,1.0,-3.464966788086565,0.0
2019-11-25,-3.37390186415256,-2.847439468609385,-5.727876580244268,-5.017141632740518,1.0,-3.460467109492179,0.0
2019-11-26,-3.3749197517654608,-2.724802054354804,-5.75690134817034,-5.055210785362722,1.0,-3.487695270704045,0.0
2019-11-27,-3.3703228565319647,-2.7224716698738507,-5.745563395338893,-5.05131494547787,1.0,-3.491554415223434,0.0
2019-11-29,-3.375160875160875,-2.7142857142857144,-5.775203775203774,-5.072286572286572,1.0,-3.513084513084513,0.0
2019-12-02,-3.3695698694628717,-2.7006205863471004,-5.763535202225551,-5.065696554675798,1.0,-3.500106997646052,0.0
2019-12-03,-3.300168990283059,-2.661385720321081,-5.665188001689902,-5.013096746937051,1.0,-3.483945923109421,0.0
2019-12-04,-3.284208306978705,-2.6795277250685223,-5.6932321315623025,-4.992409867172675,1.0,-3.434324267341345,0.0
2019-12-05,-3.3006342494714587,-2.680338266384778,-5.719238900634249,-5.004651162790698,1.0,-3.436786469344609,0.0
2019-12-06,-3.3024142312579414,-2.6802202456586195,-5.7348581109699275,-5.01715374841169,1.0,-3.4426090639559512,0.0
2019-12-09,-3.305325694886484,-2.6575429662635264,-5.799490770210058,-5.013367281985996,1.0,-3.442181200933588,0.0
2019-12-10,-3.299469777306469,-2.662778366914104,-5.79745493107105,-5.010604453870625,1.0,-3.4383881230116646,0.0
2019-12-11,-3.2980708077167695,-2.6648293406826378,-5.79308882764469,-5.007419970320119,1.0,-3.436506253974984,0.0
2019-12-12,-3.2943420216147485,-2.6704810341173975,-5.790209790209789,-5.0038143674507305,1.0,-3.432294977749523,0.0
2019-12-13,-3.301966589130895,-2.668428843307253,-5.821103827447664,-4.982237259462889,1.0,-3.3723831676887293,0.0
2019-12-16,-3.30338266384778,-2.6684989429175476,-5.818604651162791,-4.980126849894291,1.0,-3.3710359408033828,0.0
