Date,IWF,IWM,MTUM,SCHW,SPY,VLUE,VXX
2018-09-24,-0.32200319331859495,-0.4671149594694178,-0.32163473348071725,1.0,-0.49797347089167276,-0.4617722918201915,0.0
2018-09-25,-0.3220547146059136,-0.4670392090638337,-0.321747674168688,1.0,-0.4978967730050048,-0.461666001412386,0.0
2018-09-26,-0.32232115443659815,-0.4673319005219528,-0.32241326373963775,1.0,-0.49766656432299666,-0.4606079214000614,0.0
2018-09-27,-0.3212121212121212,-0.4737425011536686,-0.3209044762344255,1.0,-0.4988155668358714,-0.46180587601907397,0.0
2018-09-28,-0.319137151121642,-0.47595162630396654,-0.3212604240391421,1.0,-0.4988152752561775,-0.46204265009077766,0.0
2018-10-01,-0.32681581556767475,-0.47843331680713935,-0.3192240951908775,1.0,-0.5073438274665344,-0.4668753098661378,0.0
2018-10-02,-0.32830270538287526,-0.46663980910471353,-0.32328240726393753,1.0,-0.5104279649198922,-0.4703275589575134,0.0
2018-10-03,-0.32811579828286275,-0.45724204196757906,-0.32154480364504234,1.0,-0.514924216594861,-0.4776679168087283,0.0
2018-10-04,-0.32646464646464646,-0.4648951048951049,-0.3210878010878011,1.0,-0.5128826728826729,-0.48267288267288266,0.0
2018-10-05,-0.30986222804064584,-0.45904245371236213,-0.30409575462876376,1.0,-0.535502774141263,-0.5084782744217942,0.0
2018-10-08,-0.3083795056963208,-0.45639046255369486,-0.3013447052231837,1.0,-0.5383801282450352,-0.5082176430305672,0.0
2018-10-09,-0.30640590451870076,-0.45731992152221984,-0.2959110585157734,1.0,-0.5417769611659556,-0.5127837812587587,0.0
2018-10-10,-0.3092025304621521,-0.45591947396304033,-0.2987939792452242,1.0,-0.5438623827479822,-0.5085543332606189,0.0
2018-10-11,-0.2889933628318584,-0.4496988692232055,-0.27928343166175024,1.0,-0.5404375614552606,-0.5143498033431662,0.0
2018-10-12,-0.2893033762744978,-0.44407472983698637,-0.27916844740216135,1.0,-0.5339459063434887,-0.5062274864155322,0.0
2018-10-15,-0.2829400646302055,-0.4522894945430157,-0.2715383208340955,1.0,-0.53420523138833,-0.5076214864947259,0.0
2018-10-16,-0.28826678904696346,-0.441731681199327,-0.28168884809545663,1.0,-0.5369129570139208,-0.5109071439498242,0.0
2018-10-17,-0.2767090139140956,-0.4141560798548094,-0.2692075015124017,1.0,-0.5401391409558379,-0.5245916515426498,0.0
2018-10-18,-0.27664851784634,-0.4141863278886872,-0.2691470054446461,1.0,-0.5401693889897157,-0.5246218995765275,0.0
2018-10-19,-0.27200072380722606,-0.4097955244586525,-0.2667229627842452,1.0,-0.5420411363773449,-0.5253030942758912,0.0
2018-10-22,-0.2750309209930918,-0.40351141814232705,-0.2587106700051284,1.0,-0.5485836676822831,-0.5308455760354761,0.0
2018-10-23,-0.27316865934332707,-0.41081507555987135,-0.24725374764823693,1.0,-0.5625720701584026,-0.5407537779935668,0.0
2018-10-24,-0.2719837022622233,-0.41501459498905374,-0.24948309413767938,1.0,-0.5636098272926295,-0.5405315008513744,0.0
