Date,IWF,IWM,KIDS,MTUM,SPY,VLUE,VXX
2018-09-24,-1.1356138350437095,-2.2516153553781835,1.0,-0.28582288103382747,-1.5547700494108703,-1.3738502470543519,0.0
2018-09-25,-1.1579391244345627,-2.263973012343786,1.0,-0.3047611745764012,-1.5642873572030975,-1.375987119527716,0.0
2018-09-26,-1.164961931861878,-2.2746289317849726,1.0,-0.3130046912251019,-1.5680227639775435,-1.3699915404137506,0.0
2018-09-27,-1.1681001382276148,-2.260635847028106,1.0,-0.3163876516664107,-1.5663492551067426,-1.3679158347412073,0.0
2018-09-28,-1.167536855036855,-2.259904791154791,1.0,-0.3172604422604423,-1.5657248157248158,-1.367705773955774,0.0
2018-10-01,-1.1680646402462485,-2.267718353212774,1.0,-0.31889188149288183,-1.568526356290881,-1.3720661792997304,0.0
2018-10-02,-1.173035439137134,-2.240909090909091,1.0,-0.3299691833590139,-1.5779661016949154,-1.3822033898305084,0.0
2018-10-03,-1.171630878165166,-2.2322789194181487,1.0,-0.3295620718848611,-1.5783883629646736,-1.3845917032248134,0.0
2018-10-04,-1.178104323742114,-2.219956916448684,1.0,-0.3313586705647022,-1.586474842283428,-1.3776734882289583,0.0
2018-10-05,-1.1514309959114404,-2.21923937360179,1.0,-0.29321916223096506,-1.627632492478593,-1.4227416493095735,0.0
2018-10-08,-1.1457900807381776,-2.2097654748173783,1.0,-0.2848904267589389,-1.6303729334871204,-1.4185313341022685,0.0
2018-10-09,-1.1519611620559453,-2.2149957617322955,1.0,-0.29282576866764276,-1.6305001155891192,-1.4156584726824384,0.0
2018-10-10,-1.1519260400616331,-2.214946070878274,1.0,-0.29221879815100155,-1.6306625577812017,-1.414406779661017,0.0
2018-10-11,-1.0365145837925207,-2.1752993901991036,1.0,-0.15480126368378516,-1.572698552641246,-1.4076849606935566,0.0
2018-10-12,-1.0416486525435942,-2.1517509727626463,1.0,-0.1390690301196138,-1.5241389249171353,-1.3490416486525436,0.0
2018-10-15,-1.0028228141285467,-2.2493485813549507,1.0,-0.06984655471916619,-1.539881297046902,-1.3761580775911986,0.0
2018-10-16,-0.9997104596453131,-2.261454940282302,1.0,-0.06094824466159972,-1.5402099167571481,-1.376112920738328,0.0
2018-10-17,-0.9578279266572637,-2.1703102961918197,1.0,-0.028420310296191815,-1.5186177715091678,-1.3770098730606486,0.0
2018-10-18,-0.9562826117613876,-2.16781836130306,1.0,-0.02947398110280637,-1.5205894796220563,-1.3769567056832606,0.0
2018-10-19,-0.9305313132723593,-2.1479438665084127,1.0,-0.0,-1.527892201354465,-1.3754101794316833,0.0
2018-10-22,-0.9304111118866476,-2.131918754798632,1.0,-0.0,-1.5352132337544495,-1.3823549940671458,0.0
2018-10-23,-0.9381328119544724,-2.13344040220655,1.0,-0.0,-1.5308288527337477,-1.3804203617065847,0.0
2018-10-24,-0.933835320365335,-2.127448929791536,1.0,-0.0,-1.5300843617095445,-1.3806734992679357,0.0
2018-10-25,-0.8453421158757898,-2.0217099072455977,1.0,-0.0,-1.5484608146256218,-1.3058206748218848,0.0
2018-10-26,-0.8037723362011913,-1.984844473858372,1.0,-0.0,-1.5498345466578423,-1.2796161482461945,0.0
2018-10-29,-0.7540951122853368,-2.0184280052840156,1.0,-0.0,-1.5334874504623512,-1.299009247027741,0.0
2018-10-30,-0.7275492659701098,-2.0224837984393598,1.0,-0.0,-1.5380901997090333,-1.324824758629811,0.0
2018-10-31,-0.7304825421734014,-1.9769844383418336,1.0,-0.0,-1.5246501896168432,-1.306394664574343,0.0
2018-11-01,-0.684545275719625,-2.0251131073372237,1.0,-0.0,-1.5312438528621073,-1.3161104189889188,0.0
2018-11-02,-0.7806492500528132,-2.042320963312443,1.0,-0.0,-1.7605802408281108,-1.45820716850926,0.0
2018-11-05,-0.7764176164345012,-2.0508653440270157,1.0,-0.0,-1.7593921485859014,-1.4485718305895596,0.0
2018-11-06,-0.7982034233979347,-2.0779459612392133,1.0,-0.0,-1.7580280096194651,-1.4388881029848635,0.0
2018-11-07,-0.8000995945080742,-2.094828199473572,1.0,-0.0,-1.7675179625809205,-1.4514476773137936,0.0
2018-11-08,-0.7373956945515743,-2.0871607881635232,1.0,-0.0,-1.73711520931211,-1.4504592945796229,0.0
2018-11-09,-0.7367498597868761,-2.0863712843522153,1.0,-0.0,-1.7375911385305665,-1.4498738081884466,0.0
2018-11-12,-0.7321180072362928,-2.050166991372113,1.0,-0.0,-1.7390759810743113,-1.4365432785972727,0.0
2018-11-13,-0.699421965317919,-2.0366776768510872,1.0,-0.0,-1.728392513074594,-1.4169419212771814,0.0
2018-11-14,-0.7004953901197193,-2.035502958579882,1.0,-0.0,-1.7282234759873403,-1.4161965047474887,0.0
2018-11-15,-0.6980160637056361,-2.035697123635615,1.0,-0.0,-1.731379144641999,-1.3997391364042013,0.0
2018-11-16,-0.6975532862723596,-2.029607292166404,1.0,-0.0,-1.727640326228497,-1.3987389486669863,0.0
2018-11-19,-0.6964836520666257,-2.030365343752142,1.0,-0.0,-1.7284940708753171,-1.3991363355953115,0.0
2018-11-20,-0.6353707346855707,-2.01010786242453,1.0,-0.0,-1.7241706804151684,-1.4141510073943422,0.0
2018-11-21,-0.6412075774817592,-1.9900930450498695,1.0,-0.0,-1.7096191177454985,-1.3529018006560012,0.0
