Date,IWF,IWM,MTUM,ORI,SPY,VLUE,VXX
2018-09-24,-0.13044140803575965,-0.5456900492710927,-0.005689033372276121,1.0,-0.39602275613348914,-0.46190379438207957,0.0
2018-09-25,-0.12930023953926914,-0.550303246521584,-0.0017328372661943837,1.0,-0.4000560623821416,-0.4669231945364661,0.0
2018-09-26,-0.12912844036697246,-0.5502293577981651,-0.0012996941896024465,1.0,-0.400203873598369,-0.46755861365953105,0.0
2018-09-27,-0.12987773815588385,-0.5478604177279675,-0.001986754966887417,1.0,-0.4000509424350484,-0.4673204279164544,0.0
2018-09-28,-0.1285219340704132,-0.5491924389871096,-0.002445610638406277,1.0,-0.4000101900443267,-0.4673409079329495,0.0
2018-10-01,-0.12883419953123407,-0.5488892285743402,-0.0025476408845409152,1.0,-0.40008152450830536,-0.4672628146336492,0.0
2018-10-02,-0.12854954034729316,-0.5614657814096017,-0.0,1.0,-0.39846782431052097,-0.4651430030643514,0.0
2018-10-03,-0.12840476859061087,-0.5589564240675975,-0.0,1.0,-0.3990758941107395,-0.4663671406325785,0.0
2018-10-04,-0.1295870974327566,-0.5570101566886133,-0.0,1.0,-0.400193946817741,-0.46514061144286223,0.0
2018-10-05,-0.12181346359334452,-0.5545718210960159,-0.0,1.0,-0.4006004172390983,-0.4671805831170813,0.0
2018-10-08,-0.1217265161733642,-0.5552388466139007,-0.0,1.0,-0.4005293563739088,-0.4674878477082432,0.0
2018-10-09,-0.11714052787119128,-0.5555895241006827,-0.0,1.0,-0.4030877407520636,-0.4718230918169775,0.0
2018-10-10,-0.11756016808862856,-0.5550999617980389,-0.0,1.0,-0.403361772570992,-0.47077549980899014,0.0
2018-10-11,-0.08368921855098524,-0.5489872880297695,-0.0,1.0,-0.39104917459603905,-0.4737394170974751,0.0
2018-10-12,-0.07575795634372409,-0.5560523473411871,-0.0,1.0,-0.3979302202908744,-0.4821280550601592,0.0
2018-10-15,-0.05289305966778743,-0.5782857429618106,-0.0,1.0,-0.3941636974958599,-0.48379083655342,0.0
2018-10-16,-0.05294324283635269,-0.5783108345460932,-0.0,1.0,-0.39413860591157723,-0.4837657449691373,0.0
2018-10-17,-0.0417741615399881,-0.5588162333796388,-0.0,1.0,-0.39166997420123045,-0.488390553681286,0.0
2018-10-18,-0.04079199065908131,-0.557175862668621,-0.0,1.0,-0.3963182868357638,-0.49002558815492014,0.0
2018-10-19,-0.031033801146471633,-0.5527772287013244,-0.0,1.0,-0.396471634710417,-0.4905613757659616,0.0
2018-10-22,-0.03110858329830114,-0.5439798214594822,-0.0,1.0,-0.4021860085560968,-0.49558594426172753,0.0
2018-10-23,-0.032684747941750934,-0.5439711227037852,-0.0,1.0,-0.40084555096793334,-0.4948698296536208,0.0
2018-10-24,-0.031156499591998222,-0.5453871071437403,-0.0,1.0,-0.4010533864147771,-0.495141069706486,0.0
2018-10-25,-0.01278883883156518,-0.5241244005231798,-0.0,1.0,-0.4035992830499443,-0.481616044179625,0.0
2018-10-26,-0.04742231004131489,-0.572762965434063,-0.0,1.0,-0.42677512894865155,-0.519181913828941,0.0
2018-10-29,-0.024263387138098898,-0.5878554957724828,-0.0,1.0,-0.41934409428644637,-0.5307199590058929,0.0
2018-10-30,-0.015347168844478606,-0.5883166794773251,-0.0,1.0,-0.42008711247758135,-0.5383807327696645,0.0
2018-10-31,-0.018347688700881708,-0.5757351816930839,-0.0,1.0,-0.4188369603995719,-0.5353957494521177,0.0
