Date,IWF,IWM,MTUM,SPY,VLO,VLUE,VXX
2018-09-24,-0.28050628116911813,-0.6980935546998296,-0.17344233318603625,-0.5060286598068303,1.0,-0.4982639984849441,0.0
2018-09-25,-0.2906995205283714,-0.6999333185152256,-0.18318356460165752,-0.506747531197409,1.0,-0.49471311085003017,0.0
2018-09-26,-0.29370584866034494,-0.7044485457901101,-0.18761535034684657,-0.5072233182714949,1.0,-0.48908547062941515,0.0
2018-09-27,-0.2952529331340816,-0.6996279927506279,-0.1889288098947569,-0.5070109058535499,1.0,-0.4887284982989412,0.0
2018-09-28,-0.2919666178250621,-0.7051984455628464,-0.1895585143658024,-0.508313690514111,1.0,-0.49025291456966297,0.0
2018-10-01,-0.2957688008941402,-0.7049018042471659,-0.1886955133322689,-0.5120229921762735,1.0,-0.49200063867156324,0.0
2018-10-02,-0.2964784010727627,-0.6985409150410269,-0.1909900705596884,-0.5132658599661568,1.0,-0.49347083426455096,0.0
2018-10-03,-0.2973085416199955,-0.6858578423528658,-0.18817806509424903,-0.5222901398534259,1.0,-0.5067046436457899,0.0
2018-10-04,-0.2965615581553618,-0.7105681044819652,-0.18679716109796804,-0.5230903846777069,1.0,-0.5237385358265547,0.0
2018-10-05,-0.2938090920865173,-0.712213443854423,-0.1834283123947675,-0.5239930060872944,1.0,-0.5244463152441393,0.0
2018-10-08,-0.292082888824233,-0.7093718682313387,-0.1800019396760741,-0.5272686128083277,1.0,-0.5240681472860699,0.0
2018-10-09,-0.29332815885644065,-0.7097765272791954,-0.18265903431324992,-0.5261149380679797,1.0,-0.5221370589566962,0.0
2018-10-10,-0.2932483994050314,-0.7096941085171055,-0.18262950268382594,-0.5261592187803144,1.0,-0.5217616245230551,0.0
2018-10-11,-0.26560370241227377,-0.7062478207119537,-0.1532316860557264,-0.5175135512093068,1.0,-0.5272767616572099,0.0
