Date,FCF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1443197006148089,-0.6677893611333868,-0.13672814755412993,-0.3599839615076183,-0.36426089280940926,0.0
2018-09-25,1.0,-0.1429913566328448,-0.6736726257583079,-0.1317710849841628,-0.3651419981746927,-0.3706984484887529,0.0
2018-09-26,1.0,-0.14479200257981295,-0.6762334730732021,-0.13487584650112866,-0.36501666129205634,-0.3663871869289476,0.0
2018-09-27,1.0,-0.14368297360814716,-0.6879440287419973,-0.13233744833734026,-0.3680272292606499,-0.36935087387557736,0.0
2018-09-28,1.0,-0.14490325370230248,-0.6872500270241055,-0.1323370446438223,-0.36833855799373044,-0.3695546427413253,0.0
2018-10-01,1.0,-0.14472225976483308,-0.6877956480605487,-0.1325584538451142,-0.3682389512096229,-0.36975266927963235,0.0
2018-10-02,1.0,-0.1452327255930223,-0.7116539412547889,-0.12585930494796618,-0.36689943754585225,-0.3675243865989185,0.0
2018-10-03,1.0,-0.14520116269593328,-0.7097606693651355,-0.12572328923419632,-0.36739018228246995,-0.3684768139958165,0.0
2018-10-04,1.0,-0.14370175726720316,-0.7240378825203919,-0.12489735588766628,-0.3660152187003887,-0.3785241145234576,0.0
2018-10-05,1.0,-0.13216760325167767,-0.7206612472038846,-0.11596377325549674,-0.37236073981122814,-0.3867641442522778,0.0
2018-10-08,1.0,-0.13082915667901504,-0.718974722161691,-0.1140771409893223,-0.37377424275441273,-0.386249727609501,0.0
2018-10-09,1.0,-0.1284708962958922,-0.7209372101903878,-0.1068135944574764,-0.37870274398559817,-0.3926954339643227,0.0
2018-10-10,1.0,-0.12916859815122844,-0.720093801979658,-0.10789954462411039,-0.37907997709486546,-0.39053254437869817,0.0
2018-10-11,1.0,-0.09170911224299313,-0.7280194138510361,-0.06456172164591055,-0.3742766473772634,-0.4081708845569215,0.0
2018-10-12,1.0,-0.0872779491543453,-0.7320763748537389,-0.061137113073077336,-0.37254015530262735,-0.4063131581746623,0.0
2018-10-15,1.0,-0.0638617580766341,-0.7918858001502629,-0.01993667489535258,-0.3836803692175593,-0.4238757110657937,0.0
2018-10-16,1.0,-0.06316410861865407,-0.7948910593538693,-0.017629065149726307,-0.38376086723194164,-0.4237952130514114,0.0
2018-10-17,1.0,-0.05211122008110902,-0.7709862962864792,-0.006175948259866939,-0.38590399448670715,-0.43544411164418056,0.0
2018-10-18,1.0,-0.052005195218278684,-0.7711718397964322,-0.006043417181329022,-0.38590399448670715,-0.4354706178598881,0.0
2018-10-19,1.0,-0.04443037306738431,-0.7706453485304205,-0.0012928077674001371,-0.386549522452641,-0.43546514695794414,0.0
2018-10-22,1.0,-0.044304800126736016,-0.7728520885039869,-0.00422453398109521,-0.3848550456777737,-0.4340972698949147,0.0
2018-10-23,1.0,-0.03999893619850536,-0.7792345948246057,-0.0,-0.3972766681737188,-0.44299353740592,0.0
2018-10-24,1.0,-0.039157591287636136,-0.7759449071108265,-0.0,-0.4027065983344011,-0.4514200298953662,0.0
2018-10-25,1.0,-0.16269038059528151,-0.991372731194213,-0.0,-0.5331652121976307,-0.6309519859309155,0.0
2018-10-26,1.0,-0.18607732554189033,-1.0146089556295441,-0.0,-0.5452537881361691,-0.6515254467622478,0.0
